,gpt_mesh,series
0,Infection,gpt_phys
1,Infectious Diseases,gpt_phys
2,Communicable Diseases,gpt_phys
3,Bacterial Infections,gpt_phys
4,Virus Diseases,gpt_phys
5,Protozoan Infections,gpt_phys
6,Parasitic Diseases,gpt_phys
7,Microbial Sensitivity Tests,gpt_phys
8,Antimicrobial Agents,gpt_phys
9,"Drug Resistance, Microbial",gpt_phys
10,"Drug Resistance, Bacterial",gpt_phys
11,"Drug Resistance, Viral",gpt_phys
12,"Drug Resistance, Protozoan",gpt_phys
13,Cross Infection,gpt_phys
14,Superinfection,gpt_phys
15,Opportunistic Infections,gpt_phys
16,Zoonoses,gpt_phys
17,Vector-Borne Diseases,gpt_phys
18,Foodborne Diseases,gpt_phys
19,Waterborne Diseases,gpt_phys
20,Airborne Diseases,gpt_phys
21,Hospital-Acquired Infections,gpt_phys
22,Community-Acquired Infections,gpt_phys
23,Sexually Transmitted Diseases,gpt_phys
24,Blood-Borne Pathogens,gpt_phys
25,Nosocomial Infections,gpt_phys
26,Surgical Wound Infection,gpt_phys
27,Urinary Tract Infections,gpt_phys
28,Respiratory Tract Infections,gpt_phys
29,Gastrointestinal Infections,gpt_phys
30,Skin and Soft Tissue Infections,gpt_phys
31,Central Nervous System Infections,gpt_phys
32,Eye Infections,gpt_phys
33,Ear Infections,gpt_phys
34,Bone and Joint Infections,gpt_phys
35,Cardiovascular Infections,gpt_phys
36,"Genital Infections, Female",gpt_phys
37,"Genital Infections, Male",gpt_phys
38,Perinatal Infections,gpt_phys
39,Pulmonary Infection,gpt_phys
40,Intravascular Catheter-Related Infections,gpt_phys
41,Meningitis,gpt_phys
42,Encephalitis,gpt_phys
43,Pneumonia,gpt_phys
44,Tuberculosis,gpt_phys
45,"Sexually Transmitted Diseases, Bacterial",gpt_phys
46,Chlamydia Infections,gpt_phys
47,Gonorrhea,gpt_phys
48,Syphilis,gpt_phys
49,Lyme Disease,gpt_phys
50,Legionellosis,gpt_phys
51,Mycobacterium Infections,gpt_phys
52,Staphylococcal Infections,gpt_phys
53,Streptococcal Infections,gpt_phys
54,Clostridium Infections,gpt_phys
55,Meningococcal Infections,gpt_phys
56,Pertussis,gpt_phys
57,Tetanus,gpt_phys
58,Diphtheria,gpt_phys
59,Haemophilus Infections,gpt_phys
60,Salmonella Infections,gpt_phys
61,Shigellosis,gpt_phys
62,Campylobacter Infections,gpt_phys
63,Escherichia coli Infections,gpt_phys
64,Listeriosis,gpt_phys
65,Helicobacter Infections,gpt_phys
66,Vibrio Infections,gpt_phys
67,Yersinia Infections,gpt_phys
68,Brucellosis,gpt_phys
69,Tularemia,gpt_phys
70,Anthrax,gpt_phys
71,Rickettsia Infections,gpt_phys
72,Q Fever,gpt_phys
73,Cholera,gpt_phys
74,"Tuberculosis, Pulmonary",gpt_phys
75,"Respiratory Tract Infections, Viral",gpt_phys
76,"Influenza, Human",gpt_phys
77,Respiratory Syncytial Virus Infections,gpt_phys
78,Common Cold,gpt_phys
79,Measles,gpt_phys
80,Mumps,gpt_phys
81,Rubella,gpt_phys
82,"Pneumonia, Viral",gpt_phys
83,HIV Infections,gpt_phys
84,AIDS-Related Opportunistic Infections,gpt_phys
85,Human Herpesvirus 1 Infection,gpt_phys
86,Human Herpesvirus 2 Infection,gpt_phys
87,Herpes Simplex,gpt_phys
88,Cytomegalovirus Infections,gpt_phys
89,Epstein-Barr Virus Infections,gpt_phys
90,Varicella-Zoster Virus Infection,gpt_phys
91,Hepatitis,gpt_phys
92,Rotavirus Infections,gpt_phys
93,Norovirus Infections,gpt_phys
94,Poliovirus Infections,gpt_phys
95,Rhinovirus Infections,gpt_phys
96,Coronavirus Infections,gpt_phys
97,Severe Acute Respiratory Syndrome,gpt_phys
98,Middle East Respiratory Syndrome Coronavirus,gpt_phys
99,Herpesviridae Infections,gpt_phys
100,Human papillomavirus infections,gpt_phys
101,Retroviridae Infections,gpt_phys
102,Viral Vaccines,gpt_phys
103,"Protozoan Infections, Animal",gpt_phys
104,Malaria,gpt_phys
105,Leishmaniasis,gpt_phys
106,Trypanosomiasis,gpt_phys
107,Toxoplasmosis,gpt_phys
108,Amebiasis,gpt_phys
109,Giardiasis,gpt_phys
110,Trichomonas Vaginitis,gpt_phys
111,Cryptosporidiosis,gpt_phys
112,Babesiosis,gpt_phys
113,Pneumocystis Infections,gpt_phys
114,Isosporiasis,gpt_phys
115,Coccidiosis,gpt_phys
116,"Toxoplasmosis, Congenital",gpt_phys
117,"Amoebiasis, Cerebral",gpt_phys
118,"Leishmaniasis, Visceral",gpt_phys
119,"Leishmaniasis, Mucocutaneous",gpt_phys
120,Chagas Disease,gpt_phys
121,African Trypanosomiasis,gpt_phys
