,gpt_mesh,series
0,Reproductive Physiology,gpt_phys
1,Ovarian Physiology,gpt_phys
2,Testicular Physiology,gpt_phys
3,Hormonal Regulation,gpt_phys
4,Menstrual Cycle,gpt_phys
5,Ovarian Cycle,gpt_phys
6,Spermatogenesis,gpt_phys
7,Gametogenesis,gpt_phys
8,Fertilization,gpt_phys
9,Embryonic Development,gpt_phys
10,Implantation,gpt_phys
11,Placental Physiology,gpt_phys
12,Gonadotropins,gpt_phys
13,Sex Hormones,gpt_phys
14,Pregnancy,gpt_phys
15,Parturition,gpt_phys
16,Lactation,gpt_phys
17,Endometrial Physiology,gpt_phys
18,Uterine Physiology,gpt_phys
19,Fallopian Tube Physiology,gpt_phys
20,Ovulation,gpt_phys
21,Ejaculation,gpt_phys
22,Erectile Function,gpt_phys
23,Semen Analysis,gpt_phys
24,Sperm Motility,gpt_phys
25,Oocyte Maturation,gpt_phys
26,Zygote,gpt_phys
27,Embryo,gpt_phys
28,Trophoblasts,gpt_phys
29,Gestational Age,gpt_phys
30,HCG,gpt_phys
31,Progesterone,gpt_phys
32,Estrogens,gpt_phys
33,Androgens,gpt_phys
34,Prolactin,gpt_phys
35,Luteinizing Hormone,gpt_phys
36,Follicle-Stimulating Hormone,gpt_phys
37,Inhibin,gpt_phys
38,Relaxin,gpt_phys
39,GnRH,gpt_phys
40,Steroid Hormones,gpt_phys
41,Fetal Development,gpt_phys
42,Preimplantation Period,gpt_phys
43,Menopause,gpt_phys
44,Ovarian Reserve,gpt_phys
45,Ovarian Follicle,gpt_phys
46,Corpus Luteum,gpt_phys
47,Granulosa Cells,gpt_phys
48,Theca Cells,gpt_phys
49,Sertoli Cells,gpt_phys
50,Leydig Cells,gpt_phys
51,Seminiferous Tubules,gpt_phys
52,Spermatozoa,gpt_phys
53,Spermatozoan Acrosome Reaction,gpt_phys
54,Sperm-Ovum Interactions,gpt_phys
55,Oviducts,gpt_phys
56,Uterus,gpt_phys
57,Myometrium,gpt_phys
58,Endometrium,gpt_phys
59,Cervix,gpt_phys
60,Vagina,gpt_phys
61,Estrous Cycle,gpt_phys
62,Menstruation,gpt_phys
63,Decidual Cells,gpt_phys
64,Placenta,gpt_phys
65,Placental Circulation,gpt_phys
66,Placental Hormones,gpt_phys
67,Trophoblast Implantation,gpt_phys
68,Decidua,gpt_phys
69,Hemochorial Placentation,gpt_phys
70,Syncytiotrophoblasts,gpt_phys
71,Cytotrophoblasts,gpt_phys
72,Fetal Membranes,gpt_phys
73,Amnion,gpt_phys
74,Chorion,gpt_phys
75,Umbilical Cord,gpt_phys
76,Fetal Blood,gpt_phys
77,Fetal Nutrition,gpt_phys
78,Fetal Growth,gpt_phys
79,Labor Onset,gpt_phys
80,Cervical Ripening,gpt_phys
81,Uterine Contraction,gpt_phys
82,Myometrial Excitability,gpt_phys
83,Cesarean Section,gpt_phys
84,Vaginal Birth,gpt_phys
85,Breast,gpt_phys
86,Mammary Glands,gpt_phys
87,Milk Ejection,gpt_phys
88,Milk Production,gpt_phys
89,Lactation Disorders,gpt_phys
90,Breastfeeding,gpt_phys
91,Fertility,gpt_phys
92,Infertility,gpt_phys
93,Contraception,gpt_phys
94,Contraceptive Agents,gpt_phys
95,Assisted Reproductive Techniques,gpt_phys
96,In Vitro Fertilization,gpt_phys
97,Intracytoplasmic Sperm Injection,gpt_phys
98,Embryo Transfer,gpt_phys
99,Oocyte Donation,gpt_phys
100,Sperm Donors,gpt_phys
101,Reproductive Techniques,gpt_phys
102,Reproductive Health,gpt_phys
103,Reproductive Behavior,gpt_phys
104,Sexual Behavior,gpt_phys
105,Libido,gpt_phys
106,Sexual Development,gpt_phys
107,Sexual Differentiation,gpt_phys
108,Sex Chromosomes,gpt_phys
109,Sexual Maturation,gpt_phys
110,Puberty,gpt_phys
111,Sexual Dysfunction,gpt_phys
112,Sexual Disorders,gpt_phys
113,Sexually Transmitted Diseases,gpt_phys
114,Reproductive System Neoplasms,gpt_phys
115,Testicular Neoplasms,gpt_phys
116,Ovarian Neoplasms,gpt_phys
117,Uterine Neoplasms,gpt_phys
118,Cervical Neoplasms,gpt_phys
119,Prostatic Neoplasms,gpt_phys
120,Breast Neoplasms,gpt_phys
121,"Reproductive Techniques, Assisted",gpt_phys
122,Prenatal Diagnosis,gpt_phys
123,Preimplantation Diagnosis,gpt_phys
124,Genetic Testing,gpt_phys
125,Genetic Counseling,gpt_phys
126,"Reproductive Techniques, Reproductive Techniques, Assisted",gpt_phys
127,Cryopreservation,gpt_phys
128,"Embryo Implantation, Reproductive Techniques, Assisted",gpt_phys
129,Oocyte Cryopreservation,gpt_phys
130,Sperm Cryopreservation,gpt_phys
131,Zygote Intrafallopian Transfer,gpt_phys
132,Oocyte Retrieval,gpt_phys
133,Fertility Preservation,gpt_phys
134,"Infertility, Female",gpt_phys
135,"Infertility, Male",gpt_phys
136,Semen Preservation,gpt_phys
137,Ejaculatory Dysfunction,gpt_phys
138,Erectile Dysfunction,gpt_phys
139,"Genital Diseases, Male",gpt_phys
140,"Genital Diseases, Female",gpt_phys
