gwas_trait,mesh,similarity
Prostate cancer,Pulmonary Heart Disease,0.8277726173400879
Attention deficit hyperactivity disorder (MTAG),Impulsive Behavior,0.8439766764640808
Autism spectrum disorder (MTAG),Alcoholic Neuropathy,0.8391720652580261
Bipolar disorder (MTAG),Alcoholic Neuropathy,0.8464582562446594
Sex hormone-binding globulin levels adjusted for BMI,Apolipoprotein B-100,0.8472477197647095
Protein quantitative trait loci (liver),"Conjugation, Genetic",0.8477870225906372
Sex hormone-binding globulin levels,Insulin Antibodies,0.8529165387153625
Gallstone disease,Steatorrhea,0.8528639674186707
Total testosterone levels,Adiponectin,0.8487516045570374
Chronic periodontitis (localised),"Colitis, Collagenous",0.8629617691040039
Serum 25-Hydroxyvitamin D levels,Vitamin D3 24-Hydroxylase,0.8960338830947876
Diverticular disease,Steatorrhea,0.8871998190879822
Hodgkin's lymphoma,Plasmablastic Lymphoma,0.8856968283653259
Coffee consumption (cups per day),Dietary Sucrose,0.8513115644454956
Obesity (extreme),Obesity,0.909086287021637
Diastolic blood pressure (long-term average),"Hypertension, Portal",0.8770685195922852
Diastolic blood pressure (baseline),"Hypertension, Portal",0.8597952723503113
Diastolic blood pressure change trajectory,Blood Pressure Determination,0.876620888710022
Systolic blood pressure (long-term average),"Hypertension, Portal",0.871258020401001
Systolic blood pressure (baseline),"Blood Pressure Monitoring, Ambulatory",0.8605602383613586
Systolic blood pressure change trajectory,"Blood Pressure Monitoring, Ambulatory",0.8729300498962402
Insulin-like growth factor 1 levels,Insulin-Like Growth Factor II,0.9373435378074646
BRCA1 mutation in breast cancer,Familial Hypophosphatemic Rickets,0.8352769017219543
BRCA2 mutation in breast cancer,Familial Hypophosphatemic Rickets,0.8370411992073059
Hemoglobin levels,"Hemoglobinuria, Paroxysmal",0.9037582278251648
Ferritin levels,Vitamin E,0.8801538348197937
Declining hemoglobin trajectory in blood donors,"Hemoglobinuria, Paroxysmal",0.8906677961349487
Serum galactose-deficient IgA1 levels in IgA nephropathy,"Immunoglobulin A, Secretory",0.8774903416633606
Childhood onset type 2 diabetes,Pediatric Obesity,0.8729699850082397
Adult body size,Body Height,0.8690462112426758
Low density lipoprotein cholesterol levels,"Lipoproteins, LDL",0.9159334301948547
Telomere length,Telomere Homeostasis,0.873764157295227
Serum urate levels in chronic kidney disease,Diabetic Nephropathies,0.8784884810447693
Gout in chronic kidney disease,Diabetic Nephropathies,0.9058083891868591
Severe diabetic retinopathy in type 2 diabetes,Diabetic Retinopathy,0.9167717099189758
Urinary albumin-to-creatinine ratio,Homocystinuria,0.8400411009788513
Dilated cardiomyopathy,Cardiomyopathies,0.937646746635437
Left ventricular ejection fraction,Ventricular Function,0.895868718624115
Left ventricular mass to end-diastolic volume ratio,"Hypertrophy, Left Ventricular",0.8978129029273987
Left ventricular mass,Ventricular Function,0.9122244715690613
Left ventricular end-diastolic volume,"Hypertrophy, Left Ventricular",0.892990231513977
Left ventricular end-systolic volume,"Hypertrophy, Left Ventricular",0.8892772197723389
Left ventricular global circumferential strain,Myocardial Contraction,0.8842788338661194
Left ventricular global radial strain,"Hypertrophy, Left Ventricular",0.8876165151596069
Hypertrophic cardiomyopathy (MTAG),Cardiomyopathies,0.904792070388794
Dilated cardiomyopathy (MTAG),Diabetic Cardiomyopathies,0.9148861169815063
Left ventricular ejection fraction (MTAG),"Ventricular Function, Left",0.8980019688606262
Left ventricular mass to end-diastolic volume ratio (MTAG),"Hypertrophy, Left Ventricular",0.8818219304084778
Left ventricle wall thickness,"Hypertrophy, Left Ventricular",0.89778733253479
Emotional lability,"Anxiety, Separation",0.8491969108581543
Lack of behavioral control,Satiation,0.8430675864219666
Type A behavior,Anorexia,0.8373696208000183
Locus of control over disease,Quality of Health Care,0.8052170872688293
Psychoticism,"Desensitization, Psychologic",0.8741889595985413
Testosterone levels,Leptin,0.8436233401298523
Intra-individual response time variability (selective attention),Impulsive Behavior,0.8321694135665894
Uterine fibroids,Osteomalacia,0.861320972442627
Self-reported risk-taking behaviour,Sedentary Behavior,0.8234492540359497
Positive affect,"Stress, Psychological",0.8691323399543762
Anti-sp100 seropositivity in primary biliary cholangitis,"Liver Cirrhosis, Biliary",0.8507348895072937
Neuroticism,Sciatic Neuropathy,0.8578638434410095
Depressive symptoms,"Depression, Chemical",0.8590345978736877
Venous thromboembolism,Venous Thrombosis,0.9342881441116333
Urate levels,Homocystinuria,0.8412854075431824
Well-being spectrum (multivariate analysis),"Anxiety, Separation",0.8444980382919312
Academic attainment (maths),"Anemia, Aplastic",0.8126453161239624
Academic attainment (science),Aptitude,0.8106614351272583
"Gastroesophageal reflux disease, peptic ulcer disease and/or corresponding medications and treatment",Gastroesophageal Reflux,0.9082058668136597
Peptic ulcer disease,Dyspepsia,0.8859646320343018
Gastroesophageal reflux disease,Gastroesophageal Reflux,0.9694586396217346
Irritable bowel syndrome,Irritable Bowel Syndrome,0.9634209871292114
