,Gene name,Gene type,Gene description
0,MT-TF,Mt_tRNA,mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]
1,MT-RNR1,Mt_rRNA,mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]
2,MT-TV,Mt_tRNA,mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]
3,MT-RNR2,Mt_rRNA,mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]
4,MT-TL1,Mt_tRNA,mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]
5,MT-TI,Mt_tRNA,mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]
6,MT-TQ,Mt_tRNA,mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]
7,MT-TM,Mt_tRNA,mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]
8,MT-TW,Mt_tRNA,mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]
9,MT-TA,Mt_tRNA,mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]
10,MT-TN,Mt_tRNA,mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]
11,MT-TC,Mt_tRNA,mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]
12,MT-TY,Mt_tRNA,mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]
13,MT-TS1,Mt_tRNA,mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]
14,MT-TD,Mt_tRNA,mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]
15,MT-TK,Mt_tRNA,mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]
16,MT-TG,Mt_tRNA,mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]
17,MT-TR,Mt_tRNA,mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]
18,MT-TH,Mt_tRNA,mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]
19,MT-TS2,Mt_tRNA,mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]
20,MT-TL2,Mt_tRNA,mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]
21,MT-TE,Mt_tRNA,mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]
22,MT-TT,Mt_tRNA,mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]
23,MT-TP,Mt_tRNA,mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]
24,5S_rRNA,rRNA,5S ribosomal RNA [Source:RFAM;Acc:RF00001]
25,,lncRNA,novel transcript
26,5_8S_rRNA,rRNA,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]
27,LINC01115,lncRNA,long intergenic non-protein coding RNA 1115 [Source:NCBI gene (formerly Entrezgene);Acc:339822]
28,LINC02109,lncRNA,long intergenic non-protein coding RNA 2109 [Source:HGNC Symbol;Acc:HGNC:52964]
29,,snoRNA,
30,U6,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
31,U1,snRNA,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
32,RNVU1-26,snRNA,"RNA, variant U1 small nuclear 26 [Source:HGNC Symbol;Acc:HGNC:54429]"
33,RNVU1-2A,snRNA,"RNA, variant U1 small nuclear 2A [Source:HGNC Symbol;Acc:HGNC:54430]"
34,LINC00254,lncRNA,long intergenic non-protein coding RNA 254 [Source:HGNC Symbol;Acc:HGNC:14160]
35,MEIOB,lncRNA,meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]
36,LINC02124,lncRNA,long intergenic non-protein coding RNA 2124 [Source:HGNC Symbol;Acc:HGNC:52981]
37,LINC01839,lncRNA,long intergenic non-protein coding RNA 1839 [Source:HGNC Symbol;Acc:HGNC:41330]
38,LINC02054,lncRNA,long intergenic non-protein coding RNA 2054 [Source:HGNC Symbol;Acc:HGNC:52894]
39,LINC02735,lncRNA,long intergenic non-protein coding RNA 2735 [Source:HGNC Symbol;Acc:HGNC:54252]
40,,lncRNA,novel transcript sense intronic to TRAPPC12
41,,lncRNA,"novel transcript, antisense to ADI1"
42,Y_RNA,misc_RNA,Y RNA [Source:RFAM;Acc:RF00019]
43,Metazoa_SRP,misc_RNA,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
44,,misc_RNA,
45,RNA5-8SN5,rRNA,"RNA, 5.8S ribosomal N5 [Source:HGNC Symbol;Acc:HGNC:53533]"
46,ARHGEF26-AS1,lncRNA,ARHGEF26 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41048]
47,FAM157A,lncRNA,family with sequence similarity 157 member A [Source:HGNC Symbol;Acc:HGNC:34079]
48,RNU6-821P,snRNA,"RNA, U6 small nuclear 821, pseudogene [Source:HGNC Symbol;Acc:HGNC:47784]"
49,ANKRD18DP,lncRNA,"ankyrin repeat domain 18D, pseudogene [Source:HGNC Symbol;Acc:HGNC:28016]"
50,DLGAP2,lncRNA,DLG associated protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:9228]
51,,lncRNA,"novel transcript, antisense to PROP1"
52,CTDP1-DT,lncRNA,CTDP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:26370]
53,,lncRNA,"novel transcript, antisense to CTDP1"
54,DLG5-AS1,lncRNA,DLG5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45109]
55,,lncRNA,"novel transcript, antisense to DLG5"
56,RN7SL284P,misc_RNA,"RNA, 7SL, cytoplasmic 284, pseudogene [Source:HGNC Symbol;Acc:HGNC:46300]"
57,RNU6-1266P,snRNA,"RNA, U6 small nuclear 1266, pseudogene [Source:HGNC Symbol;Acc:HGNC:48229]"
58,CRIM1-DT,lncRNA,CRIM1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54057]
59,RNU6-222P,snRNA,"RNA, U6 small nuclear 222, pseudogene [Source:HGNC Symbol;Acc:HGNC:47185]"
60,FTCD-AS1,lncRNA,FTCD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40243]
61,,lncRNA,"novel transcript, antisense to DNAH10"
62,DSEL-AS1,lncRNA,DSEL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55325]
63,,lncRNA,"novel transcript, antisense to DSEL"
64,SEPTIN9-DT,lncRNA,SEPTIN9 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52818]
65,MAPK4,lncRNA,mitogen-activated protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:6878]
66,RNA5SP458,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 458 [Source:HGNC Symbol;Acc:HGNC:43358]"
67,RNU6-55P,snRNA,"RNA, U6 small nuclear 55, pseudogene [Source:HGNC Symbol;Acc:HGNC:42545]"
68,APOBEC3B-AS1,lncRNA,APOBEC3B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43836]
69,DLGAP2-AS1,lncRNA,DLGAP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50467]
70,LINC02549,lncRNA,long intergenic non-protein coding RNA 2549 [Source:HGNC Symbol;Acc:HGNC:53584]
71,U3,snoRNA,Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
72,LINC02066,lncRNA,long intergenic non-protein coding RNA 2066 [Source:HGNC Symbol;Acc:HGNC:52911]
73,AADACL2-AS1,lncRNA,AADACL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50301]
74,,lncRNA,"novel transcript, antisense to B3GNTL1"
75,RNU6-1025P,snRNA,"RNA, U6 small nuclear 1025, pseudogene [Source:HGNC Symbol;Acc:HGNC:47988]"
76,FRG1-DT,lncRNA,FRG1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51590]
77,LINC01596,lncRNA,long intergenic non-protein coding RNA 1596 [Source:HGNC Symbol;Acc:HGNC:51591]
78,RNU1-51P,snRNA,"RNA, U1 small nuclear 51, pseudogene [Source:HGNC Symbol;Acc:HGNC:48393]"
79,,lncRNA,artifact
80,,lncRNA,"novel transcript, antisense to KRT12"
81,FAM99A,lncRNA,family with sequence similarity 99 member A [Source:HGNC Symbol;Acc:HGNC:32368]
82,LINC02708,lncRNA,long intergenic non-protein coding RNA 2708 [Source:HGNC Symbol;Acc:HGNC:54225]
83,KRTAP5-AS1,lncRNA,KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27877]
84,FAM99B,lncRNA,family with sequence similarity 99 member B [Source:HGNC Symbol;Acc:HGNC:32369]
85,UBE2Q2P2,lncRNA,UBE2Q2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37440]
86,GOLGA8IP,lncRNA,"golgin A8 family member I, pseudogene [Source:HGNC Symbol;Acc:HGNC:26660]"
87,MUC20-OT1,lncRNA,MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]
88,LINC00235,lncRNA,long intergenic non-protein coding RNA 235 [Source:HGNC Symbol;Acc:HGNC:14138]
89,CAPN15,lncRNA,calpain 15 [Source:HGNC Symbol;Acc:HGNC:11182]
90,C21orf62-AS1,lncRNA,C21orf62 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1290]
91,LRIG3-DT,lncRNA,LRIG3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55476]
92,DIS3L-AS1,lncRNA,DIS3L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55369]
93,,lncRNA,"novel transcript, antisense to SMN2"
94,,lncRNA,"novel transcript, sense intronic to NDUFA6"
95,NDUFA6-DT,lncRNA,NDUFA6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:45273]
96,MIR210HG,lncRNA,MIR210 host gene [Source:HGNC Symbol;Acc:HGNC:39524]
97,,lncRNA,long intergenic non-protein coding RNA 976
98,LINC00824,lncRNA,long intergenic non-protein coding RNA 824 [Source:HGNC Symbol;Acc:HGNC:50281]
99,LILRP2,lncRNA,leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]
100,KCNQ2-AS1,lncRNA,KCNQ2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40321]
101,FLJ13224,lncRNA,uncharacterized LOC79857 [Source:NCBI gene (formerly Entrezgene);Acc:79857]
102,LINC01060,lncRNA,long intergenic non-protein coding RNA 1060 [Source:HGNC Symbol;Acc:HGNC:49081]
103,,lncRNA,"novel transcript, antisense to KCNQ2"
104,LINC03003,lncRNA,long intergenic non-protein coding RNA 3003 [Source:HGNC Symbol;Acc:HGNC:56126]
105,LINC02569,lncRNA,long intergenic non-protein coding RNA 2569 [Source:HGNC Symbol;Acc:HGNC:39760]
106,HCG18,lncRNA,HLA complex group 18 [Source:HGNC Symbol;Acc:HGNC:31337]
107,,lncRNA,"glucuronidase, beta (GUSB) pseudogene"
108,LINC02197,lncRNA,long intergenic non-protein coding RNA 2197 [Source:HGNC Symbol;Acc:HGNC:53063]
109,,lncRNA,"novel transcript, antisense to SMN1"
