,Gene name,Gene type,Gene description
0,,processed_pseudogene,"aldehyde dehydrogenase 6 family, member A1 (ALDH6A1) pseudogene"
1,LILRP2,transcribed_processed_pseudogene,leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]
2,LILRP1,unprocessed_pseudogene,leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]
3,,unprocessed_pseudogene,pseudogene similar to part of breast cancer antigen NY-BR-1 (NY-BR-1)
4,ODAD2P1,unprocessed_pseudogene,outer dynein arm docking complex subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44937]
5,FAM210CP,processed_pseudogene,"family with sequence similarity 210 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:44938]"
6,TRIAP1P1,processed_pseudogene,TP53 regulated inhibitor of apoptosis 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31659]
7,,unprocessed_pseudogene,novel killer cell immunoglobulin-like receptor protein pseudogene
8,,processed_pseudogene,adipose differentiation-related protein (ADFP) pseudogene
9,,unprocessed_pseudogene,"immunoglobulin superfamily, DCC subclass, member 3 (IGDCC3) pseudogene"
10,GEMIN2P1,processed_pseudogene,gem nuclear organelle associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49561]
11,,unprocessed_pseudogene,killer cell immunoglobulin-like receptor family pseudogene
12,OR9G3P,unprocessed_pseudogene,olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]
13,OR5G1P,unprocessed_pseudogene,olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]
14,OR5G4P,unprocessed_pseudogene,olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]
15,OR9G2P,unprocessed_pseudogene,olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]
16,,processed_pseudogene,GNAS complex locus (GNAS) pseudogene
17,KIR3DP1,unprocessed_pseudogene,"killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]"
18,KIR2DP1,unprocessed_pseudogene,"killer cell immunoglobulin like receptor, two Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16344]"
19,KIR2DS4,unprocessed_pseudogene,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]"
20,OR5G5P,transcribed_unprocessed_pseudogene,olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]
21,,processed_pseudogene,gem (nuclear organelle) associated protein 2 (GEMIN2) pseudogene
22,LILRP1,transcribed_unprocessed_pseudogene,leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]
23,IMPDH1P5,processed_pseudogene,inosine monophosphate dehydrogenase 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33960]
24,,processed_pseudogene,metadherin (MTDH) pseudogene
25,CCNYL6,processed_pseudogene,cyclin Y like 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:54657]
26,,unprocessed_pseudogene,novel zinc finger protein pseudogene
27,BRI3BPP1,transcribed_processed_pseudogene,BRI3 binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51482]
28,VN1R84P,unprocessed_pseudogene,vomeronasal 1 receptor 84 pseudogene [Source:HGNC Symbol;Acc:HGNC:37404]
29,MTDHP4,processed_pseudogene,metadherin pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:52360]
30,,unprocessed_pseudogene,novel zinc finger pseudogene
31,KRT18P40,unprocessed_pseudogene,keratin 18 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:33409]
32,KRTAP9-10P,unprocessed_pseudogene,"keratin associated protein 9-10, pseudogene [Source:HGNC Symbol;Acc:HGNC:34210]"
33,,unprocessed_pseudogene,novel keratin associated protein 9 family pseudogene
34,BNIP3P24,processed_pseudogene,BCL2 interacting protein 3 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:49704]
35,LILRP2,transcribed_unprocessed_pseudogene,leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]
36,KIR3DP1,transcribed_unprocessed_pseudogene,"killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]"
37,,pseudogene,
38,,unprocessed_pseudogene,general transcription factor IIi (GTF2I) pseudogene
39,,unprocessed_pseudogene,septin 14 (SEPT14) pseudogene
40,,processed_pseudogene,"family with sequence similarity 166, member A (FAM166A) pseudogene"
41,,processed_pseudogene,capicua homolog (Drosophila) (CIC) pseudogene
42,,unprocessed_pseudogene,"tubulin, beta 8 (TUBB8) pseudogene"
43,,transcribed_unprocessed_pseudogene,FSHD region gene 2 family pseudogene
44,,transcribed_unprocessed_pseudogene,Ankyrin repeat domain 18A (ANKRD18A) pseudogene
