Sl. No.,Journal name,2022 JIF
1,CA-A CANCER JOURNAL FOR CLINICIANS,254.7
2,LANCET,168.9
3,NEW ENGLAND JOURNAL OF MEDICINE,158.5
4,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,120.7
5,NATURE REVIEWS DRUG DISCOVERY,120.1
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,112.7
7,BMJ-British Medical Journal,105.7
8,NATURE REVIEWS IMMUNOLOGY,100.3
9,NATURE REVIEWS MICROBIOLOGY,88.1
10,Nature Reviews Materials,83.5
11,NATURE MEDICINE,82.9
12,Nature Reviews Disease Primers,81.5
13,Nature Reviews Clinical Oncology,78.8
14,NATURE REVIEWS CANCER,78.5
15,Lancet Respiratory Medicine,76.2
16,World Psychiatry,73.3
17,Nature Reviews Gastroenterology & Hepatology,65.1
18,NATURE,64.8
19,CELL,64.5
20,Lancet Psychiatry,64.3
21,CHEMICAL REVIEWS,62.1
22,SCIENCE,56.9
23,Nature Energy,56.7
24,LANCET INFECTIOUS DISEASES,56.3
25,LANCET ONCOLOGY,51.1
26,ANNALS OF ONCOLOGY,50.5
27,CANCER CELL,50.3
28,Lancet Public Health,50
29,Nature Reviews Cardiology,49.6
30,LANCET NEUROLOGY,48
31,NATURE METHODS,48
32,NATURE BIOTECHNOLOGY,46.9
33,CHEMICAL SOCIETY REVIEWS,46.2
34,JOURNAL OF CLINICAL ONCOLOGY,45.3
35,Lancet Diabetes & Endocrinology,44.5
36,CELL RESEARCH,44.1
37,REVIEWS OF MODERN PHYSICS,44.1
38,NATURE REVIEWS GENETICS,42.7
39,Nature Reviews Earth & Environment,42.1
40,Nature Reviews Nephrology,41.5
41,NATURE MATERIALS,41.2
42,Living Reviews in Relativity,40.6
43,Nature Reviews Endocrinology,40.5
44,Joule,39.8
45,EUROPEAN HEART JOURNAL,39.3
46,Signal Transduction and Targeted Therapy,39.3
47,ANNALS OF INTERNAL MEDICINE,39.2
48,JAMA Internal Medicine,39
49,INTENSIVE CARE MEDICINE,38.9
50,Nature Reviews Physics,38.5
51,Nature Nanotechnology,38.3
52,Lancet Microbe,38.2
53,Nature Reviews Neurology,38.1
54,CIRCULATION,37.8
55,Nature Catalysis,37.8
56,PROGRESS IN MATERIALS SCIENCE,37.4
57,Molecular Cancer,37.3
58,CLINICAL MICROBIOLOGY REVIEWS,36.8
59,Lancet Child & Adolescent Health,36.4
60,Nature Reviews Chemistry,36.3
61,Annual Review of Pathology-Mechanisms of Disease,36.2
62,Lancet Gastroenterology & Hepatology,35.7
63,IEEE Communications Surveys and Tutorials,35.6
64,Nature Photonics,35
65,NATURE REVIEWS NEUROSCIENCE,34.7
66,Lancet Global Health,34.3
67,Nature Electronics,34.3
68,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,33.9
69,MMWR Recommendations and Reports,33.7
70,Nature Reviews Rheumatology,33.7
71,PHYSIOLOGICAL REVIEWS,33.6
72,Cell Discovery,33.5
73,Annual Review of Astronomy and Astrophysics,33.3
74,Energy & Environmental Science,32.5
75,Immunity,32.4
76,Electrochemical Energy Reviews,31.3
77,MATERIALS SCIENCE & ENGINEERING R-REPORTS,31
78,Lancet Digital Health,30.8
79,NATURE GENETICS,30.8
80,Nature Climate Change,30.7
81,NATURE IMMUNOLOGY,30.5
82,Cell Host & Microbe,30.3
83,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,30
84,Nature Human Behaviour,29.9
85,Annual Review of Immunology,29.7
86,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,29.5
87,ADVANCED MATERIALS,29.4
88,Gastroenterology,29.4
89,BEHAVIORAL AND BRAIN SCIENCES,29.3
90,Cell Metabolism,29
91,JAMA Neurology,29
92,Journal of Hematology & Oncology,28.5
93,JAMA Oncology,28.4
94,Nature Microbiology,28.3
95,Cancer Discovery,28.2
96,JOURNAL OF INFECTION,28.2
97,Nature Biomedical Engineering,28.1
98,Advanced Energy Materials,27.8
99,Annual Review of Fluid Mechanics,27.7
100,Nature Sustainability,27.6
101,Molecular Plant,27.5
102,ANNALS OF THE RHEUMATIC DISEASES,27.4
103,Advances in Optics and Photonics,27.1
104,PROGRESS IN POLYMER SCIENCE,27.1
105,Nano-Micro Letters,26.6
106,JAMA Pediatrics,26.1
107,ASTRONOMY AND ASTROPHYSICS REVIEW,25.8
108,JAMA Psychiatry,25.8
109,JOURNAL OF HEPATOLOGY,25.7
110,JOURNAL OF TRAVEL MEDICINE,25.7
111,Lancet Planetary Health,25.7
112,Lancet Rheumatology,25.4
113,REVIEWS OF GEOPHYSICS,25.2
114,NATURE NEUROSCIENCE,25
115,Science Robotics,25
116,MMWR Surveillance Summaries,24.9
117,Annual Review of Psychology,24.8
118,Science Immunology,24.8
119,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,24.7
120,Lancet Haematology,24.7
121,GUT,24.5
122,DRUG RESISTANCE UPDATES,24.3
123,EUROPEAN RESPIRATORY JOURNAL,24.3
124,Materials Today,24.2
125,Cellular & Molecular Immunology,24.1
126,JAMA Cardiology,24
127,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,24
128,Annual Review of Plant Biology,23.9
129,Cell Stem Cell,23.9
130,Annual Review of Entomology,23.8
131,Nature Machine Intelligence,23.8
132,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,23.6
133,Chem,23.5
134,EUROPEAN UROLOGY,23.4
135,Nature Food,23.2
136,PSYCHOTHERAPY AND PSYCHOSOMATICS,22.8
137,COMMUNICATIONS OF THE ACM,22.7
138,InfoMat,22.7
139,Nature Cancer,22.7
140,Annual Review of Condensed Matter Physics,22.6
141,PSYCHOLOGICAL BULLETIN,22.4
142,APPLIED CATALYSIS B-ENVIRONMENTAL,22.1
143,ACS Energy Letters,22
144,Nature Chemistry,21.8
145,NATURE CELL BIOLOGY,21.3
146,Military Medical Research,21.1
147,PHARMACOLOGICAL REVIEWS,21.1
148,Protein & Cell,21.1
149,Living Reviews in Solar Physics,20.9
150,Annual Review of Public Health,20.8
151,Nature Metabolism,20.8
152,COORDINATION CHEMISTRY REVIEWS,20.6
153,National Science Review,20.6
154,PROCEEDINGS OF THE IEEE,20.6
155,Carbon Energy,20.5
156,TRENDS IN PLANT SCIENCE,20.5
157,Energy Storage Materials,20.4
158,Journal of Thoracic Oncology,20.4
159,BLOOD,20.3
160,ENDOCRINE REVIEWS,20.3
161,FUNGAL DIVERSITY,20.3
162,Advanced Composites and Hybrid Materials,20.1
163,CIRCULATION RESEARCH,20.1
164,TRENDS IN COGNITIVE SCIENCES,19.9
165,RADIOLOGY,19.7
166,KIDNEY INTERNATIONAL,19.6
167,Nature Physics,19.6
168,INTERNATIONAL JOURNAL OF COMPUTER VISION,19.5
169,Light-Science & Applications,19.4
170,ADVANCED FUNCTIONAL MATERIALS,19
171,Eurosurveillance,19
172,TRENDS IN CELL BIOLOGY,19
173,Bioactive Materials,18.9
174,Matter,18.9
175,Science Bulletin,18.9
176,Information Fusion,18.6
177,PERIODONTOLOGY 2000,18.6
178,Annual Review of Clinical Psychology,18.4
179,BRITISH JOURNAL OF SPORTS MEDICINE,18.4
180,Trends in Cancer,18.4
181,ACCOUNTS OF CHEMICAL RESEARCH,18.3
182,Nature Geoscience,18.3
183,ACS Central Science,18.2
184,Annual Review of Physiology,18.2
185,EUROPEAN JOURNAL OF HEART FAILURE,18.2
186,REPORTS ON PROGRESS IN PHYSICS,18.1
187,Nature Plants,18
188,PROGRESS IN RETINAL AND EYE RESEARCH,17.8
189,AMERICAN JOURNAL OF PSYCHIATRY,17.7
190,IEEE Reviews in Biomedical Engineering,17.6
191,Journal of Magnesium and Alloys,17.6
192,Nano Energy,17.6
193,Nano Today,17.4
194,Advanced Photonics,17.3
195,Annual Review of Marine Science,17.3
196,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,17.3
197,TRENDS IN BIOTECHNOLOGY,17.3
198,ACS Nano,17.1
199,Science Translational Medicine,17.1
200,JAMA Surgery,16.9
201,Journal of Advanced Ceramics,16.9
202,Nature Ecology & Evolution,16.8
203,NATURE STRUCTURAL & MOLECULAR BIOLOGY,16.8
204,TRENDS IN ECOLOGY & EVOLUTION,16.8
205,TRENDS IN IMMUNOLOGY,16.8
206,ACM COMPUTING SURVEYS,16.6
207,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.6
208,Annual Review of Biochemistry,16.6
209,Nature Communications,16.6
210,Chinese Journal of Catalysis,16.5
211,PhotoniX,16.5
212,STUDIES IN MYCOLOGY,16.5
213,Annual Review of Environment and Resources,16.4
214,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,16.4
215,Cancer Communications,16.2
216,DIABETES CARE,16.2
217,Neuron,16.2
218,One Earth,16.2
219,ADVANCED DRUG DELIVERY REVIEWS,16.1
220,Advanced Fiber Materials,16.1
221,INTERNATIONAL MATERIALS REVIEWS,16.1
222,Lancet HIV,16.1
223,BIOTECHNOLOGY ADVANCES,16
224,Journal of Extracellular Vesicles,16
225,Molecular Cell,16
226,JOURNAL OF CLINICAL INVESTIGATION,15.9
227,NEURO-ONCOLOGY,15.9
228,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,15.9
229,Small Structures,15.9
230,TRENDS IN MICROBIOLOGY,15.9
231,TRENDS IN NEUROSCIENCES,15.9
232,PLOS MEDICINE,15.8
233,Environmental Chemistry Letters,15.7
234,Journal of Industrial Information Integration,15.7
235,Trends in Chemistry,15.7
236,ADVANCES IN COLLOID AND INTERFACE SCIENCE,15.6
237,Microbiome,15.5
238,International Journal of Surgery,15.3
239,JOURNAL OF EXPERIMENTAL MEDICINE,15.3
240,Nature Reviews Urology,15.3
241,TRENDS IN FOOD SCIENCE & TECHNOLOGY,15.3
242,npj Digital Medicine,15.2
243,Advanced Science,15.1
244,BRAIN BEHAVIOR AND IMMUNITY,15.1
245,Chemical Engineering Journal,15.1
246,CRITICAL CARE,15.1
247,EClinicalMedicine,15.1
248,Molecular Neurodegeneration,15.1
249,Applied Physics Reviews,15
250,Energy & Environmental Materials,15
251,Journal of the American Chemical Society,15
252,Annual Review of Earth and Planetary Sciences,14.9
253,IEEE SIGNAL PROCESSING MAGAZINE,14.9
254,International Journal of Oral Science,14.9
255,NUCLEIC ACIDS RESEARCH,14.9
256,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,14.8
257,Nature Chemical Biology,14.8
258,Nature Protocols,14.8
259,Annual Review of Physical Chemistry,14.7
260,International Journal of Extreme Manufacturing,14.7
261,CANADIAN MEDICAL ASSOCIATION JOURNAL,14.6
262,EcoMat,14.6
263,IEEE Geoscience and Remote Sensing Magazine,14.6
264,Mycosphere,14.6
265,npj Flexible Electronics,14.6
266,Acta Pharmaceutica Sinica B,14.5
267,BRAIN,14.5
268,SEMINARS IN CANCER BIOLOGY,14.5
269,ARTIFICIAL INTELLIGENCE,14.4
270,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,14.4
271,Applied Mechanics Reviews,14.3
272,Cell Reports Medicine,14.3
273,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,14.3
274,ACTA NUMERICA,14.2
275,CLINICAL MICROBIOLOGY AND INFECTION,14.2
276,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,14.2
277,Nature Astronomy,14.1
278,Opto-Electronic Advances,14.1
279,Alzheimers & Dementia,14
280,BIOMATERIALS,14
281,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,14
282,JACC-Cardiovascular Imaging,14
283,Annual Review of Neuroscience,13.9
284,JAMA Network Open,13.8
285,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,13.8
286,Liver Cancer,13.8
287,PLANT BIOTECHNOLOGY JOURNAL,13.8
288,TRENDS IN BIOCHEMICAL SCIENCES,13.8
289,TRENDS IN PHARMACOLOGICAL SCIENCES,13.8
290,OPHTHALMOLOGY,13.7
291,Advances in Methods and Practices in Psychological Science,13.6
292,AUTOIMMUNITY REVIEWS,13.6
293,EUROPEAN JOURNAL OF EPIDEMIOLOGY,13.6
294,JOURNAL OF HAZARDOUS MATERIALS,13.6
295,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,13.6
296,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,13.6
297,PROGRESS IN LIPID RESEARCH,13.6
298,Science Advances,13.6
299,TRENDS IN MOLECULAR MEDICINE,13.6
300,HEPATOLOGY,13.5
301,PHARMACOLOGY & THERAPEUTICS,13.5
302,REMOTE SENSING OF ENVIRONMENT,13.5
303,AMERICAN JOURNAL OF BIOETHICS,13.4
304,Annual Review of Control Robotics and Autonomous Systems,13.4
305,Journal of the National Comprehensive Cancer Network,13.4
306,Arthritis & Rheumatology,13.3
307,Autophagy,13.3
308,Green Energy & Environment,13.3
309,HUMAN REPRODUCTION UPDATE,13.3
310,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,13.3
311,Materials Horizons,13.3
312,MEDICINAL RESEARCH REVIEWS,13.3
313,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,13.3
314,Small,13.3
