,Preferred Label,Semantic Types Label,mesh_id
491682,"Mastocytosis, Cutaneous",Disease or Syndrome,D034701
493518,Mastocytosis,Disease or Syndrome,D008415
36596,"Immunoglobulins, Intravenous",Pharmacologic Substance,D016756
75974,Immunoglobulin D,Pharmacologic Substance,D007072
75975,Immunoglobulin G,Pharmacologic Substance,D007074
90434,"Receptors, Polymeric Immunoglobulin","Amino Acid, Peptide, or Protein",D019056
93220,"Immunoglobulins, Thyroid-Stimulating","Amino Acid, Peptide, or Protein",D018828
109032,"Immunoglobulins, Intravenous","Amino Acid, Peptide, or Protein",D016756
109538,Leukocyte Immunoglobulin-like Receptor B1,"Amino Acid, Peptide, or Protein",D000075362
113432,"Immunoglobulin Light Chains, Surrogate","Amino Acid, Peptide, or Protein",D054444
114517,Immunoglobulin Constant Regions,"Amino Acid, Peptide, or Protein",D007127
114518,Immunoglobulin Gm Allotypes,"Amino Acid, Peptide, or Protein",D007129
114519,Immunoglobulin Fragments,"Amino Acid, Peptide, or Protein",D007128
138939,Sialic Acid Binding Immunoglobulin-like Lectins,"Amino Acid, Peptide, or Protein",D063265
166472,Immunoglobulin gamma-Chains,"Amino Acid, Peptide, or Protein",D007142
166474,Immunoglobulin mu-Chains,"Amino Acid, Peptide, or Protein",D007148
166475,Immunoglobulin Fc Fragments,"Amino Acid, Peptide, or Protein",D007141
166476,Immunoglobulin Fab Fragments,"Amino Acid, Peptide, or Protein",D007140
166477,Immunoglobulin Light Chains,"Amino Acid, Peptide, or Protein",D007147
166478,Immunoglobulin lambda-Chains,"Amino Acid, Peptide, or Protein",D007146
166479,Immunoglobulin kappa-Chains,"Amino Acid, Peptide, or Protein",D007145
166480,Immunoglobulin Heavy Chains,"Amino Acid, Peptide, or Protein",D007143
176414,Immunoglobulin D,"Amino Acid, Peptide, or Protein",D007072
176415,"Immunoglobulin A, Secretory","Amino Acid, Peptide, or Protein",D007071
176416,Immunoglobulin G,"Amino Acid, Peptide, or Protein",D007074
176417,Immunoglobulin E,"Amino Acid, Peptide, or Protein",D007073
176418,Immunoglobulin A,"Amino Acid, Peptide, or Protein",D007070
176419,Immunoglobulin M,"Amino Acid, Peptide, or Protein",D007075
180978,Immunoglobulins,"Amino Acid, Peptide, or Protein",D007136
180979,Immunoglobulin Variable Region,"Amino Acid, Peptide, or Protein",D007135
180980,Immunoglobulin Joining Region,"Amino Acid, Peptide, or Protein",D007133
180981,Immunoglobulin epsilon-Chains,"Amino Acid, Peptide, or Protein",D007139
180982,Immunoglobulin Isotypes,"Amino Acid, Peptide, or Protein",D007132
180984,Immunoglobulin alpha-Chains,"Amino Acid, Peptide, or Protein",D007137
388617,Immunoglobulin Switch Region,Biologically Active Substance,D007134
390432,"Receptors, Polymeric Immunoglobulin",Immunologic Factor,D019056
390586,"Immunoglobulins, Thyroid-Stimulating",Immunologic Factor,D018828
391439,"Immunoglobulins, Intravenous",Immunologic Factor,D016756
391693,"Immunoglobulin Light Chains, Surrogate",Immunologic Factor,D054444
