,Preferred Label,Semantic Types Label,mesh_id
120189,Stearoyl-CoA Desaturase,"Amino Acid, Peptide, or Protein",D013230
404909,Stearoyl-CoA Desaturase,Enzyme,D013230
138594,Phosphatidate Phosphatase,"Amino Acid, Peptide, or Protein",D010711
409168,Phosphatidate Phosphatase,Enzyme,D010711
504436,Oxidation-Reduction,Molecular Function,D010084
192368,Lysophosphatidylcholines,Organic Chemical,D008244
219564,Unilamellar Liposomes,Organic Chemical,D053835
239857,Liposomes,Organic Chemical,D008081
104296,Lipopolysaccharide Receptors,"Amino Acid, Peptide, or Protein",D018950
246662,Lipopolysaccharides,Organic Chemical,D008070
391197,Lipopolysaccharide Receptors,Immunologic Factor,D018950
34883,Lipopeptides,Pharmacologic Substance,D055666
105708,Lipopeptides,"Amino Acid, Peptide, or Protein",D055666
343581,Lipopeptides,Biologically Active Substance,D055666
513337,Lipolysis,Organism Function,D008066
503125,Lipid Droplets,Cell Component,D066292
78089,Lipase,Pharmacologic Substance,D008049
87649,Monoacylglycerol Lipases,"Amino Acid, Peptide, or Protein",D008994
128690,Lipoprotein Lipase,"Amino Acid, Peptide, or Protein",D008071
180094,Lipase,"Amino Acid, Peptide, or Protein",D008049
397463,Monoacylglycerol Lipases,Enzyme,D008994
406817,Lipoprotein Lipase,Enzyme,D008071
418704,Lipase,Enzyme,D008049
66790,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Pharmacologic Substance,D019161
289024,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Organic Chemical,D019161
101801,Fatty Acid Desaturases,"Amino Acid, Peptide, or Protein",D044943
164118,Delta-5 Fatty Acid Desaturase,"Amino Acid, Peptide, or Protein",D000090943
400667,Fatty Acid Desaturases,Enzyme,D044943
414971,Delta-5 Fatty Acid Desaturase,Enzyme,D000090943
172532,Coenzyme A-Transferases,"Amino Acid, Peptide, or Protein",D015256
417007,Coenzyme A-Transferases,Enzyme,D015256
94624,Coenzyme A Ligases,"Amino Acid, Peptide, or Protein",D003066
399037,Coenzyme A Ligases,Enzyme,D003066
84126,Cholesterol Side-Chain Cleavage Enzyme,"Amino Acid, Peptide, or Protein",D002786
396671,Cholesterol Side-Chain Cleavage Enzyme,Enzyme,D002786
188975,Cholesterol Esters,Organic Chemical,D002788
330751,Cholesterol Esters,Biologically Active Substance,D002788
495621,Cholesterol Ester Storage Disease,Disease or Syndrome,D015217
495621,Cholesterol Ester Storage Disease,Disease or Syndrome,D015217
498614,Lecithin Cholesterol Acyltransferase Deficiency,Disease or Syndrome,D007863
82773,Cholesterol 7-alpha-Hydroxylase,"Amino Acid, Peptide, or Protein",D002790
396345,Cholesterol 7-alpha-Hydroxylase,Enzyme,D002790
238564,Ceramides,Organic Chemical,D002518
353423,Ceramides,Biologically Active Substance,D002518
148999,Carnitine O-Palmitoyltransferase,"Amino Acid, Peptide, or Protein",D002334
411527,Carnitine O-Palmitoyltransferase,Enzyme,D002334
148192,Arachidonate 5-Lipoxygenase,"Amino Acid, Peptide, or Protein",D001094
411343,Arachidonate 5-Lipoxygenase,Enzyme,D001094
100834,Apolipoprotein E4,"Amino Acid, Peptide, or Protein",D053327
149091,Apolipoprotein E3,"Amino Acid, Peptide, or Protein",D053318
100833,Apolipoprotein E2,"Amino Acid, Peptide, or Protein",D053329
340670,Apolipoprotein E2,Biologically Active Substance,D053329
129013,Apolipoproteins E,"Amino Acid, Peptide, or Protein",D001057
357441,Apolipoproteins E,Biologically Active Substance,D001057
107473,Apolipoprotein C-I,"Amino Acid, Peptide, or Protein",D053302
107476,Apolipoprotein C-II,"Amino Acid, Peptide, or Protein",D053304
107478,Apolipoprotein C-III,"Amino Acid, Peptide, or Protein",D053305
129012,Apolipoproteins C,"Amino Acid, Peptide, or Protein",D001056
344663,Apolipoprotein C-I,Biologically Active Substance,D053302
344665,Apolipoprotein C-II,Biologically Active Substance,D053304
344666,Apolipoprotein C-III,Biologically Active Substance,D053305
357440,Apolipoproteins C,Biologically Active Substance,D001056
129016,Apolipoproteins B,"Amino Acid, Peptide, or Protein",D001055
131300,Apolipoprotein B-48,"Amino Acid, Peptide, or Protein",D053283
148062,Apolipoprotein B-100,"Amino Acid, Peptide, or Protein",D053299
357444,Apolipoproteins B,Biologically Active Substance,D001055
358798,Apolipoprotein B-48,Biologically Active Substance,D053283
368722,Apolipoprotein B-100,Biologically Active Substance,D053299
