,Preferred Label,Semantic Types Label,mesh_id
504239,Metabolome,Natural Phenomenon or Process,D055442
506382,Metabolomics,Biomedical Occupation or Discipline,D055432
512145,Metabolome,Physiologic Function,D055442
7963,Gastrointestinal Microbiome,Bacterium,D000069196
514030,Gastrointestinal Microbiome,Organism,D000069196
207460,"Fatty Acids, Monounsaturated",Organic Chemical,D005229
339100,"Fatty Acids, Monounsaturated",Biologically Active Substance,D005229
243977,"Dietary Fats, Unsaturated",Organic Chemical,D004042
503750,Dietary Fats,Food,D004041
503752,"Dietary Fats, Unsaturated",Food,D004042
89054,"ATP Binding Cassette Transporter, Subfamily G, Member 1","Amino Acid, Peptide, or Protein",D000070998
92220,"ATP Binding Cassette Transporter, Subfamily G, Member 2","Amino Acid, Peptide, or Protein",D000070997
95454,"ATP Binding Cassette Transporter, Subfamily D, Member 1","Amino Acid, Peptide, or Protein",D000074063
96027,"ATP Binding Cassette Transporter, Subfamily A, Member 4","Amino Acid, Peptide, or Protein",D000073882
96644,ATP-Binding Cassette Transporters,"Amino Acid, Peptide, or Protein",D018528
102875,"ATP Binding Cassette Transporter, Subfamily D","Amino Acid, Peptide, or Protein",D000074061
108527,"ATP Binding Cassette Transporter, Subfamily B, Member 2","Amino Acid, Peptide, or Protein",D000071181
130069,"ATP Binding Cassette Transporter, Subfamily G, Member 8","Amino Acid, Peptide, or Protein",D000071019
134429,"ATP Binding Cassette Transporter, Subfamily B, Member 3","Amino Acid, Peptide, or Protein",D000071450
146267,"ATP Binding Cassette Transporter, Subfamily B, Member 1","Amino Acid, Peptide, or Protein",D020168
154638,ATP Binding Cassette Transporter 1,"Amino Acid, Peptide, or Protein",D064286
155504,"ATP Binding Cassette Transporter, Subfamily B","Amino Acid, Peptide, or Protein",D018435
157346,"ATP Binding Cassette Transporter, Subfamily G","Amino Acid, Peptide, or Protein",D000070996
170108,"ATP Binding Cassette Transporter, Subfamily B, Member 11","Amino Acid, Peptide, or Protein",D000074020
172662,"ATP Binding Cassette Transporter, Subfamily A","Amino Acid, Peptide, or Protein",D000073874
181378,"ATP Binding Cassette Transporter, Subfamily G, Member 5","Amino Acid, Peptide, or Protein",D000071018
333694,"ATP Binding Cassette Transporter, Subfamily G, Member 1",Biologically Active Substance,D000070998
335600,"ATP Binding Cassette Transporter, Subfamily G, Member 2",Biologically Active Substance,D000070997
337501,"ATP Binding Cassette Transporter, Subfamily D, Member 1",Biologically Active Substance,D000074063
337846,"ATP Binding Cassette Transporter, Subfamily A, Member 4",Biologically Active Substance,D000073882
338199,ATP-Binding Cassette Transporters,Biologically Active Substance,D018528
341925,"ATP Binding Cassette Transporter, Subfamily D",Biologically Active Substance,D000074061
358059,"ATP Binding Cassette Transporter, Subfamily G, Member 8",Biologically Active Substance,D000071019
367661,"ATP Binding Cassette Transporter, Subfamily B, Member 1",Biologically Active Substance,D020168
372806,ATP Binding Cassette Transporter 1,Biologically Active Substance,D064286
373297,"ATP Binding Cassette Transporter, Subfamily B",Biologically Active Substance,D018435
374454,"ATP Binding Cassette Transporter, Subfamily G",Biologically Active Substance,D000070996
382171,"ATP Binding Cassette Transporter, Subfamily B, Member 11",Biologically Active Substance,D000074020
383641,"ATP Binding Cassette Transporter, Subfamily A",Biologically Active Substance,D000073874
388852,"ATP Binding Cassette Transporter, Subfamily G, Member 5",Biologically Active Substance,D000071018
54191,Inositol,Pharmacologic Substance,D007294
91177,"Inositol 1,4,5-Trisphosphate Receptors","Amino Acid, Peptide, or Protein",D053496
91399,Inositol Oxygenase,"Amino Acid, Peptide, or Protein",D050562
131385,Inositol Polyphosphate 5-Phosphatases,"Amino Acid, Peptide, or Protein",D000072181
138926,Myo-Inositol-1-Phosphate Synthase,"Amino Acid, Peptide, or Protein",D007296
