,Preferred Label,Semantic Types Label,mesh_id
496277,"Fatigue Syndrome, Chronic",Disease or Syndrome,D015673
494266,Migraine Disorders,Disease or Syndrome,D008881
495149,Tension-Type Headache,Disease or Syndrome,D018781
495401,Headache Disorders,Disease or Syndrome,D020773
497501,Cluster Headache,Disease or Syndrome,D003027
497723,"Headache Disorders, Primary",Disease or Syndrome,D051270
497724,"Headache Disorders, Secondary",Disease or Syndrome,D051271
501545,"Headache Disorders, Primary",Finding,D051270
507805,Headache,Sign or Symptom,D006261
56406,Central Nervous System Depressants,Pharmacologic Substance,D002492
59692,Appetite Depressants,Pharmacologic Substance,D001067
499905,"Depressive Disorder, Major",Mental or Behavioral Dysfunction,D003865
499906,Depressive Disorder,Mental or Behavioral Dysfunction,D003866
499983,"Depressive Disorder, Treatment-Resistant",Mental or Behavioral Dysfunction,D061218
89492,Fanconi Anemia Complementation Group Proteins,"Amino Acid, Peptide, or Protein",D051856
89922,Fanconi Anemia Complementation Group L Protein,"Amino Acid, Peptide, or Protein",D052240
89926,Fanconi Anemia Complementation Group G Protein,"Amino Acid, Peptide, or Protein",D052241
151029,Fanconi Anemia Complementation Group N Protein,"Amino Acid, Peptide, or Protein",D000076164
168469,Fanconi Anemia Complementation Group D2 Protein,"Amino Acid, Peptide, or Protein",D052236
168470,Fanconi Anemia Complementation Group E Protein,"Amino Acid, Peptide, or Protein",D052239
173656,Fanconi Anemia Complementation Group F Protein,"Amino Acid, Peptide, or Protein",D052219
173657,Fanconi Anemia Complementation Group C Protein,"Amino Acid, Peptide, or Protein",D052218
173658,Fanconi Anemia Complementation Group A Protein,"Amino Acid, Peptide, or Protein",D052217
333978,Fanconi Anemia Complementation Group Proteins,Biologically Active Substance,D051856
334226,Fanconi Anemia Complementation Group G Protein,Biologically Active Substance,D052241
370578,Fanconi Anemia Complementation Group N Protein,Biologically Active Substance,D000076164
381191,Fanconi Anemia Complementation Group D2 Protein,Biologically Active Substance,D052236
381192,Fanconi Anemia Complementation Group E Protein,Biologically Active Substance,D052239
384220,Fanconi Anemia Complementation Group F Protein,Biologically Active Substance,D052219
384221,Fanconi Anemia Complementation Group C Protein,Biologically Active Substance,D052218
384222,Fanconi Anemia Complementation Group A Protein,Biologically Active Substance,D052217
397964,Fanconi Anemia Complementation Group L Protein,Enzyme,D052240
491205,"Anemia, Megaloblastic",Disease or Syndrome,D000749
491206,"Anemia, Hemolytic",Disease or Syndrome,D000743
491207,"Anemia, Dyserythropoietic, Congenital",Disease or Syndrome,D000742
491208,"Anemia, Hypochromic",Disease or Syndrome,D000747
491209,"Anemia, Macrocytic",Disease or Syndrome,D000748
491210,"Anemia, Hemolytic, Autoimmune",Disease or Syndrome,D000744
491211,"Anemia, Aplastic",Disease or Syndrome,D000741
491212,"Anemia, Hemolytic, Congenital",Disease or Syndrome,D000745
491213,Anemia,Disease or Syndrome,D000740
491214,"Anemia, Hemolytic, Congenital Nonspherocytic",Disease or Syndrome,D000746
492058,"Anemia, Diamond-Blackfan",Disease or Syndrome,D029503
492059,"Anemia, Hypoplastic, Congenital",Disease or Syndrome,D029502
495090,"Anemia, Neonatal",Disease or Syndrome,D000751
495091,"Anemia, Refractory",Disease or Syndrome,D000753
495092,"Anemia, Sideroblastic",Disease or Syndrome,D000756
495093,"Anemia, Pernicious",Disease or Syndrome,D000752
495094,"Anemia, Myelophthisic",Disease or Syndrome,D000750
495107,"Anemia, Iron-Deficiency",Disease or Syndrome,D018798
496870,Fanconi Anemia,Disease or Syndrome,D005199
501191,Weight Loss,Finding,D015431
501433,Steatorrhea,Finding,D045602
491227,Malabsorption Syndromes,Disease or Syndrome,D008286
507617,Dyspepsia,Sign or Symptom,D004415
496945,Vesico-Ureteral Reflux,Disease or Syndrome,D014718
