,Preferred Label,Semantic Types Label,mesh_id
423609,"Diet, Carbohydrate-Restricted",Therapeutic or Preventive Procedure,D050528
508768,Weight Reduction Programs,Health Care Activity,D061217
496161,Persistent Vegetative State,Disease or Syndrome,D018458
503736,Vegetables,Food,D014675
503834,Vegetable Products,Food,D000067075
503884,Fruit and Vegetable Juices,Food,D000067030
510227,Persistent Vegetative State,Pathologic Function,D018458
497239,Sweet Syndrome,Disease or Syndrome,D016463
503870,Sugar-Sweetened Beverages,Food,D000080845
55383,Sucrose,Pharmacologic Substance,D013395
263226,Sucrose,Organic Chemical,D013395
364583,Sucrose,Biologically Active Substance,D013395
503660,Dietary Sucrose,Food,D019422
506314,Sports Nutritional Sciences,Biomedical Occupation or Discipline,D064132
513422,Sports Nutritional Physiological Phenomena,Organism Function,D064133
503687,"Sodium, Dietary",Food,D012982
503867,"Sodium Chloride, Dietary",Food,D017673
503763,Snacks,Food,D062410
509447,Snacks,Temporal Concept,D062410
512677,Snacks,Individual Behavior,D062410
499234,Satiation,Mental Process,D012527
16633,Probiotics,Bacterium,D019936
200812,Plant Oils,Organic Chemical,D010938
336198,Plant Oils,Biologically Active Substance,D010938
503683,Plant Oils,Food,D010938
504723,Nutritive Value,Qualitative Concept,D009753
506117,Nutritional Sciences,Biomedical Occupation or Discipline,D052756
506314,Sports Nutritional Sciences,Biomedical Occupation or Discipline,D064132
151780,Milk Proteins,"Amino Acid, Peptide, or Protein",D008894
371068,Milk Proteins,Biologically Active Substance,D008894
487393,Milk Thistle,Plant,D020944
503717,Soy Milk,Food,D041942
503800,Cultured Milk Products,Food,D043302
503817,Milk,Food,D008892
510024,Milk Hypersensitivity,Pathologic Function,D016269
514328,"Milk, Human",Body Substance,D008895
514329,Milk,Body Substance,D008892
503665,Red Meat,Food,D000069466
503718,Meat,Food,D008460
503719,Meat Products,Food,D008461
503880,Pork Meat,Food,D000080305
423587,"Diet, Ketogenic",Therapeutic or Preventive Procedure,D055423
