,Preferred Label,Semantic Types Label,mesh_id
509430,Physical Endurance,Temporal Concept,D010807
422130,Nutrition Therapy,Therapeutic or Preventive Procedure,D044623
508542,Nutrition Therapy,Health Care Activity,D044623
113,Nutrition Policy,Intellectual Product,D018673
514750,Motor Activity,Daily or Recreational Activity,D009043
513536,Waist-Hip Ratio,Organism Attribute,D049629
499234,Satiation,Mental Process,D012527
509199,Glycemic Load,Quantitative Concept,D000067940
504083,Nutritional Physiological Phenomena,Organ or Tissue Function,D009747
512218,Nutritional Physiological Phenomena,Physiologic Function,D009747
513339,Prenatal Nutritional Physiological Phenomena,Organism Function,D039401
513422,Sports Nutritional Physiological Phenomena,Organism Function,D064133
505826,Epidemiologic Research Design,Research Activity,D015340
505712,Epidemiologic Methods,Research Activity,D004812
423609,"Diet, Carbohydrate-Restricted",Therapeutic or Preventive Procedure,D050528
491807,Sleep Wake Disorders,Disease or Syndrome,D012893
491809,Sleep Apnea Syndromes,Disease or Syndrome,D012891
491810,Sleep Deprivation,Disease or Syndrome,D012892
491939,"Sleep Disorders, Intrinsic",Disease or Syndrome,D020919
492788,Sleep Paralysis,Disease or Syndrome,D020188
492789,"Sleep Apnea, Obstructive",Disease or Syndrome,D020181
492792,Sleep Bruxism,Disease or Syndrome,D020186
492793,"Sleep Apnea, Central",Disease or Syndrome,D020182
496879,Sleep Arousal Disorders,Disease or Syndrome,D020921
496881,Sleep-Wake Transition Disorders,Disease or Syndrome,D020922
497470,Sleep Initiation and Maintenance Disorders,Disease or Syndrome,D007319
497819,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
499134,"Sleep, REM",Mental Process,D012895
499819,Sleep Wake Disorders,Mental or Behavioral Dysfunction,D012893
499826,"Sleep Disorders, Intrinsic",Mental or Behavioral Dysfunction,D020919
499861,REM Sleep Behavior Disorder,Mental or Behavioral Dysfunction,D020187
499990,Sleep Arousal Disorders,Mental or Behavioral Dysfunction,D020921
499991,Sleep-Wake Transition Disorders,Mental or Behavioral Dysfunction,D020922
500033,Sleep Initiation and Maintenance Disorders,Mental or Behavioral Dysfunction,D007319
500054,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
501187,Sleep Deprivation,Finding,D012892
501188,Sleep,Finding,D012890
501474,Sleep Latency,Finding,D000074361
501536,Sleep Quality,Finding,D000089943
503965,"Sleep, REM",Organ or Tissue Function,D012895
507784,Sleep Initiation and Maintenance Disorders,Sign or Symptom,D007319
510050,Sleep Deprivation,Pathologic Function,D012892
510085,"Sleep Apnea, Central",Pathologic Function,D020182
510330,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
512140,Sleep Stages,Physiologic Function,D012894
512231,"Sleep, Slow-Wave",Physiologic Function,D000077310
512702,Sleep Hygiene,Individual Behavior,D000070263
513318,Sleep Stages,Organism Function,D012894
513319,Sleep,Organism Function,D012890
496695,Life Style,Disease or Syndrome,D008019
512909,Life Style,Social Behavior,D008019
500083,Impulsive Behavior,Mental or Behavioral Dysfunction,D007175
499221,Aptitude,Mental Process,D001076
513540,Aptitude,Organism Attribute,D001076
515307,Weightlessness Simulation,Research Device,D018474
515851,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
504173,Weightlessness,Natural Phenomenon or Process,D014893
515307,Weightlessness Simulation,Research Device,D018474
515851,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
7963,Gastrointestinal Microbiome,Bacterium,D000069196
514030,Gastrointestinal Microbiome,Organism,D000069196
504239,Metabolome,Natural Phenomenon or Process,D055442
506382,Metabolomics,Biomedical Occupation or Discipline,D055432
512145,Metabolome,Physiologic Function,D055442
503660,Dietary Sucrose,Food,D019422
423403,Dietary Approaches To Stop Hypertension,Therapeutic or Preventive Procedure,D000073601
421694,"Diet, High-Fat",Therapeutic or Preventive Procedure,D059305
512228,Energy Metabolism,Physiologic Function,D004734
513440,Energy Metabolism,Organism Function,D004734
506374,Nutrigenomics,Biomedical Occupation or Discipline,D054647
504518,Metabolic Networks and Pathways,Molecular Function,D053858
515695,Metabolic Networks and Pathways,Functional Concept,D053858
504530,Adipogenesis,Molecular Function,D050156
300,Diet Records,Intellectual Product,D015930
496087,Feeding and Eating Disorders,Disease or Syndrome,D001068
499963,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
493844,Pediatric Obesity,Disease or Syndrome,D063766
501287,Pediatric Obesity,Finding,D063766
490584,"Pregnancy Complications, Cardiovascular",Disease or Syndrome,D011249
494772,"Pregnancy Complications, Parasitic",Disease or Syndrome,D015597
498745,"Pregnancy Complications, Hematologic",Disease or Syndrome,D011250
498746,"Pregnancy Complications, Infectious",Disease or Syndrome,D011251
509999,Pregnancy Complications,Pathologic Function,D011248
499844,"Stress, Psychological",Mental or Behavioral Dysfunction,D013315
56406,Central Nervous System Depressants,Pharmacologic Substance,D002492
59692,Appetite Depressants,Pharmacologic Substance,D001067
499784,"Depression, Postpartum",Mental or Behavioral Dysfunction,D019052
499903,"Depression, Chemical",Mental or Behavioral Dysfunction,D003864
499904,Depression,Mental or Behavioral Dysfunction,D003863
499905,"Depressive Disorder, Major",Mental or Behavioral Dysfunction,D003865
499906,Depressive Disorder,Mental or Behavioral Dysfunction,D003866
499983,"Depressive Disorder, Treatment-Resistant",Mental or Behavioral Dysfunction,D061218
504102,Long-Term Synaptic Depression,Organ or Tissue Function,D036881
504188,Inbreeding Depression,Natural Phenomenon or Process,D000071422
507693,Depression,Sign or Symptom,D003863
514535,Cortical Spreading Depression,Clinical Attribute,D013181
423472,Mental Health Recovery,Therapeutic or Preventive Procedure,D000073038
499296,Mental Health,Mental Process,D008603
509408,Quality-Adjusted Life Years,Temporal Concept,D019057
513045,Quality of Life,Idea or Concept,D011788
395,Patient Health Questionnaire,Intellectual Product,D000073222
423472,Mental Health Recovery,Therapeutic or Preventive Procedure,D000073038
499216,Health Literacy,Mental Process,D057220
499296,Mental Health,Mental Process,D008603
499598,"Catchment Area, Health",Geographic Area,D002391
500388,Health Resorts,Manufactured Object,D006294
500506,Health Maintenance Organizations,Manufactured Object,D006279
501131,Oral Health,Finding,D009909
501473,Family Health,Finding,D005192
502399,Health Level Seven,Health Care Related Organization,D057208
502455,"Insurance, Health, Reimbursement",Health Care Related Organization,D007349
502532,Health Maintenance Organizations,Health Care Related Organization,D006279
502539,World Health Organization,Health Care Related Organization,D014944
504728,Health,Qualitative Concept,D006262
506272,Women's Health,Biomedical Occupation or Discipline,D016387
506316,Occupational Health,Biomedical Occupation or Discipline,D016272
506343,Environmental Health,Biomedical Occupation or Discipline,D004782
506365,Global Health,Biomedical Occupation or Discipline,D014943
506367,Health Occupations,Biomedical Occupation or Discipline,D006281
508632,Population Health,Health Care Activity,D000075485
508677,"Insurance, Health, Reimbursement",Health Care Activity,D007349
508680,"Insurance, Health",Health Care Activity,D007348
508735,Voluntary Health Agencies,Health Care Activity,D014837
508841,"Health Benefit Plans, Employee",Health Care Activity,D006264
512620,Health Behavior,Individual Behavior,D015438
512710,Health Risk Behaviors,Individual Behavior,D000073599
512763,Attitude to Health,Social Behavior,D001294
513091,Rural Health,Idea or Concept,D012423
513141,Health Resources,Idea or Concept,D006295
513167,Occupational Health,Idea or Concept,D016272
513198,One Health,Idea or Concept,D000074823
513212,Global Health,Idea or Concept,D014943
513227,Health,Idea or Concept,D006262
515588,Men's Health,Group Attribute,D054526
515608,Veterans Health,Group Attribute,D058014
515995,"Health Knowledge, Attitudes, Practice",Behavior,D007722
493954,"Diabetes Mellitus, Type 2",Disease or Syndrome,D003924
492071,"Skin Diseases, Metabolic",Disease or Syndrome,D012875
492431,Metabolic Diseases,Disease or Syndrome,D008659
495880,"Bone Diseases, Metabolic",Disease or Syndrome,D001851
496057,"Brain Diseases, Metabolic",Disease or Syndrome,D001928
498061,"Brain Diseases, Metabolic, Inborn",Disease or Syndrome,D020739
513506,Body Height,Organism Attribute,D001827
512650,Risk Reduction Behavior,Individual Behavior,D040242
499122,Body Image,Mental Process,D001828
504594,Body Image,Qualitative Concept,D001828
