,Preferred Label,Semantic Types Label,mesh_id
21369,Cholinergic Antagonists,Pharmacologic Substance,D018680
31163,Cholinergic Agonists,Pharmacologic Substance,D018679
31164,Cholinergic Agents,Pharmacologic Substance,D018678
159065,"Receptors, Cholinergic","Amino Acid, Peptide, or Protein",D011950
501182,Cholinergic Agents,Finding,D018678
502944,Cholinergic Fibers,Cell Component,D002799
509910,Non-Neuronal Cholinergic System,Cell Function,D000070634
512137,Cholinergic Agents,Physiologic Function,D018678
165142,Biotinidase,"Amino Acid, Peptide, or Protein",D043523
415192,Biotinidase,Enzyme,D043523
490211,Biotinidase Deficiency,Disease or Syndrome,D028921
505358,Biotinylation,Laboratory Procedure,D019921
87,Recommended Dietary Allowances,Intellectual Product,D064167
126728,Dietary Proteins,"Amino Acid, Peptide, or Protein",D004044
187112,"Cholesterol, Dietary",Organic Chemical,D002791
243974,Dietary Carbohydrates,Organic Chemical,D004040
243977,"Dietary Fats, Unsaturated",Organic Chemical,D004042
421890,Dietary Supplements,Therapeutic or Preventive Procedure,D019587
423403,Dietary Approaches To Stop Hypertension,Therapeutic or Preventive Procedure,D000073601
484681,"Iron, Dietary",Inorganic Chemical,D019266
484817,"Calcium, Dietary",Inorganic Chemical,D002136
487793,Dietary Exposure,Injury or Poisoning,D000074341
503660,Dietary Sucrose,Food,D019422
503679,Dietary Supplements,Food,D019587
503687,"Sodium, Dietary",Food,D012982
503690,"Potassium, Dietary",Food,D017419
503750,Dietary Fats,Food,D004041
503751,Dietary Fiber,Food,D004043
503752,"Dietary Fats, Unsaturated",Food,D004042
503822,Dietary Sugars,Food,D000073417
503867,"Sodium Chloride, Dietary",Food,D017673
493034,Menkes Kinky Hair Syndrome,Disease or Syndrome,D007706
491492,Maple Syrup Urine Disease,Disease or Syndrome,D008375
491227,Malabsorption Syndromes,Disease or Syndrome,D008286
490529,Magnesium Deficiency,Disease or Syndrome,D008275
497772,"Hypophosphatemia, Familial",Disease or Syndrome,D007015
497771,Hypophosphatasia,Disease or Syndrome,D007014
492480,Hypervitaminosis A,Disease or Syndrome,D006986
492480,Hypervitaminosis A,Disease or Syndrome,D006986
491934,Hyperhomocysteinemia,Disease or Syndrome,D020138
496643,Homocystinuria,Disease or Syndrome,D006712
496736,"Hemoglobinuria, Paroxysmal",Disease or Syndrome,D006457
493869,Hartnup Disease,Disease or Syndrome,D006250
494536,Glucosephosphate Dehydrogenase Deficiency,Disease or Syndrome,D005955
490368,Mannosidase Deficiency Diseases,Disease or Syndrome,D044904
491526,Deficiency Diseases,Disease or Syndrome,D003677
492148,Multiple Sulfatase Deficiency Disease,Disease or Syndrome,D052517
495877,Carbamoyl-Phosphate Synthase I Deficiency Disease,Disease or Syndrome,D020165
495878,Ornithine Carbamoyltransferase Deficiency Disease,Disease or Syndrome,D020163
496426,Hereditary Complement Deficiency Diseases,Disease or Syndrome,D000081208
498437,Pyruvate Dehydrogenase Complex Deficiency Disease,Disease or Syndrome,D015325
498439,Pyruvate Carboxylase Deficiency Disease,Disease or Syndrome,D015324
125783,Copper-Transporting ATPases,"Amino Acid, Peptide, or Protein",D000073840
406187,Copper-Transporting ATPases,Enzyme,D000073840
495622,"Blindness, Cortical",Disease or Syndrome,D019575
490211,Biotinidase Deficiency,Disease or Syndrome,D028921
492963,Avitaminosis,Disease or Syndrome,D001361
495092,"Anemia, Sideroblastic",Disease or Syndrome,D000756
495093,"Anemia, Pernicious",Disease or Syndrome,D000752
491205,"Anemia, Megaloblastic",Disease or Syndrome,D000749
495107,"Anemia, Iron-Deficiency",Disease or Syndrome,D018798
484814,Silicon Dioxide,Inorganic Chemical,D012822
503561,Borates,Chemical Viewed Structurally,D001881
23128,Calcium Fluoride,Pharmacologic Substance,D002124
35597,Phenylmethylsulfonyl Fluoride,Pharmacologic Substance,D010664
44745,Sodium Fluoride,Pharmacologic Substance,D012969
66743,Fluorides,Pharmacologic Substance,D005459
218815,Phenylmethylsulfonyl Fluoride,Organic Chemical,D010664
483285,Calcium Fluoride,Inorganic Chemical,D002124
484112,Sodium Fluoride,Inorganic Chemical,D012969
484996,Fluorides,Inorganic Chemical,D005459
487942,Fluoride Poisoning,Injury or Poisoning,D005458
508782,Fluoridation,Health Care Activity,D005457
512580,Fluoridation,Environmental Effect of Humans,D005457
483410,Manganese Compounds,Inorganic Chemical,D017895
484289,Magnesium Compounds,Inorganic Chemical,D017616
483226,Selenium Compounds,Inorganic Chemical,D018036
26085,Iron Carbonyl Compounds,Pharmacologic Substance,D054354
483405,Iron Carbonyl Compounds,Inorganic Chemical,D054354
503513,Iron Compounds,Chemical Viewed Structurally,D058085
484977,Zinc Compounds,Inorganic Chemical,D017967
490325,Choline Deficiency,Disease or Syndrome,D002796
496901,Thiamine Deficiency,Disease or Syndrome,D013832
496850,Riboflavin Deficiency,Disease or Syndrome,D012257
497104,Protein-Energy Malnutrition,Disease or Syndrome,D011502
510276,Protein-Energy Malnutrition,Pathologic Function,D011502
493700,Lipid Metabolism Disorders,Disease or Syndrome,D052439
495284,Phosphorus Metabolism Disorders,Disease or Syndrome,D010760
492848,Iron Metabolism Disorders,Disease or Syndrome,D019189
490509,Calcium Metabolism Disorders,Disease or Syndrome,D002128
89687,"Creatine Kinase, BB Form","Amino Acid, Peptide, or Protein",D052276
89688,"Creatine Kinase, MB Form","Amino Acid, Peptide, or Protein",D052279
113362,Creatine,"Amino Acid, Peptide, or Protein",D003401
113363,Creatine Kinase,"Amino Acid, Peptide, or Protein",D003402
171822,"Creatine Kinase, MM Form","Amino Acid, Peptide, or Protein",D052283
348131,Creatine,Biologically Active Substance,D003401
397903,"Creatine Kinase, BB Form",Enzyme,D052276
397904,"Creatine Kinase, MB Form",Enzyme,D052279
403293,Creatine Kinase,Enzyme,D003402
416815,"Creatine Kinase, MM Form",Enzyme,D052283
20565,Glutathione,Pharmacologic Substance,D005978
65423,Glutathione Disulfide,Pharmacologic Substance,D019803
81139,Glutathione,"Amino Acid, Peptide, or Protein",D005978
81142,Glutathione Peroxidase,"Amino Acid, Peptide, or Protein",D005979
122794,Glutathione S-Transferase pi,"Amino Acid, Peptide, or Protein",D051549
129801,Protein Disulfide Reductase (Glutathione),"Amino Acid, Peptide, or Protein",D011490
154116,Glutathione Synthase,"Amino Acid, Peptide, or Protein",D005981
154118,Glutathione Transferase,"Amino Acid, Peptide, or Protein",D005982
154120,Glutathione Reductase,"Amino Acid, Peptide, or Protein",D005980
157842,Glutathione Disulfide,"Amino Acid, Peptide, or Protein",D019803
328988,Glutathione,Biologically Active Substance,D005978
374747,Glutathione Disulfide,Biologically Active Substance,D019803
395979,Glutathione Peroxidase,Enzyme,D005979
405526,Glutathione S-Transferase pi,Enzyme,D051549
407067,Protein Disulfide Reductase (Glutathione),Enzyme,D011490
412637,Glutathione Synthase,Enzyme,D005981
412639,Glutathione Transferase,Enzyme,D005982
412640,Glutathione Reductase,Enzyme,D005980
514040,Glutathione,Laboratory or Test Result,D005978
54191,Inositol,Pharmacologic Substance,D007294
91177,"Inositol 1,4,5-Trisphosphate Receptors","Amino Acid, Peptide, or Protein",D053496
91399,Inositol Oxygenase,"Amino Acid, Peptide, or Protein",D050562
131385,Inositol Polyphosphate 5-Phosphatases,"Amino Acid, Peptide, or Protein",D000072181
138926,Myo-Inositol-1-Phosphate Synthase,"Amino Acid, Peptide, or Protein",D007296
166733,CDP-Diacylglycerol-Inositol 3-Phosphatidyltransferase,"Amino Acid, Peptide, or Protein",D051607
