,Preferred Label,Semantic Types Label,mesh_id
32921,Cytochrome P-450 CYP1A2 Inhibitors,Pharmacologic Substance,D065609
50219,Cytochrome P-450 CYP1A2 Inducers,Pharmacologic Substance,D065694
112029,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
402979,Cytochrome P-450 CYP1A2,Enzyme,D019388
503807,Food Additives,Food,D005503
472032,Pesticide Residues,Hazardous or Poisonous Substance,D010573
472033,Pesticides,Hazardous or Poisonous Substance,D010575
472798,"Air Pollutants, Radioactive",Hazardous or Poisonous Substance,D000396
472799,"Air Pollutants, Occupational",Hazardous or Poisonous Substance,D000395
472800,Air Pollutants,Hazardous or Poisonous Substance,D000393
504730,"Air Pollution, Indoor",Qualitative Concept,D016902
504747,Air Pollution,Qualitative Concept,D000397
512587,"Air Pollution, Indoor",Environmental Effect of Humans,D016902
512590,Air Pollution,Environmental Effect of Humans,D000397
470197,Soil Pollutants,Hazardous or Poisonous Substance,D012989
471365,"Soil Pollutants, Radioactive",Hazardous or Poisonous Substance,D012990
470908,"Water Pollutants, Chemical",Hazardous or Poisonous Substance,D014874
512569,"Water Pollution, Chemical",Environmental Effect of Humans,D014877
472217,Environmental Pollutants,Hazardous or Poisonous Substance,D004785
512581,Environmental Pollution,Environmental Effect of Humans,D004787
505203,"Toxicity Tests, Acute",Diagnostic Procedure,D023382
505992,Forensic Toxicology,Occupation or Discipline,D053593
506290,Toxicogenetics,Biomedical Occupation or Discipline,D043922
423199,Polypharmacy,Therapeutic or Preventive Procedure,D019338
422159,Liver Transplantation,Therapeutic or Preventive Procedure,D016031
491857,"Liver Diseases, Alcoholic",Disease or Syndrome,D008108
493249,Non-alcoholic Fatty Liver Disease,Disease or Syndrome,D065626
505992,Forensic Toxicology,Occupation or Discipline,D053593
506053,Toxicology,Biomedical Occupation or Discipline,D014116
515284,Pharmacological and Toxicological Phenomena,Biologic Function,D002620
503958,Liver Regeneration,Organ or Tissue Function,D008115
505274,Liver Function Tests,Laboratory Procedure,D008111
492553,Acute-On-Chronic Liver Failure,Disease or Syndrome,D065290
493347,"Liver Failure, Acute",Disease or Syndrome,D017114
