,gpt_terms,series
0,Action Potentials,gpt_phys
1,Adrenoleukodystrophy,gpt_phys
2,Alzheimer Disease,gpt_phys
3,Amyloid beta-Peptides,gpt_phys
4,Amyloid beta-Protein Precursor,gpt_phys
5,Amyloidosis,gpt_phys
6,Amyotrophic Lateral Sclerosis,gpt_phys
7,Ataxia,gpt_phys
8,Axons,gpt_phys
9,Basal Ganglia,gpt_phys
10,Blood-Brain Barrier,gpt_phys
11,Brain,gpt_phys
12,Brain Injuries,gpt_phys
13,Brain-Derived Neurotrophic Factor,gpt_phys
14,Calcium Signaling,gpt_phys
15,Cerebellum,gpt_phys
16,Cerebral Amyloid Angiopathy,gpt_phys
17,Cerebral Cortex,gpt_phys
18,Charcot-Marie-Tooth Disease,gpt_phys
19,Cholinergic Neurons,gpt_phys
20,Cognition,gpt_phys
21,Copper,gpt_phys
22,Cortical Spreading Depression,gpt_phys
23,Creutzfeldt-Jakob Syndrome,gpt_phys
24,Dementia,gpt_phys
25,Dementia with Lewy Bodies,gpt_phys
26,Dentate Gyrus,gpt_phys
27,Depression,gpt_phys
28,Dopamine,gpt_phys
29,Dopaminergic Neurons,gpt_phys
30,Electrophysiology,gpt_phys
31,Encephalitis,gpt_phys
32,Epilepsy,gpt_phys
33,Excitatory Amino Acid Antagonists,gpt_phys
34,Excitatory Postsynaptic Potentials,gpt_phys
35,GABAergic Neurons,gpt_phys
36,Gangliosidoses,gpt_phys
37,Glial Fibrillary Acidic Protein,gpt_phys
38,Gliosis,gpt_phys
39,Glycine Plasma Membrane Transport Proteins,gpt_phys
40,Hippocampus,gpt_phys
41,Huntington Disease,gpt_phys
42,Intracellular Signaling Peptides and Proteins,gpt_phys
43,Ion Channels,gpt_phys
44,Ischemia,gpt_phys
45,Limbic System,gpt_phys
46,Lipid Metabolism,gpt_phys
47,Long-Term Potentiation,gpt_phys
48,Manganese Poisoning,gpt_phys
49,Membrane Potentials,gpt_phys
50,Membrane Proteins,gpt_phys
51,Memory,gpt_phys
52,Mental Disorders,gpt_phys
53,Microglia,gpt_phys
54,Mitochondria,gpt_phys
55,Molecular Chaperones,gpt_phys
56,Molecular Motor Proteins,gpt_phys
57,Motor Neurons,gpt_phys
58,Multiple Sclerosis,gpt_phys
59,"Muscular Atrophy, Spinal",gpt_phys
60,Myelin Sheath,gpt_phys
61,Nerve Degeneration,gpt_phys
62,Nerve Growth Factors,gpt_phys
63,Nerve Regeneration,gpt_phys
64,Nerve Tissue Proteins,gpt_phys
65,Nervous System Diseases,gpt_phys
66,Neural Inhibition,gpt_phys
67,Neural Pathways,gpt_phys
68,Neurofibrillary Tangles,gpt_phys
69,Neurogenesis,gpt_phys
70,Neuroglia,gpt_phys
71,Neuronal Plasticity,gpt_phys
72,Neurons,gpt_phys
73,Neuroprotective Agents,gpt_phys
74,Neurosecretion,gpt_phys
75,Neurotransmitter Agents,gpt_phys
76,Nicotinic Receptors,gpt_phys
77,Nitric Oxide,gpt_phys
78,Nuclear Proteins,gpt_phys
79,Oligodendroglia,gpt_phys
80,Oxidative Stress,gpt_phys
81,Parkinson Disease,gpt_phys
82,Phosphatidylinositol 3-Kinases,gpt_phys
83,Phosphorylation,gpt_phys
84,Pituitary-Adrenal System,gpt_phys
85,Presenilin-1,gpt_phys
86,Presynaptic Terminals,gpt_phys
87,Protein Aggregates,gpt_phys
88,Protein Folding,gpt_phys
89,Protein Transport,gpt_phys
90,Protein-Serine-Threonine Kinases,gpt_phys
91,Protein-Tyrosine Kinases,gpt_phys
92,"Receptor, Adenosine A2A",gpt_phys
93,"Receptor, Muscarinic M1",gpt_phys
94,"Receptor, Nerve Growth Factor",gpt_phys
95,"Receptors, AMPA",gpt_phys
96,"Receptors, Dopamine",gpt_phys
97,"Receptors, Glutamate",gpt_phys
98,"Receptors, GABA-A",gpt_phys
99,"Receptors, GABA-B",gpt_phys
100,"Receptors, Metabotropic Glutamate",gpt_phys
101,"Receptors, N-Methyl-D-Aspartate",gpt_phys
