,gpt_terms,series
0,Oral Allergy Syndrome,gpt_02
1,Food Hypersensitivity,gpt_02
2,Hypersensitivity,gpt_02
3,Peanut Hypersensitivity,gpt_02
4,Milk Hypersensitivity,gpt_02
5,Egg Hypersensitivity,gpt_02
6,Wheat Hypersensitivity,gpt_02
7,Soybean Hypersensitivity,gpt_02
8,Fish Hypersensitivity,gpt_02
9,Shellfish Hypersensitivity,gpt_02
10,Tree Nut Hypersensitivity,gpt_02
11,Sesame Seed Hypersensitivity,gpt_02
12,Mustard Plant Hypersensitivity,gpt_02
13,Kiwi Fruit Hypersensitivity,gpt_02
14,Banana Hypersensitivity,gpt_02
15,Allergens,gpt_02
16,Immunoglobulin E,gpt_02
17,Food Hypersensitivity,gpt_02
18,Food Allergy,gpt_02
19,Anaphylaxis,gpt_02
20,Eosinophilic Esophagitis,gpt_02
21,Celiac Disease,gpt_02
22,Peanut Hypersensitivity,gpt_02
23,Milk Hypersensitivity,gpt_02
24,Egg Hypersensitivity,gpt_02
25,Wheat Hypersensitivity,gpt_02
26,Soybean Hypersensitivity,gpt_02
27,Fish Hypersensitivity,gpt_02
28,Shellfish Hypersensitivity,gpt_02
29,Tree Nut Hypersensitivity,gpt_02
30,Sesame Seed Hypersensitivity,gpt_02
31,Kiwi Fruit Hypersensitivity,gpt_02
32,Banana Hypersensitivity,gpt_02
33,Latex Hypersensitivity,gpt_02
34,Allergens,gpt_02
35,Immunoglobulin E,gpt_02
36,Skin Tests,gpt_02
37,Patch Tests,gpt_02
38,Radioallergosorbent Test,gpt_02
39,Basophil Activation Test,gpt_02
40,Oral Food Challenge Test,gpt_02
41,Elimination Diet,gpt_02
42,Immunotherapy,gpt_02
43,Epinephrine,gpt_02
44,Antihistamines,gpt_02
45,Corticosteroids,gpt_02
46,Leukotriene Antagonists,gpt_02
47,Omalizumab,gpt_02
48,"Desensitization, Immunologic",gpt_02
49,Probiotics,gpt_02
50,Prebiotics,gpt_02
51,Synbiotics,gpt_02
52,Gastrointestinal Microbiome,gpt_02
53,Anti-Inflammatory Agents,gpt_02
54,Gluten-Free Diet,gpt_02
55,Mast Cells,gpt_02
56,Eosinophils,gpt_02
57,Basophils,gpt_02
58,T-Lymphocytes,gpt_02
59,B-Lymphocytes,gpt_02
60,Cytokines,gpt_02
61,Chemokines,gpt_02
62,Immunoglobulin G,gpt_02
63,Immunoglobulin A,gpt_02
64,Immunoglobulin M,gpt_02
65,Immunoglobulin D,gpt_02
66,Mastocytosis,gpt_02
67,Eosinophilic Gastroenteritis,gpt_02
68,Eosinophilic Colitis,gpt_02
69,Eosinophilic Gastritis,gpt_02
