,gpt_terms,series
0,Food Intolerance,gpt_01
1,Diet Therapy,gpt_01
2,Nutritional Status,gpt_01
3,FODMAP,gpt_01
4,Irritable Bowel Syndrome,gpt_01
5,Nonceliac Gluten Sensitivity,gpt_01
6,Anaphylaxis,gpt_01
7,Eosinophilic Esophagitis,gpt_01
8,Celiac Disease,gpt_01
9,Intolerance,gpt_01
10,Lactose Intolerance,gpt_01
11,Fructose Intolerance,gpt_01
12,Histamine Intolerance,gpt_01
13,Patch Tests,gpt_01
14,Radioallergosorbent Test,gpt_01
15,Basophil Activation Test,gpt_01
16,Oral Food Challenge Test,gpt_01
17,Elimination Diet,gpt_01
18,Immunotherapy,gpt_01
19,Epinephrine,gpt_01
20,Antihistamines,gpt_01
21,Corticosteroids,gpt_01
22,Leukotriene Antagonists,gpt_01
23,Omalizumab,gpt_01
24,Desensitization,gpt_01
25,Probiotics,gpt_01
26,Prebiotics,gpt_01
27,Synbiotics,gpt_01
28,Gastrointestinal Microbiome,gpt_01
29,Anti-Inflammatory Agents,gpt_01
30,Gluten,gpt_01
31,Gluten-Free Diet,gpt_01
32,Lactose-Free Diet,gpt_01
33,Fructose-Free Diet,gpt_01
34,Low-FODMAP Diet,gpt_01
35,Peanut,gpt_01
36,Milk,gpt_01
37,Egg,gpt_01
38,Wheat,gpt_01
39,Soybean,gpt_01
40,Fish,gpt_01
41,Shellfish,gpt_01
42,Tree Nut,gpt_01
43,Sesame,gpt_01
44,Mustard,gpt_01
45,Fruit,gpt_01
46,Banana,gpt_01
47,Peanuts,gpt_01
48,Tree Nuts,gpt_01
49,Soy,gpt_01
50,Wheat,gpt_01
51,Crustacea,gpt_01
52,Fish,gpt_01
53,Food Intolerance,gpt_01
54,Food Intolerance,gpt_01
55,Diet Therapy,gpt_01
56,Nutritional Status,gpt_01
57,FODMAP,gpt_01
58,Irritable Bowel Syndrome,gpt_01
59,Nonceliac Gluten Sensitivity,gpt_01
60,Lactose Intolerance,gpt_01
61,Fructose Intolerance,gpt_01
62,Histamine Intolerance,gpt_01
63,Tyramine Intolerance,gpt_01
64,Serotonin Intolerance,gpt_01
65,Tryptophan Intolerance,gpt_01
66,Food-Drug Interactions,gpt_01
67,Food Additives,gpt_01
68,Monosodium Glutamate,gpt_01
69,Sulfites,gpt_01
70,Benzoates,gpt_01
71,Nitrites,gpt_01
72,Aspartame,gpt_01
73,Tartrazine,gpt_01
74,Gluten,gpt_01
75,Gliadin,gpt_01
76,Wheat Germ Agglutinins,gpt_01
77,Lactose,gpt_01
78,Fructose,gpt_01
79,Gastrointestinal Diseases,gpt_01
80,Gastrointestinal Symptoms,gpt_01
81,Abdominal Pain,gpt_01
82,Bloating,gpt_01
83,Flatulence,gpt_01
84,Diarrhea,gpt_01
85,Constipation,gpt_01
86,Nausea,gpt_01
87,Vomiting,gpt_01
88,Reflux,gpt_01
89,Dyspepsia,gpt_01
90,Malabsorption Syndromes,gpt_01
91,Steatorrhea,gpt_01
92,Weight Loss,gpt_01
93,Anemia,gpt_01
94,Osteoporosis,gpt_01
95,Neurologic Manifestations,gpt_01
96,Depression,gpt_01
97,Anxiety,gpt_01
98,Headache,gpt_01
99,Migraine Disorders,gpt_01
100,Fatigue Syndrome,gpt_01
