,gpt_terms,series
0,Nutritional Physiological Phenomena,gpt_phys
1,Appetite,gpt_phys
2,Diet,gpt_phys
3,"Diet, High-Fat",gpt_phys
4,"Diet, Carbohydrate-Restricted",gpt_phys
5,"Diet, Mediterranean",gpt_phys
6,"Diet, Vegetarian",gpt_phys
7,Dietary Fats,gpt_phys
8,Dietary Carbohydrates,gpt_phys
9,Dietary Fiber,gpt_phys
10,Dietary Proteins,gpt_phys
11,Dietary Supplements,gpt_phys
12,Energy Intake,gpt_phys
13,Energy Metabolism,gpt_phys
14,Eating,gpt_phys
15,Feeding Behavior,gpt_phys
16,Food Preferences,gpt_phys
17,Food Habits,gpt_phys
18,Malnutrition,gpt_phys
19,Micronutrients,gpt_phys
20,Nutrition Assessment,gpt_phys
21,Nutrition Policy,gpt_phys
22,Nutritional Requirements,gpt_phys
23,Nutritional Status,gpt_phys
24,Nutrition Surveys,gpt_phys
25,Nutrition Therapy,gpt_phys
26,Nutrition Disorders,gpt_phys
27,Obesity,gpt_phys
28,Overnutrition,gpt_phys
29,Undernutrition,gpt_phys
30,Vitamins,gpt_phys
31,Trace Elements,gpt_phys
32,Minerals,gpt_phys
33,Caloric Restriction,gpt_phys
34,Body Composition,gpt_phys
35,Basal Metabolism,gpt_phys
36,Beverages,gpt_phys
37,Carbohydrate Metabolism,gpt_phys
38,"Dietary Fats, Unsaturated",gpt_phys
39,Dietary Sodium,gpt_phys
40,Dietary Sucrose,gpt_phys
41,"Dietary Proteins, Casein",gpt_phys
42,"Dietary Proteins, Milk",gpt_phys
43,"Dietary Fats, Saturated",gpt_phys
44,"Dietary Carbohydrates, Starch-Modified",gpt_phys
45,"Dietary Proteins, Vegetable",gpt_phys
46,"Dietary Carbohydrates, Non-Nutritive",gpt_phys
47,"Dietary Fats, Omega-3",gpt_phys
48,"Dietary Fats, Omega-6",gpt_phys
49,"Dietary Carbohydrates, Simple",gpt_phys
50,"Dietary Fats, Monounsaturated",gpt_phys
51,"Dietary Proteins, Soybean",gpt_phys
52,"Dietary Fats, Unsaturated, Omega-6",gpt_phys
53,"Dietary Fats, Unsaturated, Omega-3",gpt_phys
54,"Dietary Fats, Trans",gpt_phys
55,"Dietary Fats, Saturated, Synthetic",gpt_phys
56,"Dietary Fats, Saturated, Synthetic, Hydrogenated",gpt_phys
57,"Dietary Fats, Saturated, Synthetic, Nonhydrogenated",gpt_phys
58,"Dietary Fats, Unsaturated, Monounsaturated",gpt_phys
59,"Dietary Fats, Unsaturated, Polyunsaturated",gpt_phys
60,"Dietary Fats, Unsaturated, Monounsaturated, Synthetic",gpt_phys
61,"Dietary Fats, Unsaturated, Monounsaturated, Natural",gpt_phys
62,"Dietary Fats, Unsaturated, Polyunsaturated, Synthetic",gpt_phys
63,"Dietary Fats, Unsaturated, Polyunsaturated, Natural",gpt_phys
64,"Dietary Fats, Unsaturated, Omega-9",gpt_phys
65,"Dietary Fats, Unsaturated, Omega-9, Synthetic",gpt_phys
66,"Dietary Fats, Unsaturated, Omega-9, Natural",gpt_phys
67,"Dietary Fats, Unsaturated, Omega-6, Synthetic",gpt_phys
68,"Dietary Fats, Unsaturated, Omega-6, Natural",gpt_phys
69,"Dietary Fats, Unsaturated, Omega-3, Synthetic",gpt_phys
70,"Dietary Fats, Unsaturated, Omega-3, Natural",gpt_phys
71,"Dietary Proteins, Sulfur Amino Acids",gpt_phys
72,"Dietary Proteins, Methionine-Restricted",gpt_phys
73,"Dietary Proteins, Plant",gpt_phys
74,"Dietary Proteins, Milk, Human",gpt_phys
75,"Dietary Proteins, Essential",gpt_phys
76,"Dietary Proteins, Wheat-Germ",gpt_phys
77,"Dietary Proteins, Egg",gpt_phys
78,"Dietary Proteins, Fish",gpt_phys
79,"Dietary Proteins, Insect",gpt_phys
80,"Dietary Proteins, Poultry",gpt_phys
81,"Dietary Proteins, Red-Meat",gpt_phys
82,"Dietary Proteins, Beef",gpt_phys
83,"Dietary Proteins, Pork",gpt_phys
84,"Dietary Proteins, Shellfish",gpt_phys
85,"Dietary Proteins, Gelatin",gpt_phys
86,"Dietary Proteins, Myofibril",gpt_phys
87,"Dietary Proteins, Collagen",gpt_phys
88,"Dietary Proteins, Milk, Bovine",gpt_phys
89,"Dietary Proteins, Milk, Human, Colostrum",gpt_phys
90,"Dietary Proteins, Milk, Human, Secretory",gpt_phys
91,"Dietary Proteins, Milk, Human, Transitional",gpt_phys
92,"Dietary Proteins, Milk, Human, Mature",gpt_phys
93,"Dietary Proteins, Milk, Human, Late",gpt_phys
94,"Dietary Proteins, Milk, Human, Colostrum, Bovine",gpt_phys
95,"Dietary Proteins, Milk, Human, Secretory, Bovine",gpt_phys
96,"Dietary Proteins, Milk, Human, Transitional, Bovine",gpt_phys
97,"Dietary Proteins, Milk, Human, Mature, Bovine",gpt_phys
98,"Dietary Proteins, Milk, Human, Late, Bovine",gpt_phys
99,"Dietary Proteins, Soybean, Fermented",gpt_phys
100,"Dietary Proteins, Soybean, Defatted",gpt_phys
101,"Dietary Proteins, Soybean, Isolated",gpt_phys
102,"Dietary Proteins, Soybean, Hydrolyzed",gpt_phys
103,"Dietary Proteins, Soybean, Concentrated",gpt_phys
0,"Anemia, Iron-Deficiency",gpt_path
1,Anorexia,gpt_path
2,Anorexia Nervosa,gpt_path
3,Binge-Eating Disorder,gpt_path
4,Bulimia Nervosa,gpt_path
5,Cachexia,gpt_path
