,gpt_terms,series
0,Oxidative Stress,gpt_01
6,Food,gpt_01
7,Food Hypersensitivity,gpt_01
8,Food Intolerance,gpt_01
9,Food Additives,gpt_01
10,Antioxidants,gpt_01
11,Polyphenols,gpt_01
12,Flavonoids,gpt_01
13,Carotenoids,gpt_01
14,Vitamin C,gpt_01
15,Vitamin E,gpt_01
16,Glutathione,gpt_01
17,Superoxide Dismutase,gpt_01
18,Catalase,gpt_01
19,Glutathione Peroxidase,gpt_01
20,Reactive Oxygen Species,gpt_01
21,Free Radicals,gpt_01
22,Hydrogen Peroxide,gpt_01
23,Superoxides,gpt_01
24,Hydroxyl Radical,gpt_01
25,Nitric Oxide,gpt_01
26,Peroxynitrous Acid,gpt_01
27,Lipid Peroxidation,gpt_01
28,Malondialdehyde,gpt_01
29,4-Hydroxynonenal,gpt_01
30,Isoprostanes,gpt_01
31,Oxidized LDL,gpt_01
32,Protein Carbonylation,gpt_01
33,Advanced Glycation End Products,gpt_01
34,DNA Damage,gpt_01
35,8-Hydroxy-2’-Deoxyguanosine,gpt_01
36,Inflammation,gpt_01
39,Tumor Necrosis Factor-alpha,gpt_01
42,C-Reactive Protein,gpt_01
44,Oxidative Stress,gpt_01
46,Reactive Oxygen Species,gpt_01
47,Antioxidants,gpt_01
49,Oxidative Stress Markers,gpt_01
51,"Oxidative Stress, Physiological",gpt_01
52,"Oxidative Stress, Physiological",gpt_01
53,Malondialdehyde,gpt_01
54,"Oxidative Stress, Physiological",gpt_01
55,Superoxide Dismutase,gpt_01
56,Lipid Peroxidation,gpt_01
57,Glutathione,gpt_01
58,"Oxidative Stress, Physiological",gpt_01
59,Reactive Nitrogen Species,gpt_01
60,"Oxidative Stress, Physiological",gpt_01
61,"Oxidative Stress, Physiological",gpt_01
62,"Oxidative Stress, Physiological",gpt_01
63,"Oxidative Stress, Physiological",gpt_01
64,"Oxidative Stress, Physiological",gpt_01
66,"Oxidative Stress, Physiological",gpt_01
67,"Oxidative Stress, Physiological",gpt_01
69,"Oxidative Stress, Physiological",gpt_01
74,Superoxide Dismutase-1,gpt_01
75,"Oxidative Stress, Physiological",gpt_01
77,"Oxidative Stress, Physiological",gpt_01
79,"Oxidative Stress, Physiological",gpt_01
84,"Oxidative Stress, Physiological",gpt_01
85,"Oxidative Stress, Physiological",gpt_01
88,"Oxidative Stress, Physiological",gpt_01
90,"Oxidative Stress, Physiological",gpt_01
92,"Oxidative Stress, Physiological",gpt_01
94,"Oxidative Stress, Physiological",gpt_01
96,"Oxidative Stress, Physiological",gpt_01
98,"Oxidative Stress, Physiological",gpt_01
102,"Oxidative Stress, Physiological",gpt_01
104,"Oxidative Stress, Physiological",gpt_01
106,"Oxidative Stress, Physiological",gpt_01
108,"Oxidative Stress, Physiological",gpt_01
110,"Oxidative Stress, Physiological",gpt_01
114,"Oxidative Stress, Physiological",gpt_01
116,"Oxidative Stress, Physiological",gpt_01
118,"Oxidative Stress, Physiological",gpt_01
122,"Oxidative Stress, Physiological",gpt_01
124,"Oxidative Stress, Physiological",gpt_01
126,"Oxidative Stress, Physiological",gpt_01
128,"Oxidative Stress, Physiological",gpt_01
130,"Oxidative Stress, Physiological",gpt_01
138,"Oxidative Stress, Physiological",gpt_01
140,"Oxidative Stress, Physiological",gpt_01
143,"Oxidative Stress, Physiological",gpt_01
145,"Oxidative Stress, Physiological",gpt_01
147,"Oxidative Stress, Physiological",gpt_01
152,"Oxidative Stress, Physiological",gpt_01
154,"Oxidative Stress, Physiological",gpt_01
156,"Oxidative Stress, Physiological",gpt_01
158,"Oxidative Stress, Physiological",gpt_01
163,"Oxidative Stress, Physiological",gpt_01
165,"Oxidative Stress, Physiological",gpt_01
169,Superoxide Dismutase-1,gpt_01
170,Lipid Peroxidation,gpt_01
171,Glutathione,gpt_01
172,Reactive Nitrogen Species,gpt_01
