,mesh
0,Amino Acid Substitution
1,"DNA, Mitochondrial"
2,Female
3,Genotype
4,Humans
5,Male
6,Middle Aged
7,Mutation
8,NADH Dehydrogenase
9,"Optic Neuropathy, Ischemic"
10,Pedigree
11,Peptide Fragments
12,"Polymorphism, Single-Stranded Conformational"
13,Cardiovascular Diseases
15,Genomics
17,Intracellular Signaling Peptides and Proteins
19,Mitochondria
21,Mitochondrial Proteins
23,Open Reading Frames
24,Peptides
39,3T3-L1 Cells
40,Adult
41,Aged
42,"Aged, 80 and over"
43,Animals
45,"Diabetes Mellitus, Type 2"
48,Genetic Predisposition to Disease
49,Glucose
51,Insulin
52,Insulin Resistance
54,Mice
57,"Polymorphism, Single Nucleotide"
58,Proto-Oncogene Proteins c-akt
60,Choroid
65,Heteroplasmy
67,Macular Degeneration
73,Retina
77,Genetic Variation
78,"Genome, Mitochondrial"
79,Goats
80,Haplotypes
81,Phylogeny
82,"Sequence Analysis, DNA"
83,Alleles
84,Biological Specimen Banks
86,"Genes, Mitochondrial"
87,Genetic Association Studies
91,Phenotype
92,United Kingdom
193,Antineoplastic Agents
195,Binding Sites
196,DNA Copy Number Variations
198,"Drug Resistance, Neoplasm"
200,Electron Transport Complex I
202,Electron Transport Complex III
204,High-Throughput Nucleotide Sequencing
209,"Models, Molecular"
210,Molecular Conformation
211,Oxidation-Reduction
212,Protein Binding
213,Reactive Oxygen Species
214,Structure-Activity Relationship
237,A549 Cells
239,"Biomarkers, Tumor"
240,"Carcinoma, Non-Small-Cell Lung"
241,"Cell Line, Tumor"
242,Cell Proliferation
244,Lung Neoplasms
247,"Mice, Inbred C57BL"
248,Monocarboxylic Acid Transporters
249,Muscle Proteins
288,"Sperm Injections, Intracytoplasmic"
289,Sperm Motility
300,Prospective Studies
301,Sepsis
304,Survival Rate
307,Colorectal Neoplasms
312,Germ-Line Mutation
314,Liquid Biopsy
317,Neoplasm Staging
318,Prognosis
389,Collagen
390,Extracellular Matrix
391,Focal Adhesions
392,Gene Expression
394,Keratoconus
412,Case-Control Studies
413,Computational Biology
415,Down Syndrome
418,Gene Frequency
426,INDEL Mutation
429,"Mitochondria, Heart"
432,Young Adult
433,Adolescent
435,Child
436,"Child, Preschool"
446,"Optic Atrophy, Hereditary, Leber"
447,Penetrance
513,Amino Acids
514,Base Pairing
515,Conserved Sequence
517,Electrons
521,Ovarian Neoplasms
522,Spectrum Analysis
575,Glaucoma
635,Base Sequence
638,DNA Mutational Analysis
