,Preferred Label
234504,"N,N'-bis(3-succinimidyloxycarbonylpropyl)tartaramide"
244241,1-pentene
73581,N-(2-chloroethyl)-N-nitrosocarbamoyl-omega-lysine
219100,"1,2-dicaprylin"
115932,"Receptors, Neuropeptide"
506764,"Sarcoma Viruses, Murine"
121058,"YTA6 protein, S cerevisiae"
227365,corvitin
8880,Novosphingobium rosa
184425,tetrahydro-2-furancarboxylic acid
429266,Subbaromyces splendens
135887,"scolopendin 1, Scolopendra subspinipes"
259525,4-oxo-6-((pyrimidin-2-ylthio)methyl)-4H-pyran-3-yl 4-nitrobenzoate
494444,"Orthostatic Hypotensive Disorder, Streeten Type"
148462,"Zfp216 protein, mouse"
436728,Epichloe glyceriae
115749,N-(2-(5-pyridiniovaleroylthio)benzoyl)-beta-alaninamide
262308,saponin SAPO50
451672,Teloschistopsis bonae-spei
17381,Exiguobacterium artemiae
128656,"Stau2 protein, rat"
136980,"Tap1 protein, Treponema"
2297,Roseburia inulinivorans
120120,"Mgr3 protein, S cerevisiae"
35244,AZD2811
436088,Cryptostroma corticale
498587,Hittner Hirsch Kreh syndrome
224557,terreulactone A
313603,clavigerin B
244144,magellanine
60845,salicyl-glycyl-glycine
483779,Vita VMK 595
291647,bis(phenoxycarbonylethyl)phosphinic acid
268095,benzyl N'-(5-chloro-indol-3-yl-methylidene)-hydrazinecarbodithioate
195954,3-hydroxy-4'-N-methylstaurosporine
122853,"cruciferin C, Arabidopsis"
319345,technetium Tc 99m tetrachloronitrosyltechnetium(II)
193483,"(4-hydroxy-5,8-dimethyl-3-(4-methyl-5-oxo-2,5-dihydrofuran-2-yloxy)methylene)-3a,4-dihydro-3H-indeno(1,2-b)furan-2(8bH)-one"
62519,Brinolase
216504,disalicylidene propandiamine
179649,"CUP2 protein, S cerevisiae"
294793,luffarin X
196225,"5'-(4-chlorophenyl)-6,7-didehydro-4,5alpha-epoxy-3-hydroxy-17-methylpyrido(2',3'-6,7)morphinan"
220182,O-(6''-O-acetyl)beta-glucopyranosylchrysoeriol
133752,tumor necrosis factor precursor
462806,Microascus longicollis
50906,3-O-(beta-D-2-O-sulphonylglucopyranosyl)-pomolic acid-28-O-(beta-D-glucopyranosyl) ester
286148,galactopyranosyl-1-4-N-acetylglucosaminyl-1-3-(N-acetylglucosaminyl-1-6)galactopyranosyl-1-4-N-acetylglucosamine
119657,"rab12 protein, rat"
265142,hopeanolin
44380,Glaucarubin
228269,W 12099
46057,"2-oxo-1,2-dihydroquinoline-4-carboxamide"
46689,LY900009
340214,"MIRN957 microRNA, Drosophila"
73494,E 121 compound
466334,Hygrophorus pseudopallidus
28477,2-(3-(3-trifluoromethyl-3H-diazirin-3-yl)phenoxy)acetyl-S-methyloxycarbonylsulfenylcysteinyl-valine
93221,"Adhesins, Bacterial"
81729,"LBPA protein, Neisseria meningitidis"
70641,tetracycline CMT-3
457755,Psathyrella supernula
461722,Clinoconidium sawadae
493214,Osteoporotic Fractures
442802,Malmidea inflata
53109,oxymorphone-naltrexonazine
259563,Percoll
19798,TDO inhibitor LM10
50967,azipranone
105117,"Ddx25 protein, mouse"
464775,Alternaria nepalensis
272873,"3-(4-diazo-3-oxo-cis-1-butenyl)-2,2,5,5-tetramethylpyrroline-1-oxyl"
334852,"MIRN599 microRNA, human"
96650,"GATD3A protein, human"
61761,2-(ethylamino)-1-(4-methylphenyl)-1-pentanone
12938,Sphingobium fuliginis
427819,Conioscypha pleiomorpha
293237,polyanthumin
304395,"poly(9,9-dioctylfluorene-co-3,4-di-methylthieno(2,3-b)thiophene)"
144795,"RNF180 protein, human"
25887,2-(2'-((dimethylamino)methyl)-4'-iodophenylthio)benzenamine
79230,"1,5-bis((4-(4-chlorophenyl)-1-methylpiperidine-3-carbonyl)amino)pentane"
503047,"Chromosomes, Human, 21-22 and Y"
234804,Naltrexone-Bupropion combination
88953,protransforming growth factor alpha
182972,"MSS116 protein, S cerevisiae"
252003,5-(4-(2-phthalimidiylpropanoylamino)benzoylamino)isophthalic acid
468085,Ramalina subwebbiana
125666,"Cnn1 protein, S cerevisiae"
131902,alpha-(3-hydrazinocarbonyl-4-methoxyanilino)-alpha-oxoacetic acid
221796,(mu-peroxo)(mu-hydroxo)bis(bis(bipyridyl)cobalt(III)) complex
149513,"Cybb protein, mouse"
320445,hexaamminecobalt(II)
251405,n-hexyl(n-dodecyl)phosphate
223347,hyperjaponol C
8902,Actinocorallia lasiicapitis
100283,dihydroflavanol 4-reductase
161438,amylosucrase
94295,"CD80 protein, human"
484798,sasil
40819,aspochalasin G
67021,dynorphin A (1-11)-amide
243913,Viologens
434821,Cladosporium versiforme
67482,Z 2004
273943,dimethylsulfoxonium methylide
214734,"1-ethyl-1,4-dihydro-6,7-methylenedioxy-4-oxo-quinoline-3-carboxilic acid"
450295,Pseudotomentella flavovirens
33625,TE 393
297371,"1,3-bis(N,N,N-trimethylammonium)-2-propylacrylate dichloride"
496199,"Hydronephrosis, Congenital, with Cleft Palate, Characteristic Facies, Hypotonia, and Mental Retardation"
134766,"CD86 protein, human"
280461,"2,3,4,5-tetrahydro-2,6-pyridinedicarboxylic acid"
104584,"Tic56 protein, Arabidopsis"
10063,Streptomyces hachijoensis
172790,adrenomedullin (22-52)
119129,"LcrD protein, Yersinia"
468683,Talaromyces brunneus
302427,imidodisuccinic acid
11523,Porticoccus hydrocarbonoclasticus
96042,"PLCD3 protein, human"
100716,"APLN protein, human"
455365,Mucor
241333,7 beta-hydroxycholesterol-bis-hemisuccinate-diethanolaminoate
509688,Book Classification
145437,"CEP2 protein, Arabidopsis"
449565,Leptographium elegans
54962,"2-aminospiro(bicyclo(3.1.0)hexane-4,1'-cyclopropane)-2,6-dicarboxylic acid"
18200,Starkeya novella
304906,N-(2)-nor-d-tetrandrine
434783,Stagonospora trichophoricola
166988,"Dis3l2 protein, mouse"
164432,placental uterotrophic factor
269031,"1,4-bis(3-(4-chlorophenyl)propyl)piperazine"
484341,Zr(IV) tungstomolybdate
46555,3-hydroxybenzylhydrazine
509018,Lawyers
202752,2-nitro-5-azidobenzoylouabain
449003,Nucleospora salmonis
492502,Anisometropia
129880,"BSND protein, human"
195599,3'-O-methyl isocrenatoside
237344,technetium Tc 99m mercaptopropionylglycine
269131,neosartoryadin B
236771,9'-oxo-delta-tocotrienol
4658,Porphyrobacter sanguineus
39460,Meclizine
506477,Ostreid herpesvirus 1
426455,Alternaria ellisii
143767,"SKIP31 protein, Arabidopsis"
426217,Opeltia juniperina
247051,faurinone
454068,Chlorociboria spathulata
490641,Duodenitis
194761,gingerglycolipid B
192331,flinderole A
248620,glucosalsuginin
42995,4-methoxy-7-nitroindolinyl-D-aspartate
492090,"Polyglucosan Body Disease, Adult Form"
57779,4-(4-(2'-fluorobiphenylyl))-4-hydroxycrotonic acid
230085,"4-cyano-3-hydroxy-5-(3,5-bis(trifluoromethyl)benzylamino)isothiazole"
423745,VAB protocol
251642,pentachlorophenol glucuronide
88263,"PLD4 protein, mouse"
220883,neurymenolide B
5964,Streptomyces celluloflavus
168374,"reducing-end xylose-releasing exo-oligoxylanase, Bacillus halodurans"
493317,"Hyperostosis, Cortical, Congenital"
313634,beta-methylkynurenine
126319,"NetA protein, Drosophila"
446776,Talaromyces ryukyuensis
201925,"imidazo(1,2-a)thiochromeno(3,2-e)pyridine"
107769,Transcription Factor 7-Like 1 Protein
176417,Immunoglobulin E
157110,"SLC5A4 protein, human"
484920,sodium oxide-calcium oxide-diphosphorus pentoxide glass
465661,Hebeloma kuehneri
270057,homo-gamma-linolenylethanolamide
52389,"3-((allyl)(2-(4-methoxyphenyl)ethyl)amino)propyl-7,8-dimethoxy-1H-benzazepin-2-one"
222145,"3,5-dimethoxy-4-hydroxy methyl benzoate"
1763,Phascolarctobacterium faecium
431335,Hymenochaete sharmae
48745,"somatotropin releasing hormone (1-29)-amide, N-Ac-Tyr(1)-Phe(2)-"
76439,seglitide
84090,"Mcb1 protein, S pombe"
121665,"Adam1a protein, rat"
494268,"Basilar Impression, Primary"
102264,tert-butoxycarbonylalanine
422933,ESHAP regimen
94228,"ArtA protein, Staphylococcus aureus"
48072,"2,3-dimethoxy-6-methyl-8,9-(methylenedioxy)-11H-indeno(1,2-c)isoquinoline"
438938,Infundibulicybe catinus
428862,Ophiostoma brunneociliatum
145929,"Ripor1 protein, mouse"
173866,3-ketodihydrosphingosine reductase
54974,"1-(3,4-dichlorobenzyl)-3,4,5,6-tetrahydro-2(1H)-pyrimidone"
513372,Drinking
24693,pirinixil
46016,SR 2640
12920,Nitrosococcus wardiae
297176,ananolignan F
424780,Peziza whitei
136479,Epr serine proteinase
172698,"Adaptor Proteins, Vesicular Transport"
307350,"methyl beta-N,N'-diacetylthiochitobiose"
437630,Datronia stereoides
469913,ammonium dinitramide
293754,"O-antigen, E.coli O121"
455925,Polyporus fraxineus
107221,hemoglobin Roubaix
500677,Cetacea
498157,End Stage Liver Disease
458766,Tuckermannopsis subalpina
463204,Minimelanolocus melanicus
506888,Panicum mosaic virus
165802,3-alpha-Hydroxysteroid Dehydrogenase (B-Specific)
33300,clavanin D
430464,Marasmius ruforotula
496729,"Cardiomyopathy, Dilated, 1p"
2944,Arcobacter marinus
251549,tunichrome
11621,Corynebacterium heidelbergense
115212,cyclo(histidyl-histidyl)
156251,HNG peptide
440216,Ophiostomatales
201325,3-hydroxy-3-phenylpropionamide
213329,9-hydroperoxylinolenic acid
38550,hirustenone
229063,thioketal haloperidol
200296,pentandricine
231546,alpha-(4-pyridyl-1-oxide)-N-tert-butylnitrone
80158,"glucagon-like peptide-1 (7-36)amide, N-pyroglutamyl-"
308283,"(ruthenium(2,2'-bipyridine)2(imidazole)2)sulfate.10H2O"
147089,methyl 4-benzyloxy-N-(benzyloxycarbonyl)valyl-2-(methylalanyl)prolinate
161385,"Ube2R2 protein, human"
466194,Trichoderma ghanense
381190,CML-1 plant extract
250113,Inosithin
6092,Imperialibacter roseus
67589,"N-(2-(3-chloro-5-(trifluoromethyl)-2-pyridyl)ethyl)-alpha,alpha,alpha-trifluoro-o-toluamide"
274834,cingestol
234360,"1,5-di(2-hydroxy-5-sulfophenyl)-3-cyanoformazan"
151145,"CAVIN1 protein, human"
77859,ciliatamide A
431070,Inocybe angustifolia
108990,norcodeine O-demethylase
254737,songarosaponin B
149235,peptide 187-1
269346,phaitanthrin A
175071,"RAI14 protein, human"
99004,"Arntl protein, mouse"
58517,"3-(4-chlorophenyl)-1-(2-chloro-2-phenylethyl)-1H-pyrazolo(3,4-d)pyrimidin-4-amine"
115934,"Receptors, Calcitonin Gene-Related Peptide"
485514,Cell Surface Display Techniques
441411,Aderkomyces heterellus
439906,Termitomyces subumkowaan
477447,6-mercapto-FAD
419470,Valiant PhD
230692,neglschisandrin D
84308,"APP-like protein interacting protein 1, Drosophila"
30968,zabiciprilat
457251,Trametes pubescens
35042,BAPA-6
512348,Cytokine-Induced Killer Cells
264191,Tempo (dental material)
15992,Butyricimonas faecihominis
59879,L 648051
140493,"ZONAB protein, Canis familiaris"
278388,"7,7-azocholestanol"
46426,"5,8-dimethoxy-2-(2-hydroxyethyl)amino-3-hydroxy-1,2,3,4-tetrahydronaphthalene"
2022,Bartonella grahamii
188765,Fumitremorgin A
168759,"rabphilin protein, mouse"
62079,rhazinilam
282197,"14beta-hydroxybufa-3,5,20,22-tetraenolide"
446038,Rhizopogon sulphureus
434511,Bellicidia incompta
35971,1-pyrenyldiazomethane
149112,"ACBP1 protein, Arabidopsis"
12175,Caballeronia catudaia
496006,"Interstitial Pneumonitis, Desquamative, Familial"
500987,"Hernia, Ventral"
175567,"ALB1 protein, rainbow trout"
508440,"Adolescent, Institutionalized"
300788,myristyl lactate
497084,"Adrenal hyperplasia, congenital, type 5"
18054,Primorskyibacter sedentarius
313086,"23,24,25-trihydroxyvitamin D3"
131221,"Unc-68 protein, C elegans"
139691,"TRIM56 protein, human"
51683,mepanipyrim
507589,Genomic Library
435951,Phacidium vaccinii
458183,Phialoseptomonium eucalypti
478968,"Mirn377 microRNA, mouse"
238943,triphenyltin-bis(diethyl)dithiophosphate
53126,"1-(2-(3,4,5,6-tetrahydropyridyl))-1,3-pentadiene"
133149,"MALRD1 protein, human"
179467,"Scd-2 protein, C elegans"
95325,"LTF protein, human"
11474,Hydrogenoanaerobacterium saccharovorans
140132,"Slc2a5 protein, rat"
82468,"RRS1 protein, mouse"
434735,Gymnopus barbipes
133972,"PufK protein, Rhodobacter sphaeroides"
24111,"poly(pyromellitylimidoalanine-co-1,6-bis(carboxyphenoxy)hexane)"
120058,hemoglobin F Osilo
496530,"Metaphyseal Dysplasia, Anetoderma, and Optic Atrophy"
443650,Hypoxylon trugodes
424118,Oudemansiella crassifolia
163467,alpha7 Nicotinic Acetylcholine Receptor
11387,Lunatimonas salinarum
170055,GGTNACC-specific type II deoxyribonucleases
434204,Neoophiosphaerella sasicola
297738,14-oxycarminomycin
425301,Laetiporus versisporus
210139,uvarigranin
487458,Forsythia
197952,"mono-O-glucopyranosyloxy-4-(1,1-dimethyl-2-propenyl)benzene"
348284,"MIRN1 microRNA, Drosophila"
294930,ceramide 1-phosphate
73753,ASI 254
101611,"Rnf33 protein, mouse"
42499,KIH 202
316586,"O-antigen, E. coli O17"
465264,Pithomyces cynodontis
405,GRADE Approach
497295,Hereditary Angioedema Type III
197799,3'-O-caffeoylerigeroside
495695,Retinal Nonattachment And Falciform Detachment
300418,N-fructosylamphotericin B
594,Codes of Ethics
77769,dispegatrine
444795,Lignosus rhinocerotis
229750,tris(trimethylsilyl)silyl enol ether
477904,5-benzyloxybenzyluracil
152665,tryptase Clara
426956,Myrmecridium thailandicum
13994,Pontibacter yuliensis
480299,5'-AMP-biotin
79818,"Chek1 protein, rat"
105998,prothrombin Clamart
453727,Rubikia evansii
217345,1-(3-(4-octylphenoxy)-2-oxopropyl)indole-5-carboxylic acid
316585,"glucono-1,4-lactone"
128811,"Dync1i2 protein, rat"
485115,hydroxyapatite titanium aluminum vanadium composite
463942,Xerocomus squamulosus
11869,Caldimonas taiwanensis
172732,acyl CoA-phospholipid acyltransferase
78379,CLP-3094
