,keywords,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
39360,"ERT, Enzyme Replacement Therapy",2,2,GZMM,1,2,1,32382504,2,2,1,"[{'author': 'Piraud, Monique', 'author_abbreviated': 'Piraud M', 'affiliations': ['Laboratoire des Maladies Héréditaires du Métabolisme et Dépistage Néonatal, Service de Biochimie et Biologie Molé...",2.0
41118,Enzyme Replacement Therapy,2,2,GAA,1,2,2,27183828,1,2,2,"[{'author': 'Peng, Steven Shinn-Forng', 'author_abbreviated': 'Peng SS', 'affiliations': ['Department of Radiology, National Taiwan University Hospital, Taipei, Taiwan.'], 'first_name': 'Steven Sh...",1.0
23210,CRISPR-Cas9,188,158,C2,4,188,99,33109263,12,188,100,"[{'author': 'Eguizabal, C', 'author_abbreviated': 'Eguizabal C', 'affiliations': ['Cell Therapy, Stem Cells and Tissues Group, Biocruces Bizkaia Health Research Institute, Barakaldo, Spain. CRISTI...",12.0
23211,CRISPR-Cas9 deletion,2,2,SKAP1,1,2,1,33815481,2,2,1,"[{'author': 'Wang, Wei', 'author_abbreviated': 'Wang W', 'affiliations': ['Department of Epidemiology and Biostatistics, National Clinical Research Center for Cancer, Key Laboratory of Molecular C...",2.0
23214,CRISPR-Cas9 gene editing,3,3,SYN3,1,3,2,34929159,2,3,2,"[{'author': 'Engel, Abbi L', 'author_abbreviated': 'Engel AL', 'affiliations': ['Department of Ophthalmology, University of Washington, Seattle, WA, 98109, USA.'], 'first_name': 'Abbi L', 'last_na...",2.0
23215,CRISPR-Cas9 genome editing,2,2,TSC1,1,2,1,28215400,2,2,1,"[{'author': 'Lim, Jae Seok', 'author_abbreviated': 'Lim JS', 'affiliations': ['Brain Korea 21 Plus Project, Graduate School of Medical Science and Engineering, Korea Advanced Institute of Science ...",2.0
23217,CRISPR-Cas9 saturation mutagenesis,2,2,DCPS,1,2,1,29478914,2,2,1,"[{'author': 'Yamauchi, Takuji', 'author_abbreviated': 'Yamauchi T', 'affiliations': [""Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, ...",2.0
23218,CRISPR-Cas9 screen,3,2,NRAS,2,3,3,34502181,1,3,3,"[{'author': 'Kinowaki, Yuko', 'author_abbreviated': 'Kinowaki Y', 'affiliations': ['Department of Comprehensive Pathology, Graduate School of Medical and Dental Sciences, Tokyo Medical and Dental ...",1.0
23220,CRISPR-Cas9 system,3,3,TENM1,1,3,2,32158611,2,3,2,"[{'author': 'Lee, Hyunji', 'author_abbreviated': 'Lee H', 'affiliations': ['Center for Genome Engineering, Institute for Basic Science, Daejeon, Republic of Korea.'], 'first_name': 'Hyunji', 'last...",2.0
23221,CRISPR-Cas9 variant editing,7,7,IFT172,1,7,1,33513366,7,7,1,"[{'author': 'Sinnott-Armstrong, Nasa', 'author_abbreviated': 'Sinnott-Armstrong N', 'affiliations': ['Metabolism Program, Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA; Program in M...",7.0
