,Preferred Label,Semantic Types Label,mesh_id
0,Arbovirus Infections,Disease or Syndrome,D001102
1,Arbovirus Infections,Disease or Syndrome,D001102
2,Parvoviridae Infections,Disease or Syndrome,D010322
3,Parvoviridae Infections,Disease or Syndrome,D010322
4,Poxviridae Infections,Disease or Syndrome,D011213
5,Poxviridae Infections,Disease or Syndrome,D011213
6,Adenoviridae Infections,Disease or Syndrome,D000257
7,Adenoviridae Infections,Disease or Syndrome,D000257
8,Papillomavirus Infections,Disease or Syndrome,D030361
9,Papillomavirus Infections,Disease or Syndrome,D030361
10,Paramyxoviridae Infections,Disease or Syndrome,D018184
11,Paramyxoviridae Infections,Disease or Syndrome,D018184
12,Viral Hepatitis Vaccines,Pharmacologic Substance,D014761
13,Viral Hepatitis Vaccines,Pharmacologic Substance,D014761
14,Viral Hepatitis Vaccines,Immunologic Factor,D014761
15,Viral Hepatitis Vaccines,Immunologic Factor,D014761
16,Viral Hepatitis Vaccines,Pharmacologic Substance,D014761
17,Viral Hepatitis Vaccines,Pharmacologic Substance,D014761
18,Viral Hepatitis Vaccines,Immunologic Factor,D014761
19,Viral Hepatitis Vaccines,Immunologic Factor,D014761
20,"Hemorrhagic Fevers, Viral",Disease or Syndrome,D006482
21,Flaviviridae Infections,Disease or Syndrome,D018178
22,Flaviviridae Infections,Disease or Syndrome,D018178
23,Rhabdoviridae Infections,Disease or Syndrome,D018353
24,Rhabdoviridae Infections,Disease or Syndrome,D018353
25,Orthomyxoviridae Infections,Disease or Syndrome,D009976
26,Orthomyxoviridae Infections,Disease or Syndrome,D009976
27,"Leprosy, Paucibacillary",Disease or Syndrome,D056005
28,"Leprosy, Multibacillary",Disease or Syndrome,D056006
29,"Leprosy, Lepromatous",Disease or Syndrome,D015440
30,"Leprosy, Tuberculoid",Disease or Syndrome,D015441
31,Leprosy,Disease or Syndrome,D007918
32,Hepatitis C Antibodies,"Amino Acid, Peptide, or Protein",D018937
33,Hepatitis C Antibodies,"Amino Acid, Peptide, or Protein",D018937
34,Hepatitis C Antibodies,Immunologic Factor,D018937
35,Hepatitis C Antibodies,Immunologic Factor,D018937
36,Hepatitis C Antibodies,"Amino Acid, Peptide, or Protein",D018937
37,Hepatitis C Antibodies,"Amino Acid, Peptide, or Protein",D018937
38,Hepatitis C Antibodies,Immunologic Factor,D018937
39,Hepatitis C Antibodies,Immunologic Factor,D018937
40,Hepatitis C Antigens,Organic Chemical,D018936
41,Hepatitis C Antigens,Organic Chemical,D018936
42,Hepatitis C Antigens,Immunologic Factor,D018936
43,Hepatitis C Antigens,Immunologic Factor,D018936
44,Hepatitis C Antigens,Organic Chemical,D018936
45,Hepatitis C Antigens,Organic Chemical,D018936
46,Hepatitis C Antigens,Immunologic Factor,D018936
47,Hepatitis C Antigens,Immunologic Factor,D018936
48,"Hepatitis C, Chronic",Disease or Syndrome,D019698
49,"Hepatitis C, Chronic",Disease or Syndrome,D019698
50,Hepatitis C,Disease or Syndrome,D006526
51,Hepatitis C,Disease or Syndrome,D006526
52,Hepatitis B Vaccines,Pharmacologic Substance,D017325
53,Hepatitis B Vaccines,Pharmacologic Substance,D017325
54,Hepatitis B Vaccines,Pharmacologic Substance,D017325
55,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
56,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
57,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
58,Hepatitis B Vaccines,Immunologic Factor,D017325
59,Hepatitis B Vaccines,Immunologic Factor,D017325
60,Hepatitis B Vaccines,Immunologic Factor,D017325
61,Hepatitis B Vaccines,Pharmacologic Substance,D017325
62,Hepatitis B Vaccines,Pharmacologic Substance,D017325
63,Hepatitis B Vaccines,Pharmacologic Substance,D017325
64,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
65,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
66,Hepatitis B Vaccines,"Amino Acid, Peptide, or Protein",D017325
67,Hepatitis B Vaccines,Immunologic Factor,D017325
68,Hepatitis B Vaccines,Immunologic Factor,D017325
69,Hepatitis B Vaccines,Immunologic Factor,D017325
70,Hepatitis B Antibodies,Pharmacologic Substance,D006510
71,Hepatitis B Antibodies,Pharmacologic Substance,D006510
72,Hepatitis B Antibodies,Pharmacologic Substance,D006510
73,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
74,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
75,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
76,Hepatitis B Antibodies,Immunologic Factor,D006510
77,Hepatitis B Antibodies,Immunologic Factor,D006510
78,Hepatitis B Antibodies,Immunologic Factor,D006510
79,Hepatitis B Antibodies,Pharmacologic Substance,D006510
80,Hepatitis B Antibodies,Pharmacologic Substance,D006510
81,Hepatitis B Antibodies,Pharmacologic Substance,D006510
82,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
83,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
84,Hepatitis B Antibodies,"Amino Acid, Peptide, or Protein",D006510
85,Hepatitis B Antibodies,Immunologic Factor,D006510
86,Hepatitis B Antibodies,Immunologic Factor,D006510
87,Hepatitis B Antibodies,Immunologic Factor,D006510
88,Hepatitis B Antigens,Pharmacologic Substance,D006511
89,Hepatitis B Antigens,Pharmacologic Substance,D006511
90,Hepatitis B Antigens,Pharmacologic Substance,D006511
91,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
92,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
93,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
94,Hepatitis B Antigens,Immunologic Factor,D006511
95,Hepatitis B Antigens,Immunologic Factor,D006511
96,Hepatitis B Antigens,Immunologic Factor,D006511
97,Hepatitis B Antigens,Pharmacologic Substance,D006511
98,Hepatitis B Antigens,Pharmacologic Substance,D006511
99,Hepatitis B Antigens,Pharmacologic Substance,D006511
100,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
101,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
102,Hepatitis B Antigens,"Amino Acid, Peptide, or Protein",D006511
103,Hepatitis B Antigens,Immunologic Factor,D006511
104,Hepatitis B Antigens,Immunologic Factor,D006511
105,Hepatitis B Antigens,Immunologic Factor,D006511
106,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
107,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
108,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
109,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
110,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
111,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
112,Hepatitis B Surface Antigens,Immunologic Factor,D006514
113,Hepatitis B Surface Antigens,Immunologic Factor,D006514
114,Hepatitis B Surface Antigens,Immunologic Factor,D006514
115,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
116,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
117,Hepatitis B Surface Antigens,Pharmacologic Substance,D006514
118,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
119,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
120,Hepatitis B Surface Antigens,"Amino Acid, Peptide, or Protein",D006514
121,Hepatitis B Surface Antigens,Immunologic Factor,D006514
122,Hepatitis B Surface Antigens,Immunologic Factor,D006514
123,Hepatitis B Surface Antigens,Immunologic Factor,D006514
124,Hepatitis B e Antigens,"Amino Acid, Peptide, or Protein",D006513
125,Hepatitis B e Antigens,"Amino Acid, Peptide, or Protein",D006513
126,Hepatitis B e Antigens,Immunologic Factor,D006513
127,Hepatitis B e Antigens,Immunologic Factor,D006513
128,Hepatitis B e Antigens,"Amino Acid, Peptide, or Protein",D006513
129,Hepatitis B e Antigens,"Amino Acid, Peptide, or Protein",D006513
130,Hepatitis B e Antigens,Immunologic Factor,D006513
131,Hepatitis B e Antigens,Immunologic Factor,D006513
132,Hepatitis B Core Antigens,Immunologic Factor,D006512
133,Hepatitis B Core Antigens,Immunologic Factor,D006512
134,Hepatitis B,Disease or Syndrome,D006509
135,Hepatitis B,Disease or Syndrome,D006509
136,"Hepatitis B, Chronic",Disease or Syndrome,D019694
137,"Hepatitis B, Chronic",Disease or Syndrome,D019694
138,"Hepatitis B Virus, Duck",Virus,D015611
139,"Hepatitis B Virus, Duck",Virus,D015611
140,"Hepatitis B Virus, Woodchuck",Virus,D017919
141,"Hepatitis B Virus, Woodchuck",Virus,D017919
142,Hepatitis B virus,Virus,D006515
143,Hepatitis B virus,Virus,D006515
144,"Poliovirus Vaccine, Inactivated",Pharmacologic Substance,D011054
145,"Poliovirus Vaccine, Inactivated",Pharmacologic Substance,D011054
146,"Poliovirus Vaccine, Inactivated",Immunologic Factor,D011054
147,"Poliovirus Vaccine, Inactivated",Immunologic Factor,D011054
148,"Poliovirus Vaccine, Oral",Pharmacologic Substance,D011055
149,"Poliovirus Vaccine, Oral",Pharmacologic Substance,D011055
150,"Poliovirus Vaccine, Oral",Immunologic Factor,D011055
151,"Poliovirus Vaccine, Oral",Immunologic Factor,D011055
152,Poliovirus Vaccines,Pharmacologic Substance,D023321
153,Poliovirus Vaccines,Pharmacologic Substance,D023321
154,Poliovirus Vaccines,Pharmacologic Substance,D023321
155,Poliovirus Vaccines,Organic Chemical,D023321
156,Poliovirus Vaccines,Organic Chemical,D023321
157,Poliovirus Vaccines,Organic Chemical,D023321
158,Poliovirus Vaccines,Immunologic Factor,D023321
159,Poliovirus Vaccines,Immunologic Factor,D023321
160,Poliovirus Vaccines,Immunologic Factor,D023321
161,Poliomyelitis,Disease or Syndrome,D011051
162,Poliovirus,Virus,D017955
163,Chickenpox Vaccine,Pharmacologic Substance,D019433
164,Chickenpox Vaccine,Pharmacologic Substance,D019433
165,Chickenpox Vaccine,Immunologic Factor,D019433
166,Chickenpox Vaccine,Immunologic Factor,D019433
167,Chickenpox,Disease or Syndrome,D002644
168,Rabies Vaccines,Pharmacologic Substance,D011819
169,Rabies Vaccines,Pharmacologic Substance,D011819
170,Rabies Vaccines,Pharmacologic Substance,D011819
171,Rabies Vaccines,Organic Chemical,D011819
172,Rabies Vaccines,Organic Chemical,D011819
173,Rabies Vaccines,Organic Chemical,D011819
174,Rabies Vaccines,Immunologic Factor,D011819
175,Rabies Vaccines,Immunologic Factor,D011819
176,Rabies Vaccines,Immunologic Factor,D011819
177,Rabies,Disease or Syndrome,D011818
178,Rabies virus,Virus,D011820
179,West Nile Fever,Disease or Syndrome,D014901
180,Hantavirus Infections,Disease or Syndrome,D018778
181,Hantavirus Infections,Disease or Syndrome,D018778
182,COVID-19,Disease or Syndrome,D000086382
183,COVID-19,Disease or Syndrome,D000086382
184,COVID-19,Phenomenon or Process,D000086382
185,COVID-19,Phenomenon or Process,D000086382
186,COVID-19 Testing,Laboratory Procedure,D000086742
187,COVID-19 Serological Testing,Laboratory Procedure,D000087124
188,COVID-19 Nucleic Acid Testing,Laboratory Procedure,D000087123
189,COVID-19 Vaccines,Clinical Drug,D000086663
190,Zika Virus Infection,Disease or Syndrome,D000071243
191,Zika Virus Infection,Disease or Syndrome,D000071243
192,Dengue Vaccines,Pharmacologic Substance,D053059
193,Dengue Vaccines,Pharmacologic Substance,D053059
194,Dengue Vaccines,Immunologic Factor,D053059
195,Dengue Vaccines,Immunologic Factor,D053059
196,Severe Dengue,Disease or Syndrome,D019595
197,Dengue,Disease or Syndrome,D003715
198,Dengue Virus,Virus,D003716
199,Neonatal Sepsis,Disease or Syndrome,D000071074
200,Sepsis,Disease or Syndrome,D018805
201,Sepsis,Disease or Syndrome,D018805
202,Sepsis,Pathologic Function,D018805
203,Sepsis,Pathologic Function,D018805
204,Sepsis-Associated Encephalopathy,Disease or Syndrome,D065166
205,Sepsis-Associated Encephalopathy,Disease or Syndrome,D065166
206,Sepsis-Associated Encephalopathy,Mental or Behavioral Dysfunction,D065166
207,Sepsis-Associated Encephalopathy,Mental or Behavioral Dysfunction,D065166
208,Acquired Immunodeficiency Syndrome,Disease or Syndrome,D000163
209,Simian Acquired Immunodeficiency Syndrome,Disease or Syndrome,D016097
210,Feline Acquired Immunodeficiency Syndrome,Disease or Syndrome,D016181
211,Murine Acquired Immunodeficiency Syndrome,Experimental Model of Disease,D016183
212,"Parasitic Diseases, Animal",Disease or Syndrome,D010273
213,"Parasitic Diseases, Animal",Disease or Syndrome,D010273
214,Mucormycosis,Disease or Syndrome,D009091
215,Blastomycosis,Disease or Syndrome,D001759
216,Coccidioidomycosis,Disease or Syndrome,D003047
217,Histoplasmosis,Disease or Syndrome,D006660
218,Cryptococcosis,Disease or Syndrome,D003453
219,"Candidiasis, Vulvovaginal",Disease or Syndrome,D002181
220,"Candidiasis, Vulvovaginal",Disease or Syndrome,D002181
221,"Candidiasis, Chronic Mucocutaneous",Disease or Syndrome,D002178
222,Candidiasis,Disease or Syndrome,D002177
223,"Candidiasis, Cutaneous",Disease or Syndrome,D002179
224,"Candidiasis, Invasive",Disease or Syndrome,D058365
225,"Candidiasis, Oral",Disease or Syndrome,D002180
226,Invasive Pulmonary Aspergillosis,Disease or Syndrome,D055744
227,Pulmonary Aspergillosis,Disease or Syndrome,D055732
228,Aspergillosis,Disease or Syndrome,D001228
229,"Aspergillosis, Allergic Bronchopulmonary",Disease or Syndrome,D001229
230,Mycoses,Disease or Syndrome,D009181
231,Chagas Disease,Disease or Syndrome,D014355
232,"Leishmaniasis, Mucocutaneous",Disease or Syndrome,D007897
233,"Leishmaniasis, Mucocutaneous",Disease or Syndrome,D007897
234,"Leishmaniasis, Visceral",Disease or Syndrome,D007898
235,"Leishmaniasis, Visceral",Disease or Syndrome,D007898
236,"Toxoplasmosis, Congenital",Disease or Syndrome,D014125
237,"Toxoplasmosis, Congenital",Disease or Syndrome,D014125
238,Coccidiosis,Disease or Syndrome,D003048
239,Babesiosis,Disease or Syndrome,D001404
240,Cryptosporidiosis,Disease or Syndrome,D003457
241,Trichomonas Vaginitis,Disease or Syndrome,D014247
242,Giardiasis,Disease or Syndrome,D005873
243,Amebiasis,Disease or Syndrome,D000562
244,"Toxoplasmosis, Animal",Disease or Syndrome,D014124
245,"Toxoplasmosis, Ocular",Disease or Syndrome,D014126
246,Toxoplasmosis,Disease or Syndrome,D014123
247,"Toxoplasmosis, Cerebral",Disease or Syndrome,D016781
248,"Trypanosomiasis, African",Disease or Syndrome,D014353
249,Trypanosomiasis,Disease or Syndrome,D014352
250,Leishmaniasis Vaccines,Pharmacologic Substance,D054332
251,Leishmaniasis Vaccines,Pharmacologic Substance,D054332
252,Leishmaniasis Vaccines,Immunologic Factor,D054332
253,Leishmaniasis Vaccines,Immunologic Factor,D054332
254,Leishmaniasis,Disease or Syndrome,D007896
255,"Leishmaniasis, Cutaneous",Disease or Syndrome,D016773
256,Malaria Vaccines,Pharmacologic Substance,D017780
257,Malaria Vaccines,Pharmacologic Substance,D017780
258,Malaria Vaccines,Immunologic Factor,D017780
259,Malaria Vaccines,Immunologic Factor,D017780
260,Malaria,Disease or Syndrome,D008288
261,"Malaria, Falciparum",Disease or Syndrome,D016778
262,"Malaria, Cerebral",Disease or Syndrome,D016779
263,"Malaria, Vivax",Disease or Syndrome,D016780
264,"Protozoan Infections, Animal",Disease or Syndrome,D011529
265,"Protozoan Infections, Animal",Disease or Syndrome,D011529
266,"Protozoan Infections, Animal",Disease or Syndrome,D011529
267,Viral Vaccines,Pharmacologic Substance,D014765
268,Viral Vaccines,Pharmacologic Substance,D014765
269,Viral Vaccines,Immunologic Factor,D014765
270,Viral Vaccines,Immunologic Factor,D014765
271,Retroviridae Infections,Disease or Syndrome,D012192
272,Retroviridae Infections,Disease or Syndrome,D012192
273,Herpesviridae Infections,Disease or Syndrome,D006566
274,Herpesviridae Infections,Disease or Syndrome,D006566
275,Middle East Respiratory Syndrome Coronavirus,Virus,D065207
276,Severe Acute Respiratory Syndrome,Disease or Syndrome,D045169
277,Coronavirus Infections,Disease or Syndrome,D018352
278,Coronavirus Infections,Disease or Syndrome,D018352
279,Rotavirus Infections,Disease or Syndrome,D012400
280,Rotavirus Infections,Disease or Syndrome,D012400
281,Hepatitis delta Antigens,Pharmacologic Substance,D035923
282,Hepatitis delta Antigens,Pharmacologic Substance,D035923
283,Hepatitis delta Antigens,Immunologic Factor,D035923
284,Hepatitis delta Antigens,Immunologic Factor,D035923
285,Hepatitis A Virus Cellular Receptor 1,"Amino Acid, Peptide, or Protein",D000072596
286,Hepatitis A Virus Cellular Receptor 1,"Amino Acid, Peptide, or Protein",D000072596
287,Hepatitis A Virus Cellular Receptor 1,"Amino Acid, Peptide, or Protein",D000072596
288,Hepatitis A Virus Cellular Receptor 1,Receptor,D000072596
289,Hepatitis A Virus Cellular Receptor 1,Receptor,D000072596
290,Hepatitis A Virus Cellular Receptor 1,Receptor,D000072596
291,Hepatitis A Virus Cellular Receptor 1,Immunologic Factor,D000072596
292,Hepatitis A Virus Cellular Receptor 1,Immunologic Factor,D000072596
293,Hepatitis A Virus Cellular Receptor 1,Immunologic Factor,D000072596
294,Hepatitis A Antibodies,"Amino Acid, Peptide, or Protein",D035922
295,Hepatitis A Antibodies,"Amino Acid, Peptide, or Protein",D035922
296,Hepatitis A Antibodies,Immunologic Factor,D035922
297,Hepatitis A Antibodies,Immunologic Factor,D035922
298,Hepatitis Antibodies,"Amino Acid, Peptide, or Protein",D006508
299,Hepatitis Antibodies,"Amino Acid, Peptide, or Protein",D006508
300,Hepatitis Antibodies,Immunologic Factor,D006508
301,Hepatitis Antibodies,Immunologic Factor,D006508
302,Hepatitis A Virus Cellular Receptor 2,"Amino Acid, Peptide, or Protein",D000072597
303,Hepatitis A Virus Cellular Receptor 2,"Amino Acid, Peptide, or Protein",D000072597
304,Hepatitis A Virus Cellular Receptor 2,Receptor,D000072597
305,Hepatitis A Virus Cellular Receptor 2,Receptor,D000072597
306,Hepatitis Antigens,Immunologic Factor,D018963
307,Hepatitis E,Disease or Syndrome,D016751
308,"Hepatitis D, Chronic",Disease or Syndrome,D019701
309,Hepatitis,Disease or Syndrome,D006505
310,Hepatitis A,Disease or Syndrome,D006506
311,"Hepatitis, Autoimmune",Disease or Syndrome,D019693
312,Hepatitis D,Disease or Syndrome,D003699
313,"Hepatitis, Chronic",Disease or Syndrome,D006521
314,"Hepatitis, Animal",Disease or Syndrome,D006520
315,"Hepatitis, Viral, Animal",Disease or Syndrome,D006524
316,"Hepatitis, Viral, Human",Disease or Syndrome,D006525
317,"Hepatitis, Alcoholic",Disease or Syndrome,D006519
318,Hepatitis E virus,Virus,D016752
319,"Hepatitis A Virus, Human",Virus,D017957
320,Hepatitis Delta Virus,Virus,D003698
321,Hepatitis A virus,Virus,D030041
322,"Hepatitis Virus, Duck",Virus,D004371
323,Hepatitis Viruses,Virus,D006518
324,Epstein-Barr Virus Infections,Disease or Syndrome,D020031
325,Epstein-Barr Virus Infections,Disease or Syndrome,D020031
326,Cytomegalovirus Infections,Disease or Syndrome,D003586
327,Cytomegalovirus Infections,Disease or Syndrome,D003586
328,Herpes Simplex Virus Vaccines,Pharmacologic Substance,D022301
329,Herpes Simplex Virus Vaccines,Pharmacologic Substance,D022301
330,Herpes Simplex Virus Vaccines,Immunologic Factor,D022301
331,Herpes Simplex Virus Vaccines,Immunologic Factor,D022301
332,Herpes Simplex Virus Protein Vmw65,"Amino Acid, Peptide, or Protein",D017405
333,Herpes Simplex Virus Protein Vmw65,"Amino Acid, Peptide, or Protein",D017405
334,Herpes Simplex Virus Protein Vmw65,Immunologic Factor,D017405
335,Herpes Simplex Virus Protein Vmw65,Immunologic Factor,D017405
336,Herpes Simplex,Disease or Syndrome,D006561
337,"Encephalitis, Herpes Simplex",Disease or Syndrome,D020803
338,"Encephalitis, Herpes Simplex",Disease or Syndrome,D020803
339,AIDS-Related Opportunistic Infections,Disease or Syndrome,D017088
340,AIDS-Related Opportunistic Infections,Disease or Syndrome,D017088
341,AIDS-Related Opportunistic Infections,Disease or Syndrome,D017088
342,HIV Infections,Disease or Syndrome,D015658
343,HIV Infections,Disease or Syndrome,D015658
344,"Pneumonia, Viral",Disease or Syndrome,D011024
345,"Pneumonia, Viral",Disease or Syndrome,D011024
346,Rubella Vaccine,Pharmacologic Substance,D012411
347,Rubella Vaccine,Pharmacologic Substance,D012411
348,Rubella Vaccine,Pharmacologic Substance,D012411
349,Rubella Vaccine,"Amino Acid, Peptide, or Protein",D012411
350,Rubella Vaccine,"Amino Acid, Peptide, or Protein",D012411
351,Rubella Vaccine,"Amino Acid, Peptide, or Protein",D012411
352,Rubella Vaccine,Immunologic Factor,D012411
353,Rubella Vaccine,Immunologic Factor,D012411
354,Rubella Vaccine,Immunologic Factor,D012411
355,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
356,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
357,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
358,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
359,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
360,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
361,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
362,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
363,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
364,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
365,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
366,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
367,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
368,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
369,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
370,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
371,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
372,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
373,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
374,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
375,Measles-Mumps-Rubella Vaccine,Pharmacologic Substance,D022542
376,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
377,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
378,Measles-Mumps-Rubella Vaccine,"Amino Acid, Peptide, or Protein",D022542
379,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
380,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
381,Measles-Mumps-Rubella Vaccine,Immunologic Factor,D022542
382,Rubella,Disease or Syndrome,D012409
383,Rubella virus,Virus,D012412
384,Mumps,Disease or Syndrome,D009107
385,Mumps virus,Virus,D009109
386,Measles Vaccine,Pharmacologic Substance,D008458
387,Measles Vaccine,Pharmacologic Substance,D008458
388,Measles Vaccine,Immunologic Factor,D008458
389,Measles Vaccine,Immunologic Factor,D008458
390,Measles,Disease or Syndrome,D008457
