,Preferred Label,Semantic Types Label,mesh_id
0,Lewy Bodies,Cell Component,D016631
1,Machado-Joseph Disease,Disease or Syndrome,D017827
2,Gaucher Disease,Disease or Syndrome,D005776
3,Sandhoff Disease,Disease or Syndrome,D012497
4,Mucolipidoses,Disease or Syndrome,D009081
5,Niemann-Pick Diseases,Disease or Syndrome,D009542
6,Niemann-Pick Diseases,Disease or Syndrome,D009542
7,Pick Disease of the Brain,Disease or Syndrome,D020774
8,Pick Disease of the Brain,Disease or Syndrome,D020774
9,Frontotemporal Lobar Degeneration,Mental or Behavioral Dysfunction,D057174
10,"Parkinson Disease, Secondary",Disease or Syndrome,D010302
11,"Parkinson Disease, Secondary",Disease or Syndrome,D010302
12,"Spastic Paraplegia, Hereditary",Disease or Syndrome,D015419
13,Hereditary Sensory and Autonomic Neuropathies,Disease or Syndrome,D009477
14,Spinal Cord Diseases,Disease or Syndrome,D013118
15,"Dementia, Multi-Infarct",Disease or Syndrome,D015161
16,"Dementia, Multi-Infarct",Disease or Syndrome,D015161
17,"Dementia, Vascular",Disease or Syndrome,D015140
18,"Dementia, Vascular",Disease or Syndrome,D015140
19,Kearns-Sayre Syndrome,Disease or Syndrome,D007625
20,Leigh Disease,Disease or Syndrome,D007888
21,MELAS Syndrome,Disease or Syndrome,D017241
22,Canavan Disease,Disease or Syndrome,D017825
23,Lafora Disease,Disease or Syndrome,D020192
24,"Gangliosidosis, GM1",Disease or Syndrome,D016537
25,"Tay-Sachs Disease, AB Variant",Disease or Syndrome,D049290
26,Tay-Sachs Disease,Disease or Syndrome,D013661
27,"Niemann-Pick Disease, Type C",Disease or Syndrome,D052556
28,"Niemann-Pick Disease, Type A",Disease or Syndrome,D052536
29,"Niemann-Pick Disease, Type B",Disease or Syndrome,D052537
30,Alexander Disease,Disease or Syndrome,D038261
31,Pelizaeus-Merzbacher Disease,Disease or Syndrome,D020371
32,Cerebellar Diseases,Disease or Syndrome,D002526
33,Spinocerebellar Degenerations,Disease or Syndrome,D013132
34,"Muscular Dystrophy, Oculopharyngeal",Disease or Syndrome,D039141
35,"Muscular Dystrophy, Duchenne",Disease or Syndrome,D020388
36,"Muscular Dystrophy, Emery-Dreifuss",Disease or Syndrome,D020389
37,Autosomal Emery-Dreifuss Muscular Dystrophy,Disease or Syndrome,D000083144
38,"Muscular Dystrophy, Animal",Disease or Syndrome,D009137
39,"Muscular Dystrophy, Facioscapulohumeral",Disease or Syndrome,D020391
40,Myasthenia Gravis,Disease or Syndrome,D009157
41,"Myasthenia Gravis, Autoimmune, Experimental",Experimental Model of Disease,D020720
42,Brain Diseases,Disease or Syndrome,D001927
43,Brain Diseases,Disease or Syndrome,D001927
44,"Brain Diseases, Metabolic",Disease or Syndrome,D001928
45,"Brain Diseases, Metabolic",Disease or Syndrome,D001928
46,"Brain Diseases, Metabolic, Inborn",Disease or Syndrome,D020739
47,"Brain Diseases, Metabolic, Inborn",Disease or Syndrome,D020739
48,Parkinsonian Disorders,Disease or Syndrome,D020734
49,Parkinsonian Disorders,Disease or Syndrome,D020734
50,Parkinsonian Disorders,Experimental Model of Disease,D020734
51,Parkinsonian Disorders,Experimental Model of Disease,D020734
52,Mitochondrial Diseases,Disease or Syndrome,D028361
53,Mitochondrial Diseases,Disease or Syndrome,D028361
54,Neurofilament Proteins,"Amino Acid, Peptide, or Protein",D016900
55,Neurofilament Proteins,"Amino Acid, Peptide, or Protein",D016900
56,Neurofilament Proteins,Biologically Active Substance,D016900
57,Neurofilament Proteins,Biologically Active Substance,D016900
58,Motor Neuron Disease,Disease or Syndrome,D016472
59,Prion Diseases,Disease or Syndrome,D017096
60,Synucleinopathies,Disease or Syndrome,D000080874
61,Tauopathies,Disease or Syndrome,D024801
62,Neurodegenerative Diseases,Disease or Syndrome,D019636
63,Frontotemporal Dementia,Disease or Syndrome,D057180
64,Frontotemporal Dementia,Disease or Syndrome,D057180
65,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
66,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
67,Frontotemporal Dementia,Disease or Syndrome,D057180
68,Frontotemporal Dementia,Disease or Syndrome,D057180
69,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
70,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
71,Lewy Body Disease,Disease or Syndrome,D020961
72,Multiple System Atrophy,Pathologic Function,D019578
73,Corticobasal Degeneration,Disease or Syndrome,D000088282
74,Brachial Plexus Neuropathies,Injury or Poisoning,D020516
75,Brachial Plexus Neuropathies,Injury or Poisoning,D020516
76,Brachial Plexus Neuropathies,Disease or Syndrome,D020516
77,Brachial Plexus Neuropathies,Disease or Syndrome,D020516
78,Carpal Tunnel Syndrome,Disease or Syndrome,D002349
79,Guillain-Barre Syndrome,Disease or Syndrome,D020275
80,Diabetic Neuropathies,Disease or Syndrome,D003929
81,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
82,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
83,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
84,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
85,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
86,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
87,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
88,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
89,Ataxia Telangiectasia,Disease or Syndrome,D001260
90,Ataxia Telangiectasia,Disease or Syndrome,D001260
91,Cerebellar Ataxia,Disease or Syndrome,D002524
92,Cerebellar Ataxia,Disease or Syndrome,D002524
93,Cerebellar Ataxia,Disease or Syndrome,D002524
94,Cerebellar Ataxia,Finding,D002524
95,Cerebellar Ataxia,Finding,D002524
96,Cerebellar Ataxia,Finding,D002524
97,Cerebellar Ataxia,Sign or Symptom,D002524
98,Cerebellar Ataxia,Sign or Symptom,D002524
99,Cerebellar Ataxia,Sign or Symptom,D002524
100,Cerebellar Ataxia,Disease or Syndrome,D002524
101,Cerebellar Ataxia,Disease or Syndrome,D002524
102,Cerebellar Ataxia,Disease or Syndrome,D002524
103,Cerebellar Ataxia,Finding,D002524
104,Cerebellar Ataxia,Finding,D002524
105,Cerebellar Ataxia,Finding,D002524
106,Cerebellar Ataxia,Sign or Symptom,D002524
107,Cerebellar Ataxia,Sign or Symptom,D002524
108,Cerebellar Ataxia,Sign or Symptom,D002524
109,Spinocerebellar Ataxias,Disease or Syndrome,D020754
110,Spinocerebellar Ataxias,Disease or Syndrome,D020754
111,Friedreich Ataxia,Disease or Syndrome,D005621
112,Friedreich Ataxia,Disease or Syndrome,D005621
113,Tourette Syndrome,Disease or Syndrome,D005879
114,Tics,Mental or Behavioral Dysfunction,D020323
115,Tics,Mental or Behavioral Dysfunction,D020323
116,Tics,Sign or Symptom,D020323
117,Tics,Sign or Symptom,D020323
118,Nocturnal Myoclonus Syndrome,Disease or Syndrome,D020189
119,Myoclonus,Disease or Syndrome,D009207
120,Myoclonus,Disease or Syndrome,D009207
121,Myoclonus,Sign or Symptom,D009207
122,Myoclonus,Sign or Symptom,D009207
123,Opsoclonus-Myoclonus Syndrome,Disease or Syndrome,D053578
124,Nocturnal Paroxysmal Dystonia,Disease or Syndrome,D020183
125,Dystonia Musculorum Deformans,Disease or Syndrome,D004422
126,Dystonia,Sign or Symptom,D004421
127,Athetosis,Disease or Syndrome,D001264
128,Chorea,Disease or Syndrome,D002819
129,Chorea Gravidarum,Disease or Syndrome,D020150
130,Restless Legs Syndrome,Disease or Syndrome,D012148
131,Cataplexy,Disease or Syndrome,D002385
132,Narcolepsy,Disease or Syndrome,D009290
133,Sleep Apnea Syndromes,Disease or Syndrome,D012891
134,Sleep Apnea Syndromes,Disease or Syndrome,D012891
135,"Sleep Apnea, Obstructive",Disease or Syndrome,D020181
136,"Sleep Apnea, Obstructive",Disease or Syndrome,D020181
137,"Sleep Apnea, Central",Disease or Syndrome,D020182
138,"Sleep Apnea, Central",Disease or Syndrome,D020182
139,"Sleep Apnea, Central",Pathologic Function,D020182
140,"Sleep Apnea, Central",Pathologic Function,D020182
141,"Sleep Apnea, Central",Disease or Syndrome,D020182
142,"Sleep Apnea, Central",Disease or Syndrome,D020182
143,"Sleep Apnea, Central",Pathologic Function,D020182
144,"Sleep Apnea, Central",Pathologic Function,D020182
145,"Insomnia, Fatal Familial",Disease or Syndrome,D034062
146,"Sleep Disorders, Intrinsic",Disease or Syndrome,D020919
147,"Sleep Disorders, Intrinsic",Disease or Syndrome,D020919
148,"Sleep Disorders, Intrinsic",Mental or Behavioral Dysfunction,D020919
149,"Sleep Disorders, Intrinsic",Mental or Behavioral Dysfunction,D020919
150,"Sleep Disorders, Intrinsic",Disease or Syndrome,D020919
151,"Sleep Disorders, Intrinsic",Disease or Syndrome,D020919
152,"Sleep Disorders, Intrinsic",Mental or Behavioral Dysfunction,D020919
153,"Sleep Disorders, Intrinsic",Mental or Behavioral Dysfunction,D020919
154,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
155,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
156,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
157,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
158,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
159,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
160,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
161,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
162,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
163,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
164,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
165,"Sleep Disorders, Circadian Rhythm",Disease or Syndrome,D020178
166,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
167,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
168,"Sleep Disorders, Circadian Rhythm",Mental or Behavioral Dysfunction,D020178
169,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
170,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
171,"Sleep Disorders, Circadian Rhythm",Pathologic Function,D020178
172,REM Sleep Behavior Disorder,Mental or Behavioral Dysfunction,D020187
173,REM Sleep Behavior Disorder,Mental or Behavioral Dysfunction,D020187
174,"Sleep Aids, Pharmaceutical",Pharmacologic Substance,D000068776
175,"Sleep Aids, Pharmaceutical",Pharmacologic Substance,D000068776
176,"Sleep Aids, Pharmaceutical",Clinical Drug,D000068776
177,"Sleep Aids, Pharmaceutical",Clinical Drug,D000068776
178,Sleep Wake Disorders,Disease or Syndrome,D012893
179,Sleep Wake Disorders,Disease or Syndrome,D012893
180,Sleep Wake Disorders,Mental or Behavioral Dysfunction,D012893
181,Sleep Wake Disorders,Mental or Behavioral Dysfunction,D012893
182,Sleep Deprivation,Disease or Syndrome,D012892
183,Sleep Deprivation,Disease or Syndrome,D012892
184,Sleep Deprivation,Disease or Syndrome,D012892
185,Sleep Deprivation,Finding,D012892
186,Sleep Deprivation,Finding,D012892
187,Sleep Deprivation,Finding,D012892
188,Sleep Deprivation,Pathologic Function,D012892
189,Sleep Deprivation,Pathologic Function,D012892
190,Sleep Deprivation,Pathologic Function,D012892
191,Sleep Paralysis,Disease or Syndrome,D020188
192,Sleep Bruxism,Disease or Syndrome,D020186
193,Sleep Arousal Disorders,Disease or Syndrome,D020921
194,Sleep Arousal Disorders,Disease or Syndrome,D020921
195,Sleep Arousal Disorders,Mental or Behavioral Dysfunction,D020921
196,Sleep Arousal Disorders,Mental or Behavioral Dysfunction,D020921
197,Sleep-Wake Transition Disorders,Disease or Syndrome,D020922
198,Sleep-Wake Transition Disorders,Disease or Syndrome,D020922
199,Sleep-Wake Transition Disorders,Mental or Behavioral Dysfunction,D020922
200,Sleep-Wake Transition Disorders,Mental or Behavioral Dysfunction,D020922
201,Sleep Initiation and Maintenance Disorders,Disease or Syndrome,D007319
202,Sleep Initiation and Maintenance Disorders,Disease or Syndrome,D007319
203,Sleep Initiation and Maintenance Disorders,Disease or Syndrome,D007319
204,Sleep Initiation and Maintenance Disorders,Mental or Behavioral Dysfunction,D007319
205,Sleep Initiation and Maintenance Disorders,Mental or Behavioral Dysfunction,D007319
206,Sleep Initiation and Maintenance Disorders,Mental or Behavioral Dysfunction,D007319
207,Sleep Initiation and Maintenance Disorders,Sign or Symptom,D007319
208,Sleep Initiation and Maintenance Disorders,Sign or Symptom,D007319
209,Sleep Initiation and Maintenance Disorders,Sign or Symptom,D007319
210,"Sleep, REM",Mental Process,D012895
211,"Sleep, REM",Mental Process,D012895
212,"Sleep, REM",Organ or Tissue Function,D012895
213,"Sleep, REM",Organ or Tissue Function,D012895
214,Sleepiness,Mental or Behavioral Dysfunction,D000077260
215,Sleep,Finding,D012890
216,Sleep,Finding,D012890
217,Sleep,Organism Function,D012890
218,Sleep,Organism Function,D012890
219,Sleep Latency,Finding,D000074361
220,Sleep Quality,Finding,D000089943
221,Sleep Stages,Physiologic Function,D012894
222,Sleep Stages,Physiologic Function,D012894
223,Sleep Stages,Organism Function,D012894
224,Sleep Stages,Organism Function,D012894
225,"Sleep, Slow-Wave",Physiologic Function,D000077310
226,Sleep Hygiene,Individual Behavior,D000070263
227,Brain Waves,Organ or Tissue Function,D058256
228,Brain Waves,Organ or Tissue Function,D058256
229,Central Pattern Generators,Cell,D063226
230,Central Pattern Generators,Cell,D063226
231,Central Pattern Generators,Body Location or Region,D063226
232,Central Pattern Generators,Body Location or Region,D063226
233,"Neural Networks, Computer",Intellectual Product,D016571
234,Axon Guidance,Cell Function,D000071437
235,Enkephalins,"Amino Acid, Peptide, or Protein",D004745
236,Enkephalins,"Amino Acid, Peptide, or Protein",D004745
237,Enkephalins,Biologically Active Substance,D004745
238,Enkephalins,Biologically Active Substance,D004745
239,Cholecystokinin,Pharmacologic Substance,D002766
240,Cholecystokinin,Pharmacologic Substance,D002766
241,Cholecystokinin,Pharmacologic Substance,D002766
242,Cholecystokinin,"Amino Acid, Peptide, or Protein",D002766
243,Cholecystokinin,"Amino Acid, Peptide, or Protein",D002766
244,Cholecystokinin,"Amino Acid, Peptide, or Protein",D002766
245,Cholecystokinin,Hormone,D002766
246,Cholecystokinin,Hormone,D002766
247,Cholecystokinin,Hormone,D002766
248,"Receptors, Cholecystokinin","Amino Acid, Peptide, or Protein",D011949
249,"Receptors, Cholecystokinin","Amino Acid, Peptide, or Protein",D011949
