,Preferred Label,Semantic Types Label,mesh_id
0,"Tay-Sachs Disease, AB Variant",Disease or Syndrome,D049290
1,Tay-Sachs Disease,Disease or Syndrome,D013661
2,Syringomyelia,Disease or Syndrome,D013595
3,Subarachnoid Hemorrhage,Disease or Syndrome,D013345
4,Subarachnoid Hemorrhage,Disease or Syndrome,D013345
5,Subarachnoid Hemorrhage,Pathologic Function,D013345
6,Subarachnoid Hemorrhage,Pathologic Function,D013345
7,Stroke Rehabilitation,Therapeutic or Preventive Procedure,D000071939
8,Heat Stroke,Injury or Poisoning,D018883
9,Hemorrhagic Stroke,Disease or Syndrome,D000083302
10,Ischemic Stroke,Disease or Syndrome,D000083242
11,"Stroke, Lacunar",Disease or Syndrome,D059409
12,Embolic Stroke,Disease or Syndrome,D000083262
13,Stroke,Disease or Syndrome,D020521
14,Stroke Volume,Finding,D013318
15,Stroke Volume,Finding,D013318
16,Stroke Volume,Finding,D013318
17,Stroke Volume,Laboratory or Test Result,D013318
18,Stroke Volume,Laboratory or Test Result,D013318
19,Stroke Volume,Laboratory or Test Result,D013318
20,Stroke Volume,Clinical Attribute,D013318
21,Stroke Volume,Clinical Attribute,D013318
22,Stroke Volume,Clinical Attribute,D013318
23,National Institute of Neurological Disorders and Stroke (U.S.),Health Care Related Organization,D055825
24,Stiff-Person Syndrome,Disease or Syndrome,D016750
25,Spinal Muscular Atrophies of Childhood,Disease or Syndrome,D014897
26,Spinal Cord Injuries,Injury or Poisoning,D013119
27,Spinal Cord Diseases,Disease or Syndrome,D013118
28,Shy-Drager Syndrome,Disease or Syndrome,D012791
29,Retinal Diseases,Disease or Syndrome,D012164
30,Reflex Sympathetic Dystrophy,Disease or Syndrome,D012019
31,Prion Diseases,Disease or Syndrome,D017096
32,Post-Concussion Syndrome,Injury or Poisoning,D038223
33,Post-Concussion Syndrome,Injury or Poisoning,D038223
34,Post-Concussion Syndrome,Disease or Syndrome,D038223
35,Post-Concussion Syndrome,Disease or Syndrome,D038223
36,Poliomyelitis,Disease or Syndrome,D011051
37,Peripheral Nervous System Diseases,Disease or Syndrome,D010523
38,Peripheral Nervous System Diseases,Disease or Syndrome,D010523
39,Neurosyphilis,Disease or Syndrome,D009494
40,Neuronal Ceroid-Lipofuscinoses,Disease or Syndrome,D009472
41,Neuromuscular Diseases,Disease or Syndrome,D009468
42,Neuromuscular Diseases,Disease or Syndrome,D009468
43,Neuromuscular Diseases,Congenital Abnormality,D009468
44,Neuromuscular Diseases,Congenital Abnormality,D009468
45,Neurogenic Inflammation,Injury or Poisoning,D020078
46,Neurodegenerative Diseases,Disease or Syndrome,D019636
47,Neuroaxonal Dystrophies,Disease or Syndrome,D019150
48,Myasthenia Gravis,Disease or Syndrome,D009157
49,"Myasthenia Gravis, Autoimmune, Experimental",Experimental Model of Disease,D020720
50,"Muscular Dystrophies, Limb-Girdle",Disease or Syndrome,D049288
51,Muscular Dystrophies,Disease or Syndrome,D009136
52,"Muscular Atrophy, Spinal",Disease or Syndrome,D009134
53,"Muscular Atrophy, Spinal",Disease or Syndrome,D009134
54,Muscular Atrophy,Pathologic Function,D009133
55,Muscle Spasticity,Mental or Behavioral Dysfunction,D009128
56,Muscle Spasticity,Mental or Behavioral Dysfunction,D009128
57,Muscle Spasticity,Sign or Symptom,D009128
58,Muscle Spasticity,Sign or Symptom,D009128
59,Motor Neuron Disease,Disease or Syndrome,D016472
60,Migraine Disorders,Disease or Syndrome,D008881
61,Meningoencephalitis,Disease or Syndrome,D008590
62,"Meningitis, Bacterial",Disease or Syndrome,D016920
63,"Meningitis, Fungal",Disease or Syndrome,D016921
64,"Meningitis, Cryptococcal",Disease or Syndrome,D016919
65,Meningitis,Disease or Syndrome,D008581
66,"Meningitis, Haemophilus",Disease or Syndrome,D008583
67,"Meningitis, Meningococcal",Disease or Syndrome,D008585
68,"Meningitis, Pneumococcal",Disease or Syndrome,D008586
69,"Meningitis, Pneumococcal",Disease or Syndrome,D008586
70,"Meningitis, Pneumococcal",Experimental Model of Disease,D008586
71,"Meningitis, Pneumococcal",Experimental Model of Disease,D008586
72,"Meningitis, Aseptic",Disease or Syndrome,D008582
73,"Meningitis, Viral",Disease or Syndrome,D008587
74,Leukoencephalopathies,Disease or Syndrome,D056784
75,Leigh Disease,Disease or Syndrome,D007888
76,Kuru,Disease or Syndrome,D007729
77,Intracranial Hypertension,Finding,D019586
78,Intracranial Hemorrhages,Pathologic Function,D020300
79,Intracranial Embolism and Thrombosis,Disease or Syndrome,D002542
80,Intracranial Arteriovenous Malformations,Congenital Abnormality,D002538
81,Intracranial Aneurysm,Disease or Syndrome,D002532
82,Intracranial Aneurysm,Disease or Syndrome,D002532
83,Intracranial Aneurysm,Disease or Syndrome,D002532
84,Intracranial Aneurysm,Anatomical Abnormality,D002532
85,Intracranial Aneurysm,Anatomical Abnormality,D002532
86,Intracranial Aneurysm,Anatomical Abnormality,D002532
87,Intracranial Aneurysm,Pathologic Function,D002532
88,Intracranial Aneurysm,Pathologic Function,D002532
89,Intracranial Aneurysm,Pathologic Function,D002532
90,Hydrocephalus,Disease or Syndrome,D006849
91,Hydrocephalus,Disease or Syndrome,D006849
92,Hydrocephalus,Disease or Syndrome,D006849
93,Hydrocephalus,Finding,D006849
94,Hydrocephalus,Finding,D006849
95,Hydrocephalus,Finding,D006849
96,Hydrocephalus,Congenital Abnormality,D006849
97,Hydrocephalus,Congenital Abnormality,D006849
98,Hydrocephalus,Congenital Abnormality,D006849
99,"Hydrocephalus, Normal Pressure",Disease or Syndrome,D006850
100,Hereditary Sensory and Autonomic Neuropathies,Disease or Syndrome,D009477
101,Hemiplegia,Disease or Syndrome,D006429
102,Hemiplegia,Disease or Syndrome,D006429
103,Hemiplegia,Sign or Symptom,D006429
104,Hemiplegia,Sign or Symptom,D006429
105,Gerstmann-Straussler-Scheinker Disease,Disease or Syndrome,D016098
106,"Gait Disorders, Neurologic",Disease or Syndrome,D020233
107,"Gait Disorders, Neurologic",Disease or Syndrome,D020233
108,"Gait Disorders, Neurologic",Disease or Syndrome,D020233
109,"Gait Disorders, Neurologic",Finding,D020233
110,"Gait Disorders, Neurologic",Finding,D020233
111,"Gait Disorders, Neurologic",Finding,D020233
112,"Gait Disorders, Neurologic",Sign or Symptom,D020233
113,"Gait Disorders, Neurologic",Sign or Symptom,D020233
114,"Gait Disorders, Neurologic",Sign or Symptom,D020233
115,Essential Tremor,Disease or Syndrome,D020329
116,Encephalomyelitis,Disease or Syndrome,D004679
117,"Encephalomyelitis, Acute Disseminated",Disease or Syndrome,D004673
118,"Encephalomyelitis, Venezuelan Equine",Disease or Syndrome,D004685
119,"Encephalomyelitis, Equine",Disease or Syndrome,D004683
120,"Encephalomyelitis, Autoimmune, Experimental",Experimental Model of Disease,D004681
121,Diffuse Axonal Injury,Injury or Poisoning,D020833
122,Cerebrovascular Disorders,Disease or Syndrome,D002561
123,Cerebral Palsy,Disease or Syndrome,D002547
124,Cerebral Palsy,Disease or Syndrome,D002547
125,Cerebral Palsy,Congenital Abnormality,D002547
126,Cerebral Palsy,Congenital Abnormality,D002547
127,Cerebral Hemorrhage,Pathologic Function,D002543
128,Cerebellar Diseases,Disease or Syndrome,D002526
129,Central Nervous System Diseases,Disease or Syndrome,D002493
130,Central Nervous System Diseases,Disease or Syndrome,D002493
131,"Brain Injury, Chronic",Injury or Poisoning,D020208
132,"Brain Injury, Chronic",Injury or Poisoning,D020208
133,Brain Infarction,Disease or Syndrome,D020520
134,Brain Infarction,Disease or Syndrome,D020520
135,Brain Diseases,Disease or Syndrome,D001927
136,Brain Diseases,Disease or Syndrome,D001927
137,"Brain Diseases, Metabolic",Disease or Syndrome,D001928
138,"Brain Diseases, Metabolic",Disease or Syndrome,D001928
139,"Brain Diseases, Metabolic, Inborn",Disease or Syndrome,D020739
140,"Brain Diseases, Metabolic, Inborn",Disease or Syndrome,D020739
141,Basal Ganglia Diseases,Disease or Syndrome,D001480
142,Basal Ganglia Diseases,Disease or Syndrome,D001480
143,Frontotemporal Dementia,Disease or Syndrome,D057180
144,Frontotemporal Dementia,Disease or Syndrome,D057180
145,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
146,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
147,Frontotemporal Dementia,Disease or Syndrome,D057180
148,Frontotemporal Dementia,Disease or Syndrome,D057180
149,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
150,Frontotemporal Dementia,Mental or Behavioral Dysfunction,D057180
151,Lewy Body Disease,Disease or Syndrome,D020961
152,Multiple System Atrophy,Pathologic Function,D019578
153,Corticobasal Degeneration,Disease or Syndrome,D000088282
154,Brachial Plexus Neuropathies,Injury or Poisoning,D020516
155,Brachial Plexus Neuropathies,Injury or Poisoning,D020516
156,Brachial Plexus Neuropathies,Disease or Syndrome,D020516
157,Brachial Plexus Neuropathies,Disease or Syndrome,D020516
158,Carpal Tunnel Syndrome,Disease or Syndrome,D002349
159,Guillain-Barre Syndrome,Disease or Syndrome,D020275
160,Diabetic Neuropathies,Disease or Syndrome,D003929
161,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
162,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
163,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
164,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
165,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
166,Ataxia Telangiectasia Mutated Proteins,"Amino Acid, Peptide, or Protein",D064007
167,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
168,Ataxia Telangiectasia Mutated Proteins,Enzyme,D064007
169,Ataxia Telangiectasia,Disease or Syndrome,D001260
170,Ataxia Telangiectasia,Disease or Syndrome,D001260
171,Cerebellar Ataxia,Disease or Syndrome,D002524
172,Cerebellar Ataxia,Disease or Syndrome,D002524
173,Cerebellar Ataxia,Disease or Syndrome,D002524
174,Cerebellar Ataxia,Finding,D002524
175,Cerebellar Ataxia,Finding,D002524
176,Cerebellar Ataxia,Finding,D002524
177,Cerebellar Ataxia,Sign or Symptom,D002524
178,Cerebellar Ataxia,Sign or Symptom,D002524
179,Cerebellar Ataxia,Sign or Symptom,D002524
180,Cerebellar Ataxia,Disease or Syndrome,D002524
181,Cerebellar Ataxia,Disease or Syndrome,D002524
