,Preferred Label,Semantic Types Label,Class ID,Semantic Types,Synonyms,Parents,CUI,AQL,TERMUI,mesh_id
0,"Tay-Sachs Disease, AB Variant",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D049290,T047,"Activator Deficient Tay Sachs Disease|AB Variant Gangliosidosis GM2|Activator-Deficient Tay-Sachs Diseases|Tay-Sachs Diseases, Activator-Deficient|GM2 Activator Deficiency Disease|Gangliosidosis GM2, AB Variant|GM2 Activator Deficiencies|Deficiency, GM2 Activator|GM2 Activator Deficiency|GM2 Gangliosidosis, Type AB|Activator Deficiency, Hexosaminidase|Activator-Deficient Tay-Sachs Disease|Hexosaminidase Activator Protein Deficiency Disease|Activator Deficiencies, GM2|Deficiencies, GM2 Activator|Disease, Activator-Deficient Tay-Sachs|AB Variant GM2 Gangliosidosis|Deficiency Disease, GM2 Protein Activator|Activator Deficiency GM2 Gangliosidosis|GM2 Gangliosidosis, AB Variant|Variant GM2-Gangliosidoses, AB|AB Variant GM2-Gangliosidoses|Variant GM2-Gangliosidosis, AB|GM2-Gangliosidoses, AB Variant|GM2 Protein Activator Deficiency Disease|Activator Deficiency, GM2|Diseases, Activator-Deficient Tay-Sachs|AB Variant GM2-Gangliosidosis|Tay-Sachs Disease, Activator-Deficient|GM2-Gangliosidosis, AB Variant|Hexosaminidase Activator Deficiency|Deficiency, Hexosaminidase Activator|Deficiencies, Hexosaminidase Activator|Tay Sachs Disease, AB Variant|Hexosaminidase Activator Deficiencies|Activator Deficiencies, Hexosaminidase|Gangliosidosis GM2, Type AB",http://purl.bioontology.org/ontology/MESH/D020143,C0268275,BL CF CI CL CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368287|T582131|T825150|T841539|T368292|T843575|T812202|T368286|T368290|T843574|T368288|T368289|T825152|T825151|T368295,D049290
1,Tay-Sachs Disease,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D013661,T047,"Deficiency, Hexosaminidase alpha-Subunit (Variant B)|Tay-Sachs Sphingolipidosis|Sphingolipidosis, Tay-Sachs|GM2-Gangliosidosis, Type I|Deficiency Disease Hexosaminidase A|Gangliosidosis GM2, Type I|GM2 Gangliosidosis, Type I|GM2 Gangliosidosis, Type 1|Type I GM2-Gangliosidosis|HexA Deficiency|Tay Sachs Disease|Hexosaminidase alpha-Subunit Deficiency (Variant B)|Hexosaminidase alpha Subunit Deficiency (Variant B)|Deficiency, Hexosaminidase A|GM2-Gangliosidosis, B Variant|Tay-Sachs Disease, B Variant|Amaurotic Familial Idiocy|Tay Sachs Disease, B Variant|GM2 Gangliosidosis, B Variant|Amaurotic Idiocy, Familial|Familial Amaurotic Idiocy|Hexosaminidase A Deficiency|Gangliosidosis GM2, B Variant|B Variant GM2 Gangliosidosis|B Variant GM2-Gangliosidosis|Hexosaminidase A Deficiency Disease|Gangliosidosis G(M2), Type I|G(M2) Gangliosidosis, Type I|Sphingolipidosis, Tay Sachs|Gangliosidosis GM2 , Type 1|B Variant GM2-Gangliosidoses",http://purl.bioontology.org/ontology/MESH/D020143,C0039373|C0282220|C1848922,BL CF CI CL CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370736|T825153|T024039|T370737|T646887|T752850|T752848|T752849|T752847|T040130|T752851|T040131|T825154|T646888|T370738|T040128|T752846|T040129|T843877|T646886|T649281,D013661
2,Syringomyelia,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D013595,T047,Morvans Disease|Myelosyringosis|Morvan's Disease|Hydrosyringomyelia|Syringomyelias|Myelosyringoses|Morvan Disease|Syringomyelus|Hydrosyringomyelias|Morvan Diseases|Morvan's Diseases,http://purl.bioontology.org/ontology/MESH/D013118,C1522522|C0039144|C3854373,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370720|T370721|T370724|T370723|T039944|T370722,D013595
3,Subarachnoid Hemorrhage,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D013345,T047,"Hemorrhage, Subarachnoid|Hemorrhages, Subarachnoid|Spontaneous Subarachnoid Hemorrhage|Hemorrhage, Intracranial Subarachnoid|Subarachnoid Hemorrhages, Aneurysmal|Perinatal Subarachnoid Hemorrhages|Aneurysmal Subarachnoid Hemorrhage|Subarachnoid Hemorrhages|SAH (Subarachnoid Hemorrhage)|Hemorrhage, Aneurysmal Subarachnoid|Subarachnoid Hemorrhage, Perinatal|Subarachnoid Hemorrhage, Aneurysmal|Subarachnoid Hemorrhage, Spontaneous|Subarachnoid Hemorrhages, Spontaneous|Intracranial Subarachnoid Hemorrhages|Perinatal Subarachnoid Hemorrhage|Aneurysmal Subarachnoid Hemorrhages|Hemorrhages, Intracranial Subarachnoid|Hemorrhages, Spontaneous Subarachnoid|Subarachnoid Hemorrhages, Intracranial|Hemorrhages, Aneurysmal Subarachnoid|SAHs (Subarachnoid Hemorrhage)|Hemorrhages, Perinatal Subarachnoid|Spontaneous Subarachnoid Hemorrhages|Hemorrhage, Perinatal Subarachnoid|Hemorrhage, Spontaneous Subarachnoid|Intracranial Subarachnoid Hemorrhage|Subarachnoid Hemorrhage, Intracranial|Subarachnoid Hemorrhages, Perinatal",http://purl.bioontology.org/ontology/MESH/D020300,C0270192|C0038525|C0795688|C0472383|C0751530,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370640|T039189|T370639|T370637|T039188|T370638|T370636,D013345
4,Subarachnoid Hemorrhage,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D013345,T047,"Hemorrhage, Subarachnoid|Hemorrhages, Subarachnoid|Spontaneous Subarachnoid Hemorrhage|Hemorrhage, Intracranial Subarachnoid|Subarachnoid Hemorrhages, Aneurysmal|Perinatal Subarachnoid Hemorrhages|Aneurysmal Subarachnoid Hemorrhage|Subarachnoid Hemorrhages|SAH (Subarachnoid Hemorrhage)|Hemorrhage, Aneurysmal Subarachnoid|Subarachnoid Hemorrhage, Perinatal|Subarachnoid Hemorrhage, Aneurysmal|Subarachnoid Hemorrhage, Spontaneous|Subarachnoid Hemorrhages, Spontaneous|Intracranial Subarachnoid Hemorrhages|Perinatal Subarachnoid Hemorrhage|Aneurysmal Subarachnoid Hemorrhages|Hemorrhages, Intracranial Subarachnoid|Hemorrhages, Spontaneous Subarachnoid|Subarachnoid Hemorrhages, Intracranial|Hemorrhages, Aneurysmal Subarachnoid|SAHs (Subarachnoid Hemorrhage)|Hemorrhages, Perinatal Subarachnoid|Spontaneous Subarachnoid Hemorrhages|Hemorrhage, Perinatal Subarachnoid|Hemorrhage, Spontaneous Subarachnoid|Intracranial Subarachnoid Hemorrhage|Subarachnoid Hemorrhage, Intracranial|Subarachnoid Hemorrhages, Perinatal",http://purl.bioontology.org/ontology/MESH/D020300,C0270192|C0038525|C0795688|C0472383|C0751530,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370640|T039189|T370639|T370637|T039188|T370638|T370636,D013345
5,Subarachnoid Hemorrhage,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D013345,T046,"Hemorrhage, Subarachnoid|Hemorrhages, Subarachnoid|Spontaneous Subarachnoid Hemorrhage|Hemorrhage, Intracranial Subarachnoid|Subarachnoid Hemorrhages, Aneurysmal|Perinatal Subarachnoid Hemorrhages|Aneurysmal Subarachnoid Hemorrhage|Subarachnoid Hemorrhages|SAH (Subarachnoid Hemorrhage)|Hemorrhage, Aneurysmal Subarachnoid|Subarachnoid Hemorrhage, Perinatal|Subarachnoid Hemorrhage, Aneurysmal|Subarachnoid Hemorrhage, Spontaneous|Subarachnoid Hemorrhages, Spontaneous|Intracranial Subarachnoid Hemorrhages|Perinatal Subarachnoid Hemorrhage|Aneurysmal Subarachnoid Hemorrhages|Hemorrhages, Intracranial Subarachnoid|Hemorrhages, Spontaneous Subarachnoid|Subarachnoid Hemorrhages, Intracranial|Hemorrhages, Aneurysmal Subarachnoid|SAHs (Subarachnoid Hemorrhage)|Hemorrhages, Perinatal Subarachnoid|Spontaneous Subarachnoid Hemorrhages|Hemorrhage, Perinatal Subarachnoid|Hemorrhage, Spontaneous Subarachnoid|Intracranial Subarachnoid Hemorrhage|Subarachnoid Hemorrhage, Intracranial|Subarachnoid Hemorrhages, Perinatal",http://purl.bioontology.org/ontology/MESH/D020300,C0270192|C0038525|C0795688|C0472383|C0751530,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370640|T039189|T370639|T370637|T039188|T370638|T370636,D013345
6,Subarachnoid Hemorrhage,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D013345,T046,"Hemorrhage, Subarachnoid|Hemorrhages, Subarachnoid|Spontaneous Subarachnoid Hemorrhage|Hemorrhage, Intracranial Subarachnoid|Subarachnoid Hemorrhages, Aneurysmal|Perinatal Subarachnoid Hemorrhages|Aneurysmal Subarachnoid Hemorrhage|Subarachnoid Hemorrhages|SAH (Subarachnoid Hemorrhage)|Hemorrhage, Aneurysmal Subarachnoid|Subarachnoid Hemorrhage, Perinatal|Subarachnoid Hemorrhage, Aneurysmal|Subarachnoid Hemorrhage, Spontaneous|Subarachnoid Hemorrhages, Spontaneous|Intracranial Subarachnoid Hemorrhages|Perinatal Subarachnoid Hemorrhage|Aneurysmal Subarachnoid Hemorrhages|Hemorrhages, Intracranial Subarachnoid|Hemorrhages, Spontaneous Subarachnoid|Subarachnoid Hemorrhages, Intracranial|Hemorrhages, Aneurysmal Subarachnoid|SAHs (Subarachnoid Hemorrhage)|Hemorrhages, Perinatal Subarachnoid|Spontaneous Subarachnoid Hemorrhages|Hemorrhage, Perinatal Subarachnoid|Hemorrhage, Spontaneous Subarachnoid|Intracranial Subarachnoid Hemorrhage|Subarachnoid Hemorrhage, Intracranial|Subarachnoid Hemorrhages, Perinatal",http://purl.bioontology.org/ontology/MESH/D020300,C0270192|C0038525|C0795688|C0472383|C0751530,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370640|T039189|T370639|T370637|T039188|T370638|T370636,D013345
7,Stroke Rehabilitation,Therapeutic or Preventive Procedure,http://purl.bioontology.org/ontology/MESH/D000071939,T061,"Rehabilitation, Stroke",http://purl.bioontology.org/ontology/MESH/D000066530,C0204097,AE CL EC ES HI IS MO MT NU PX SN ST TD,T000897546,D000071939
8,Heat Stroke,Injury or Poisoning,http://purl.bioontology.org/ontology/MESH/D018883,T037,"Heat Strokes|Stroke, Heat|Heatstrokes|Heatstroke",http://purl.bioontology.org/ontology/MESH/D018882,C0018843,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T056290|T056289,D018883
9,Hemorrhagic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083302,T047,"Stroke, Intracerebral Hemorrhagic|Hemorrhage Stroke, Intracerebral|Subarachnoid Hemorrhagic Strokes|Intracerebral Hemorrhage Stroke|Stroke, Subarachnoid Hemorrhagic|Intracerebral Hemorrhagic Stroke|Subarachnoid Hemorrhagic Stroke|Hemorrhagic Stroke, Intracerebral|Hemorrhagic Stroke, Subarachnoid|Intracerebral Hemorrhage Strokes|Intracerebral Hemorrhagic Strokes|Stroke, Intracerebral Hemorrhage|Stroke, Hemorrhagic|Hemorrhagic Strokes",http://purl.bioontology.org/ontology/MESH/D020521,C5392098|C5392835|C5234922,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005105|T001005106|T001005104|T001005103,D000083302
