,Preferred Label,Semantic Types Label,mesh_id
0,Stearoyl-CoA Desaturase,"Amino Acid, Peptide, or Protein",D013230
1,Stearoyl-CoA Desaturase,"Amino Acid, Peptide, or Protein",D013230
2,Stearoyl-CoA Desaturase,Enzyme,D013230
3,Stearoyl-CoA Desaturase,Enzyme,D013230
4,Plasma Membrane Calcium-Transporting ATPases,"Amino Acid, Peptide, or Protein",D053499
5,Plasma Membrane Calcium-Transporting ATPases,"Amino Acid, Peptide, or Protein",D053499
6,Plasma Membrane Calcium-Transporting ATPases,Enzyme,D053499
7,Plasma Membrane Calcium-Transporting ATPases,Enzyme,D053499
8,Glycine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050487
9,Glycine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050487
10,Glycine Plasma Membrane Transport Proteins,Biologically Active Substance,D050487
11,Glycine Plasma Membrane Transport Proteins,Biologically Active Substance,D050487
12,Serotonin Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050486
13,Serotonin Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050486
14,Serotonin Plasma Membrane Transport Proteins,Biologically Active Substance,D050486
15,Serotonin Plasma Membrane Transport Proteins,Biologically Active Substance,D050486
16,Norepinephrine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050484
17,Norepinephrine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050484
18,Norepinephrine Plasma Membrane Transport Proteins,Biologically Active Substance,D050484
19,Norepinephrine Plasma Membrane Transport Proteins,Biologically Active Substance,D050484
20,Plasma Membrane Neurotransmitter Transport Proteins,"Amino Acid, Peptide, or Protein",D050480
21,Plasma Membrane Neurotransmitter Transport Proteins,"Amino Acid, Peptide, or Protein",D050480
22,Plasma Membrane Neurotransmitter Transport Proteins,Biologically Active Substance,D050480
23,Plasma Membrane Neurotransmitter Transport Proteins,Biologically Active Substance,D050480
24,Catecholamine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050482
25,Catecholamine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050482
26,Catecholamine Plasma Membrane Transport Proteins,Biologically Active Substance,D050482
27,Catecholamine Plasma Membrane Transport Proteins,Biologically Active Substance,D050482
28,GABA Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050485
29,GABA Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050485
30,GABA Plasma Membrane Transport Proteins,Biologically Active Substance,D050485
31,GABA Plasma Membrane Transport Proteins,Biologically Active Substance,D050485
32,Dopamine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050483
33,Dopamine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050483
34,Dopamine Plasma Membrane Transport Proteins,"Amino Acid, Peptide, or Protein",D050483
35,Dopamine Plasma Membrane Transport Proteins,Receptor,D050483
36,Dopamine Plasma Membrane Transport Proteins,Receptor,D050483
37,Dopamine Plasma Membrane Transport Proteins,Receptor,D050483
38,Dopamine Plasma Membrane Transport Proteins,Biologically Active Substance,D050483
39,Dopamine Plasma Membrane Transport Proteins,Biologically Active Substance,D050483
40,Dopamine Plasma Membrane Transport Proteins,Biologically Active Substance,D050483
