,Preferred Label,Semantic Types Label,mesh_id
0,Olfactory Mucosa,Tissue,D009831
1,Olfactory Receptor Neurons,Cell Component,D018034
2,Olfactory Receptor Neurons,Cell Component,D018034
3,Olfactory Receptor Neurons,Cell,D018034
4,Olfactory Receptor Neurons,Cell,D018034
5,Olfactory Nerve,"Body Part, Organ, or Organ Component",D009832
6,Olfactory Bulb,"Body Part, Organ, or Organ Component",D009830
7,Olfactory Pathways,"Body Part, Organ, or Organ Component",D009833
8,Olfaction Disorders,Disease or Syndrome,D000857
9,Olfaction Disorders,Disease or Syndrome,D000857
10,Olfaction Disorders,Finding,D000857
11,Olfaction Disorders,Finding,D000857
12,Quillaja Saponins,Organic Chemical,D062605
13,Saponins,Organic Chemical,D012503
14,Sterols,Organic Chemical,D013261
15,Triterpenes,Organic Chemical,D014315
16,Pentacyclic Triterpenes,Organic Chemical,D053978
17,"Diterpenes, Clerodane",Organic Chemical,D045785
18,"Diterpenes, Clerodane",Organic Chemical,D045785
19,"Diterpenes, Clerodane",Biologically Active Substance,D045785
20,"Diterpenes, Clerodane",Biologically Active Substance,D045785
21,"Diterpenes, Kaurane",Organic Chemical,D045786
22,Diterpenes,Organic Chemical,D004224
23,Monoterpenes,Organic Chemical,D039821
24,Cyclohexane Monoterpenes,Organic Chemical,D000081005
25,Acyclic Monoterpenes,Organic Chemical,D000080462
26,Cyclopentane Monoterpenes,Organic Chemical,D000081004
27,Bicyclic Monoterpenes,Organic Chemical,D000081008
28,"Sesquiterpenes, Guaiane",Organic Chemical,D045789
29,"Sesquiterpenes, Germacrane",Organic Chemical,D045788
30,Sesquiterpenes,Organic Chemical,D012717
31,Polycyclic Sesquiterpenes,Organic Chemical,D000081223
32,Terpenes,Organic Chemical,D013729
33,Terpenes,Organic Chemical,D013729
34,Terpenes,Biologically Active Substance,D013729
35,Terpenes,Biologically Active Substance,D013729
36,Benzaldehydes,Organic Chemical,D001547
37,Eugenol,Pharmacologic Substance,D005054
38,Eugenol,Pharmacologic Substance,D005054
39,Eugenol,Organic Chemical,D005054
40,Eugenol,Organic Chemical,D005054
41,Eucalyptol,Pharmacologic Substance,D000077591
42,Eucalyptol,Pharmacologic Substance,D000077591
43,Eucalyptol,Organic Chemical,D000077591
44,Eucalyptol,Organic Chemical,D000077591
45,Menthol,Pharmacologic Substance,D008610
46,Menthol,Pharmacologic Substance,D008610
47,Menthol,Organic Chemical,D008610
48,Menthol,Organic Chemical,D008610
49,Onions,Plant,D019697
50,Onions,Plant,D019697
51,Onions,Food,D019697
52,Onions,Food,D019697
53,Garlic,Food,D005737
54,Horseradish Peroxidase,"Amino Acid, Peptide, or Protein",D006735
55,Horseradish Peroxidase,"Amino Acid, Peptide, or Protein",D006735
56,Horseradish Peroxidase,"Amino Acid, Peptide, or Protein",D006735
57,Horseradish Peroxidase,"Indicator, Reagent, or Diagnostic Aid",D006735
58,Horseradish Peroxidase,"Indicator, Reagent, or Diagnostic Aid",D006735
59,Horseradish Peroxidase,"Indicator, Reagent, or Diagnostic Aid",D006735
60,Horseradish Peroxidase,Enzyme,D006735
61,Horseradish Peroxidase,Enzyme,D006735
62,Horseradish Peroxidase,Enzyme,D006735
63,Mustard Plant,Plant,D009149
64,Mustard Plant,Plant,D009149
65,Mustard Plant,Food,D009149
66,Mustard Plant,Food,D009149
67,Ginger,Plant,D020939
