,Preferred Label,Semantic Types Label,mesh_id
0,"Fatigue Syndrome, Chronic",Disease or Syndrome,D015673
1,Migraine Disorders,Disease or Syndrome,D008881
2,Tension-Type Headache,Disease or Syndrome,D018781
3,Headache Disorders,Disease or Syndrome,D020773
4,Cluster Headache,Disease or Syndrome,D003027
5,"Headache Disorders, Primary",Disease or Syndrome,D051270
6,"Headache Disorders, Primary",Disease or Syndrome,D051270
7,"Headache Disorders, Primary",Finding,D051270
8,"Headache Disorders, Primary",Finding,D051270
9,"Headache Disorders, Secondary",Disease or Syndrome,D051271
10,Headache,Sign or Symptom,D006261
11,Test Anxiety Scale,Intellectual Product,D013732
12,Anti-Anxiety Agents,Pharmacologic Substance,D014151
13,Anti-Anxiety Agents,Pharmacologic Substance,D014151
14,Anti-Anxiety Agents,Physiologic Function,D014151
15,Anti-Anxiety Agents,Physiologic Function,D014151
25,Anxiety Disorders,Mental or Behavioral Dysfunction,D001008
26,"Anxiety, Separation",Mental or Behavioral Dysfunction,D001010
27,Dental Anxiety,Mental or Behavioral Dysfunction,D016854
28,"Depression, Postpartum",Mental or Behavioral Dysfunction,D019052
29,"Depression, Chemical",Mental or Behavioral Dysfunction,D003864
34,Long-Term Synaptic Depression,Organ or Tissue Function,D036881
35,Inbreeding Depression,Natural Phenomenon or Process,D000071422
36,Cortical Spreading Depression,Clinical Attribute,D013181
41,"Osteoporosis, Postmenopausal",Disease or Syndrome,D015663
43,Fanconi Anemia Complementation Group Proteins,"Amino Acid, Peptide, or Protein",D051856
44,Fanconi Anemia Complementation Group Proteins,"Amino Acid, Peptide, or Protein",D051856
45,Fanconi Anemia Complementation Group Proteins,Biologically Active Substance,D051856
46,Fanconi Anemia Complementation Group Proteins,Biologically Active Substance,D051856
47,Fanconi Anemia Complementation Group L Protein,"Amino Acid, Peptide, or Protein",D052240
48,Fanconi Anemia Complementation Group L Protein,"Amino Acid, Peptide, or Protein",D052240
49,Fanconi Anemia Complementation Group L Protein,Enzyme,D052240
50,Fanconi Anemia Complementation Group L Protein,Enzyme,D052240
51,Fanconi Anemia Complementation Group G Protein,"Amino Acid, Peptide, or Protein",D052241
52,Fanconi Anemia Complementation Group G Protein,"Amino Acid, Peptide, or Protein",D052241
53,Fanconi Anemia Complementation Group G Protein,Biologically Active Substance,D052241
54,Fanconi Anemia Complementation Group G Protein,Biologically Active Substance,D052241
55,Fanconi Anemia Complementation Group N Protein,"Amino Acid, Peptide, or Protein",D000076164
56,Fanconi Anemia Complementation Group N Protein,"Amino Acid, Peptide, or Protein",D000076164
57,Fanconi Anemia Complementation Group N Protein,Biologically Active Substance,D000076164
58,Fanconi Anemia Complementation Group N Protein,Biologically Active Substance,D000076164
59,Fanconi Anemia Complementation Group D2 Protein,"Amino Acid, Peptide, or Protein",D052236
60,Fanconi Anemia Complementation Group D2 Protein,"Amino Acid, Peptide, or Protein",D052236
61,Fanconi Anemia Complementation Group D2 Protein,Biologically Active Substance,D052236
62,Fanconi Anemia Complementation Group D2 Protein,Biologically Active Substance,D052236
63,Fanconi Anemia Complementation Group E Protein,"Amino Acid, Peptide, or Protein",D052239
64,Fanconi Anemia Complementation Group E Protein,"Amino Acid, Peptide, or Protein",D052239
65,Fanconi Anemia Complementation Group E Protein,Biologically Active Substance,D052239
66,Fanconi Anemia Complementation Group E Protein,Biologically Active Substance,D052239
67,Fanconi Anemia Complementation Group F Protein,"Amino Acid, Peptide, or Protein",D052219
68,Fanconi Anemia Complementation Group F Protein,"Amino Acid, Peptide, or Protein",D052219
69,Fanconi Anemia Complementation Group F Protein,Biologically Active Substance,D052219
70,Fanconi Anemia Complementation Group F Protein,Biologically Active Substance,D052219
