,Preferred Label,Semantic Types Label,mesh_id
0,Weight Reduction Programs,Health Care Activity,D061217
1,Vegetables,Food,D014675
2,Sugar-Sweetened Beverages,Food,D000080845
3,Sugar-Sweetened Beverages,Food,D000080845
4,Sucrose,Pharmacologic Substance,D013395
5,Sucrose,Pharmacologic Substance,D013395
6,Sucrose,Pharmacologic Substance,D013395
7,Sucrose,Organic Chemical,D013395
8,Sucrose,Organic Chemical,D013395
9,Sucrose,Organic Chemical,D013395
10,Sucrose,Biologically Active Substance,D013395
11,Sucrose,Biologically Active Substance,D013395
12,Sucrose,Biologically Active Substance,D013395
13,Dietary Sucrose,Food,D019422
14,Dietary Sucrose,Food,D019422
15,Dietary Sucrose,Food,D019422
16,Sports Nutritional Sciences,Biomedical Occupation or Discipline,D064132
17,Sports Nutritional Sciences,Biomedical Occupation or Discipline,D064132
18,Sports Nutritional Physiological Phenomena,Organism Function,D064133
19,Sports Nutritional Physiological Phenomena,Organism Function,D064133
20,"Sodium, Dietary",Food,D012982
21,"Sodium, Dietary",Food,D012982
22,Snacks,Food,D062410
23,Snacks,Food,D062410
24,Snacks,Food,D062410
25,Snacks,Temporal Concept,D062410
26,Snacks,Temporal Concept,D062410
27,Snacks,Temporal Concept,D062410
28,Snacks,Individual Behavior,D062410
29,Snacks,Individual Behavior,D062410
30,Snacks,Individual Behavior,D062410
31,Satiation,Mental Process,D012527
32,Probiotics,Bacterium,D019936
33,Plant Oils,Organic Chemical,D010938
34,Plant Oils,Organic Chemical,D010938
35,Plant Oils,Organic Chemical,D010938
36,Plant Oils,Biologically Active Substance,D010938
37,Plant Oils,Biologically Active Substance,D010938
38,Plant Oils,Biologically Active Substance,D010938
39,Plant Oils,Food,D010938
40,Plant Oils,Food,D010938
41,Plant Oils,Food,D010938
42,Nutritive Value,Qualitative Concept,D009753
43,Nutritional Sciences,Biomedical Occupation or Discipline,D052756
44,Milk Proteins,"Amino Acid, Peptide, or Protein",D008894
45,Milk Proteins,"Amino Acid, Peptide, or Protein",D008894
46,Milk Proteins,Biologically Active Substance,D008894
47,Milk Proteins,Biologically Active Substance,D008894
48,Milk Thistle,Plant,D020944
49,Soy Milk,Food,D041942
50,Cultured Milk Products,Food,D043302
51,Milk,Food,D008892
52,Milk,Food,D008892
53,Milk,Body Substance,D008892
54,Milk,Body Substance,D008892
55,Milk Hypersensitivity,Pathologic Function,D016269
56,"Milk, Human",Body Substance,D008895
57,Red Meat,Food,D000069466
58,Meat,Food,D008460
59,Meat Products,Food,D008461
60,Pork Meat,Food,D000080305
61,Infant Nutritional Physiological Phenomena,Therapeutic or Preventive Procedure,D007227
62,Infant Nutritional Physiological Phenomena,Therapeutic or Preventive Procedure,D007227
63,Infant Nutritional Physiological Phenomena,Organism Function,D007227
