,Preferred Label,Semantic Types Label,mesh_id
0,Physical Endurance,Temporal Concept,D010807
1,Nutrition Therapy,Therapeutic or Preventive Procedure,D044623
2,Nutrition Therapy,Therapeutic or Preventive Procedure,D044623
3,Nutrition Therapy,Health Care Activity,D044623
4,Nutrition Therapy,Health Care Activity,D044623
5,Nutrition Policy,Intellectual Product,D018673
6,Motor Activity,Daily or Recreational Activity,D009043
7,"Adipose Tissue, Brown",Tissue,D002001
8,"Adipose Tissue, Brown",Tissue,D002001
9,Waist-Hip Ratio,Organism Attribute,D049629
10,Satiation,Mental Process,D012527
11,Glycemic Load,Quantitative Concept,D000067940
12,Nutritional Physiological Phenomena,Organ or Tissue Function,D009747
13,Nutritional Physiological Phenomena,Organ or Tissue Function,D009747
14,Nutritional Physiological Phenomena,Physiologic Function,D009747
15,Nutritional Physiological Phenomena,Physiologic Function,D009747
16,Prenatal Nutritional Physiological Phenomena,Organism Function,D039401
17,Sports Nutritional Physiological Phenomena,Organism Function,D064133
18,Sports Nutritional Physiological Phenomena,Organism Function,D064133
19,Epidemiologic Research Design,Research Activity,D015340
20,Epidemiologic Methods,Research Activity,D004812
21,"Diet, Carbohydrate-Restricted",Therapeutic or Preventive Procedure,D050528
22,"Diet, Carbohydrate-Restricted",Therapeutic or Preventive Procedure,D050528
23,"Adipose Tissue, White",Tissue,D052436
24,"Adipose Tissue, White",Tissue,D052436
25,Life Style,Disease or Syndrome,D008019
26,Life Style,Disease or Syndrome,D008019
27,Life Style,Social Behavior,D008019
28,Life Style,Social Behavior,D008019
29,Impulsive Behavior,Mental or Behavioral Dysfunction,D007175
30,Aptitude,Mental Process,D001076
31,Aptitude,Mental Process,D001076
32,Aptitude,Organism Attribute,D001076
33,Aptitude,Organism Attribute,D001076
34,Weightlessness Simulation,Research Device,D018474
35,Weightlessness Simulation,Research Device,D018474
36,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
37,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
38,Weightlessness Simulation,Research Device,D018474
39,Weightlessness Simulation,Research Device,D018474
40,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
41,Weightlessness Simulation,Human-caused Phenomenon or Process,D018474
42,Weightlessness,Natural Phenomenon or Process,D014893
43,Gastrointestinal Microbiome,Bacterium,D000069196
44,Gastrointestinal Microbiome,Bacterium,D000069196
45,Gastrointestinal Microbiome,Organism,D000069196
46,Gastrointestinal Microbiome,Organism,D000069196
47,Metabolome,Natural Phenomenon or Process,D055442
48,Metabolome,Natural Phenomenon or Process,D055442
49,Metabolome,Physiologic Function,D055442
50,Metabolome,Physiologic Function,D055442
51,Dietary Sucrose,Food,D019422
52,Dietary Sucrose,Food,D019422
53,Dietary Approaches To Stop Hypertension,Therapeutic or Preventive Procedure,D000073601
54,Dietary Approaches To Stop Hypertension,Therapeutic or Preventive Procedure,D000073601
55,Dietary Approaches To Stop Hypertension,Therapeutic or Preventive Procedure,D000073601
56,"Diet, Protein-Restricted",Therapeutic or Preventive Procedure,D018753
57,"Diet, Protein-Restricted",Therapeutic or Preventive Procedure,D018753
58,"Diet, High-Fat",Therapeutic or Preventive Procedure,D059305
59,"Diet, High-Fat",Therapeutic or Preventive Procedure,D059305
60,Energy Metabolism,Physiologic Function,D004734
61,Energy Metabolism,Physiologic Function,D004734
62,Energy Metabolism,Organism Function,D004734
63,Energy Metabolism,Organism Function,D004734
64,Nutrigenomics,Biomedical Occupation or Discipline,D054647
65,Metabolic Networks and Pathways,Molecular Function,D053858
66,Metabolic Networks and Pathways,Molecular Function,D053858
67,Metabolic Networks and Pathways,Functional Concept,D053858
68,Metabolic Networks and Pathways,Functional Concept,D053858
69,Adipogenesis,Molecular Function,D050156
70,Diet Records,Intellectual Product,D015930
71,Diet Records,Intellectual Product,D015930
72,Feeding and Eating Disorders,Disease or Syndrome,D001068
73,Feeding and Eating Disorders,Disease or Syndrome,D001068
74,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
75,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
76,Feeding and Eating Disorders,Disease or Syndrome,D001068
77,Feeding and Eating Disorders,Disease or Syndrome,D001068
78,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
79,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
80,Feeding and Eating Disorders,Disease or Syndrome,D001068
81,Feeding and Eating Disorders,Disease or Syndrome,D001068
82,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
83,Feeding and Eating Disorders,Mental or Behavioral Dysfunction,D001068
85,Pediatric Obesity,Disease or Syndrome,D063766
86,Pediatric Obesity,Disease or Syndrome,D063766
87,Pediatric Obesity,Finding,D063766
88,Pediatric Obesity,Finding,D063766
89,Pediatric Obesity,Disease or Syndrome,D063766
90,Pediatric Obesity,Disease or Syndrome,D063766
91,Pediatric Obesity,Finding,D063766
92,Pediatric Obesity,Finding,D063766
93,"Stress, Psychological",Mental or Behavioral Dysfunction,D013315
94,"Depression, Postpartum",Mental or Behavioral Dysfunction,D019052
95,"Depression, Chemical",Mental or Behavioral Dysfunction,D003864
96,Depression,Mental or Behavioral Dysfunction,D003863
97,Depression,Mental or Behavioral Dysfunction,D003863
98,Depression,Sign or Symptom,D003863
99,Depression,Sign or Symptom,D003863
100,Long-Term Synaptic Depression,Organ or Tissue Function,D036881
101,Inbreeding Depression,Natural Phenomenon or Process,D000071422
102,Cortical Spreading Depression,Clinical Attribute,D013181
103,Mental Health Recovery,Therapeutic or Preventive Procedure,D000073038
104,Mental Health Recovery,Therapeutic or Preventive Procedure,D000073038
105,Mental Health,Mental Process,D008603
106,Mental Health,Mental Process,D008603
107,Community Mental Health Centers,Manufactured Object,D003155
108,Community Mental Health Centers,Manufactured Object,D003155
109,Community Mental Health Centers,Health Care Related Organization,D003155
110,Community Mental Health Centers,Health Care Related Organization,D003155
111,Community Mental Health Centers,Manufactured Object,D003155
112,Community Mental Health Centers,Manufactured Object,D003155
113,Community Mental Health Centers,Health Care Related Organization,D003155
114,Community Mental Health Centers,Health Care Related Organization,D003155
115,Quality of Life,Idea or Concept,D011788
116,Healthy People Programs,Intellectual Product,D040361
117,Healthy People Programs,Intellectual Product,D040361
118,Healthy People Programs,Health Care Activity,D040361
119,Healthy People Programs,Health Care Activity,D040361
120,Health Care Surveys,Intellectual Product,D019538
121,Health Care Surveys,Intellectual Product,D019538
122,Health Care Surveys,Intellectual Product,D019538
123,Health Care Surveys,Research Activity,D019538
124,Health Care Surveys,Research Activity,D019538
125,Health Care Surveys,Research Activity,D019538
126,Health Care Surveys,Health Care Activity,D019538
127,Health Care Surveys,Health Care Activity,D019538
128,Health Care Surveys,Health Care Activity,D019538
129,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
130,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
131,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
132,"Diet, Healthy",Finding,D000072001
133,"Diet, Healthy",Finding,D000072001
134,"Diet, Healthy",Finding,D000072001
135,"Diet, Healthy",Individual Behavior,D000072001
136,"Diet, Healthy",Individual Behavior,D000072001
137,"Diet, Healthy",Individual Behavior,D000072001
138,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
139,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
140,"Diet, Healthy",Therapeutic or Preventive Procedure,D000072001
141,"Diet, Healthy",Finding,D000072001
142,"Diet, Healthy",Finding,D000072001
143,"Diet, Healthy",Finding,D000072001
144,"Diet, Healthy",Individual Behavior,D000072001
145,"Diet, Healthy",Individual Behavior,D000072001
146,"Diet, Healthy",Individual Behavior,D000072001
147,"Catchment Area, Health",Geographic Area,D002391
148,Oral Health,Finding,D009909
149,Family Health,Finding,D005192
150,"Insurance, Health, Reimbursement",Health Care Related Organization,D007349
151,"Insurance, Health, Reimbursement",Health Care Related Organization,D007349
152,"Insurance, Health, Reimbursement",Health Care Activity,D007349
153,"Insurance, Health, Reimbursement",Health Care Activity,D007349
154,"Quality Indicators, Health Care",Qualitative Concept,D019984
155,"Quality Indicators, Health Care",Qualitative Concept,D019984
156,"Quality Indicators, Health Care",Quantitative Concept,D019984
157,"Quality Indicators, Health Care",Quantitative Concept,D019984
158,Access to Healthy Foods,Qualitative Concept,D000091483
159,"Near Miss, Healthcare",Qualitative Concept,D000067491
160,"Quality Assurance, Health Care",Qualitative Concept,D011785
161,Healthcare Disparities,Qualitative Concept,D054625
162,Health,Qualitative Concept,D006262
163,Health,Qualitative Concept,D006262
164,Health,Idea or Concept,D006262
165,Health,Idea or Concept,D006262
166,"Outcome Assessment, Health Care",Research Activity,D017063
167,"Outcome Assessment, Health Care",Research Activity,D017063
168,"Outcome Assessment, Health Care",Research Activity,D017063
169,"Outcome Assessment, Health Care",Quantitative Concept,D017063
170,"Outcome Assessment, Health Care",Quantitative Concept,D017063
171,"Outcome Assessment, Health Care",Quantitative Concept,D017063
172,"Outcome Assessment, Health Care",Occupational Activity,D017063
173,"Outcome Assessment, Health Care",Occupational Activity,D017063
174,"Outcome Assessment, Health Care",Occupational Activity,D017063
