,Preferred Label,Semantic Types Label,mesh_id
0,Superoxide Dismutase-1,"Amino Acid, Peptide, or Protein",D000072105
1,Superoxide Dismutase-1,"Amino Acid, Peptide, or Protein",D000072105
2,Superoxide Dismutase-1,Enzyme,D000072105
3,Superoxide Dismutase-1,Enzyme,D000072105
4,Superoxide Dismutase-1,"Amino Acid, Peptide, or Protein",D000072105
5,Superoxide Dismutase-1,"Amino Acid, Peptide, or Protein",D000072105
6,Superoxide Dismutase-1,Enzyme,D000072105
7,Superoxide Dismutase-1,Enzyme,D000072105
8,Reactive Nitrogen Species,Inorganic Chemical,D026361
9,C-Reactive Protein,"Amino Acid, Peptide, or Protein",D002097
10,C-Reactive Protein,"Amino Acid, Peptide, or Protein",D002097
11,C-Reactive Protein,Immunologic Factor,D002097
12,C-Reactive Protein,Immunologic Factor,D002097
13,Tumor Necrosis Factor-alpha,"Amino Acid, Peptide, or Protein",D014409
14,Tumor Necrosis Factor-alpha,"Amino Acid, Peptide, or Protein",D014409
15,Tumor Necrosis Factor-alpha,Immunologic Factor,D014409
16,Tumor Necrosis Factor-alpha,Immunologic Factor,D014409
17,Inflammation Mediators,Pharmacologic Substance,D018836
18,Neurogenic Inflammation,Injury or Poisoning,D020078
19,Inflammation,Pathologic Function,D007249
20,DNA Damage,Cell or Molecular Dysfunction,D004249
21,Receptor for Advanced Glycation End Products,"Amino Acid, Peptide, or Protein",D000067759
22,Receptor for Advanced Glycation End Products,"Amino Acid, Peptide, or Protein",D000067759
23,Receptor for Advanced Glycation End Products,Receptor,D000067759
24,Receptor for Advanced Glycation End Products,Receptor,D000067759
25,Protein Carbonylation,Molecular Function,D050050
26,"Receptors, Oxidized LDL","Amino Acid, Peptide, or Protein",D051131
27,"Receptors, Oxidized LDL","Amino Acid, Peptide, or Protein",D051131
28,"Receptors, Oxidized LDL",Receptor,D051131
29,"Receptors, Oxidized LDL",Receptor,D051131
30,Isoprostanes,Organic Chemical,D028421
31,Isoprostanes,Organic Chemical,D028421
32,Isoprostanes,Biologically Active Substance,D028421
33,Isoprostanes,Biologically Active Substance,D028421
34,F2-Isoprostanes,Organic Chemical,D028441
35,F2-Isoprostanes,Organic Chemical,D028441
36,F2-Isoprostanes,Biologically Active Substance,D028441
37,F2-Isoprostanes,Biologically Active Substance,D028441
38,Malondialdehyde,Organic Chemical,D008315
39,Malondialdehyde,Organic Chemical,D008315
40,Malondialdehyde,Biologically Active Substance,D008315
41,Malondialdehyde,Biologically Active Substance,D008315
42,Lipid Peroxidation,Molecular Function,D015227
43,Peroxynitrous Acid,Biologically Active Substance,D030421
44,Peroxynitrous Acid,Biologically Active Substance,D030421
45,Peroxynitrous Acid,Inorganic Chemical,D030421
46,Peroxynitrous Acid,Inorganic Chemical,D030421
47,Nitric Oxide,Pharmacologic Substance,D009569
48,Nitric Oxide,Pharmacologic Substance,D009569
49,Nitric Oxide,Inorganic Chemical,D009569
50,Nitric Oxide,Inorganic Chemical,D009569
51,Nitric Oxide Donors,Pharmacologic Substance,D020030
52,Nitric Oxide Synthase Type I,"Amino Acid, Peptide, or Protein",D052248
53,Nitric Oxide Synthase Type I,"Amino Acid, Peptide, or Protein",D052248
54,Nitric Oxide Synthase Type I,Enzyme,D052248
55,Nitric Oxide Synthase Type I,Enzyme,D052248
56,Nitric Oxide Synthase Type II,"Amino Acid, Peptide, or Protein",D052247
57,Nitric Oxide Synthase Type II,"Amino Acid, Peptide, or Protein",D052247
58,Nitric Oxide Synthase Type II,Enzyme,D052247
59,Nitric Oxide Synthase Type II,Enzyme,D052247
60,Nitric Oxide Synthase,"Amino Acid, Peptide, or Protein",D019001
61,Nitric Oxide Synthase,"Amino Acid, Peptide, or Protein",D019001
62,Nitric Oxide Synthase,Enzyme,D019001
63,Nitric Oxide Synthase,Enzyme,D019001
64,Nitric Oxide Synthase Type III,"Amino Acid, Peptide, or Protein",D052250
65,Nitric Oxide Synthase Type III,"Amino Acid, Peptide, or Protein",D052250
66,Nitric Oxide Synthase Type III,Enzyme,D052250
67,Nitric Oxide Synthase Type III,Enzyme,D052250
68,Hydroxyl Radical,Inorganic Chemical,D017665
69,Superoxides,Pharmacologic Substance,D013481
70,Superoxides,Pharmacologic Substance,D013481
71,Superoxides,Organic Chemical,D013481
72,Superoxides,Organic Chemical,D013481
73,Hydrogen Peroxide,Pharmacologic Substance,D006861
74,Hydrogen Peroxide,Pharmacologic Substance,D006861
75,Hydrogen Peroxide,Pharmacologic Substance,D006861
76,Hydrogen Peroxide,"Indicator, Reagent, or Diagnostic Aid",D006861
77,Hydrogen Peroxide,"Indicator, Reagent, or Diagnostic Aid",D006861
78,Hydrogen Peroxide,"Indicator, Reagent, or Diagnostic Aid",D006861
79,Hydrogen Peroxide,Inorganic Chemical,D006861
80,Hydrogen Peroxide,Inorganic Chemical,D006861
81,Hydrogen Peroxide,Inorganic Chemical,D006861
82,Free Radicals,Inorganic Chemical,D005609
83,Reactive Oxygen Species,Biologically Active Substance,D017382
84,Reactive Oxygen Species,Biologically Active Substance,D017382
85,Reactive Oxygen Species,"Element, Ion, or Isotope",D017382
86,Reactive Oxygen Species,"Element, Ion, or Isotope",D017382
87,Glutathione Peroxidase,"Amino Acid, Peptide, or Protein",D005979
88,Glutathione Peroxidase,"Amino Acid, Peptide, or Protein",D005979
89,Glutathione Peroxidase,Enzyme,D005979
90,Glutathione Peroxidase,Enzyme,D005979
