,Preferred Label,Semantic Types Label,mesh_id
0,Menkes Kinky Hair Syndrome,Disease or Syndrome,D007706
1,Maple Syrup Urine Disease,Disease or Syndrome,D008375
2,Malabsorption Syndromes,Disease or Syndrome,D008286
3,Magnesium Deficiency,Disease or Syndrome,D008275
4,"Hypophosphatemia, Familial",Disease or Syndrome,D007015
5,"Hypophosphatemia, Familial",Disease or Syndrome,D007015
6,Hypophosphatasia,Disease or Syndrome,D007014
7,Hypervitaminosis A,Disease or Syndrome,D006986
8,Hyperhomocysteinemia,Disease or Syndrome,D020138
9,Homocystinuria,Disease or Syndrome,D006712
10,"Hemoglobinuria, Paroxysmal",Disease or Syndrome,D006457
11,Hartnup Disease,Disease or Syndrome,D006250
12,Glucosephosphate Dehydrogenase Deficiency,Disease or Syndrome,D005955
13,Mannosidase Deficiency Diseases,Disease or Syndrome,D044904
14,Deficiency Diseases,Disease or Syndrome,D003677
15,Hereditary Complement Deficiency Diseases,Disease or Syndrome,D000081208
16,Copper-Transporting ATPases,"Amino Acid, Peptide, or Protein",D000073840
17,Copper-Transporting ATPases,"Amino Acid, Peptide, or Protein",D000073840
18,Copper-Transporting ATPases,Enzyme,D000073840
19,Copper-Transporting ATPases,Enzyme,D000073840
20,"Blindness, Cortical",Disease or Syndrome,D019575
21,Biotinidase Deficiency,Disease or Syndrome,D028921
22,Biotinidase Deficiency,Disease or Syndrome,D028921
23,Avitaminosis,Disease or Syndrome,D001361
24,"Anemia, Sideroblastic",Disease or Syndrome,D000756
25,"Anemia, Pernicious",Disease or Syndrome,D000752
26,"Anemia, Megaloblastic",Disease or Syndrome,D000749
27,"Anemia, Iron-Deficiency",Disease or Syndrome,D018798
28,Silicon Dioxide,Inorganic Chemical,D012822
29,Borates,Chemical Viewed Structurally,D001881
30,Fluorides,Pharmacologic Substance,D005459
31,Fluorides,Pharmacologic Substance,D005459
32,Fluorides,Inorganic Chemical,D005459
33,Fluorides,Inorganic Chemical,D005459
34,Manganese Compounds,Inorganic Chemical,D017895
35,Magnesium Compounds,Inorganic Chemical,D017616
36,Selenium Compounds,Inorganic Chemical,D018036
37,Iron Compounds,Chemical Viewed Structurally,D058085
38,Zinc Compounds,Inorganic Chemical,D017967
39,Choline Deficiency,Disease or Syndrome,D002796
40,Choline Deficiency,Disease or Syndrome,D002796
41,Thiamine Deficiency,Disease or Syndrome,D013832
42,Thiamine Deficiency,Disease or Syndrome,D013832
43,Riboflavin Deficiency,Disease or Syndrome,D012257
44,Riboflavin Deficiency,Disease or Syndrome,D012257
45,Protein-Energy Malnutrition,Disease or Syndrome,D011502
46,Protein-Energy Malnutrition,Disease or Syndrome,D011502
47,Protein-Energy Malnutrition,Pathologic Function,D011502
48,Protein-Energy Malnutrition,Pathologic Function,D011502
49,Protein-Energy Malnutrition,Disease or Syndrome,D011502
50,Protein-Energy Malnutrition,Disease or Syndrome,D011502
51,Protein-Energy Malnutrition,Pathologic Function,D011502
52,Protein-Energy Malnutrition,Pathologic Function,D011502
53,Lipid Metabolism Disorders,Disease or Syndrome,D052439
54,Phosphorus Metabolism Disorders,Disease or Syndrome,D010760
55,Iron Metabolism Disorders,Disease or Syndrome,D019189
56,Calcium Metabolism Disorders,Disease or Syndrome,D002128
57,"Creatine Kinase, BB Form","Amino Acid, Peptide, or Protein",D052276
58,"Creatine Kinase, BB Form","Amino Acid, Peptide, or Protein",D052276
59,"Creatine Kinase, BB Form",Enzyme,D052276
60,"Creatine Kinase, BB Form",Enzyme,D052276
61,"Creatine Kinase, MB Form","Amino Acid, Peptide, or Protein",D052279
62,"Creatine Kinase, MB Form","Amino Acid, Peptide, or Protein",D052279
63,"Creatine Kinase, MB Form",Enzyme,D052279
64,"Creatine Kinase, MB Form",Enzyme,D052279
65,Creatine,"Amino Acid, Peptide, or Protein",D003401
66,Creatine,"Amino Acid, Peptide, or Protein",D003401
67,Creatine,Biologically Active Substance,D003401
68,Creatine,Biologically Active Substance,D003401
69,Creatine Kinase,"Amino Acid, Peptide, or Protein",D003402
70,Creatine Kinase,"Amino Acid, Peptide, or Protein",D003402
71,Creatine Kinase,Enzyme,D003402
72,Creatine Kinase,Enzyme,D003402
73,"Creatine Kinase, Mitochondrial Form","Amino Acid, Peptide, or Protein",D052281
74,"Creatine Kinase, Mitochondrial Form","Amino Acid, Peptide, or Protein",D052281
75,"Creatine Kinase, Mitochondrial Form",Enzyme,D052281
76,"Creatine Kinase, Mitochondrial Form",Enzyme,D052281
77,"Creatine Kinase, MM Form","Amino Acid, Peptide, or Protein",D052283
78,"Creatine Kinase, MM Form","Amino Acid, Peptide, or Protein",D052283
79,"Creatine Kinase, MM Form",Enzyme,D052283
80,"Creatine Kinase, MM Form",Enzyme,D052283
81,Glutathione,Pharmacologic Substance,D005978
82,Glutathione,Pharmacologic Substance,D005978
83,Glutathione,Pharmacologic Substance,D005978
84,Glutathione,Pharmacologic Substance,D005978
85,Glutathione,"Amino Acid, Peptide, or Protein",D005978
86,Glutathione,"Amino Acid, Peptide, or Protein",D005978
87,Glutathione,"Amino Acid, Peptide, or Protein",D005978
88,Glutathione,"Amino Acid, Peptide, or Protein",D005978
89,Glutathione,Biologically Active Substance,D005978
90,Glutathione,Biologically Active Substance,D005978
91,Glutathione,Biologically Active Substance,D005978
92,Glutathione,Biologically Active Substance,D005978
93,Glutathione,Laboratory or Test Result,D005978
94,Glutathione,Laboratory or Test Result,D005978
95,Glutathione,Laboratory or Test Result,D005978
96,Glutathione,Laboratory or Test Result,D005978
97,Glutathione Disulfide,Pharmacologic Substance,D019803
98,Glutathione Disulfide,Pharmacologic Substance,D019803
99,Glutathione Disulfide,Pharmacologic Substance,D019803
100,Glutathione Disulfide,"Amino Acid, Peptide, or Protein",D019803
101,Glutathione Disulfide,"Amino Acid, Peptide, or Protein",D019803
102,Glutathione Disulfide,"Amino Acid, Peptide, or Protein",D019803
103,Glutathione Disulfide,Biologically Active Substance,D019803
104,Glutathione Disulfide,Biologically Active Substance,D019803
105,Glutathione Disulfide,Biologically Active Substance,D019803
106,Glutathione Peroxidase,"Amino Acid, Peptide, or Protein",D005979
107,Glutathione Peroxidase,"Amino Acid, Peptide, or Protein",D005979
108,Glutathione Peroxidase,Enzyme,D005979
109,Glutathione Peroxidase,Enzyme,D005979
