,Preferred Label,Semantic Types Label,mesh_id
0,Cytochrome P-450 CYP1A2 Inhibitors,Pharmacologic Substance,D065609
1,Cytochrome P-450 CYP1A2 Inhibitors,Pharmacologic Substance,D065609
2,Cytochrome P-450 CYP1A2 Inhibitors,Pharmacologic Substance,D065609
3,Cytochrome P-450 CYP1A2 Inducers,Pharmacologic Substance,D065694
4,Cytochrome P-450 CYP1A2 Inducers,Pharmacologic Substance,D065694
5,Cytochrome P-450 CYP1A2 Inducers,Pharmacologic Substance,D065694
6,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
7,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
8,Cytochrome P-450 CYP1A2,Enzyme,D019388
9,Cytochrome P-450 CYP1A2,Enzyme,D019388
10,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
11,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
12,Cytochrome P-450 CYP1A2,Enzyme,D019388
13,Cytochrome P-450 CYP1A2,Enzyme,D019388
14,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
15,Cytochrome P-450 CYP1A2,"Amino Acid, Peptide, or Protein",D019388
16,Cytochrome P-450 CYP1A2,Enzyme,D019388
17,Cytochrome P-450 CYP1A2,Enzyme,D019388
18,"Radiation, Ionizing",Natural Phenomenon or Process,D011839
19,Food Additives,Food,D005503
20,Pesticides,Hazardous or Poisonous Substance,D010575
21,"Air Pollutants, Radioactive",Hazardous or Poisonous Substance,D000396
22,"Air Pollutants, Occupational",Hazardous or Poisonous Substance,D000395
23,Air Pollutants,Hazardous or Poisonous Substance,D000393
24,Soil Pollutants,Hazardous or Poisonous Substance,D012989
25,"Soil Pollutants, Radioactive",Hazardous or Poisonous Substance,D012990
26,"Water Pollutants, Chemical",Hazardous or Poisonous Substance,D014874
27,Environmental Pollutants,Hazardous or Poisonous Substance,D004785
28,"Toxicity Tests, Acute",Diagnostic Procedure,D023382
29,"Toxicity Tests, Acute",Diagnostic Procedure,D023382
30,"Toxicity Tests, Acute",Diagnostic Procedure,D023382
31,Toxicogenetics,Biomedical Occupation or Discipline,D043922
32,Polypharmacy,Therapeutic or Preventive Procedure,D019338
33,Liver Transplantation,Therapeutic or Preventive Procedure,D016031
34,Liver Transplantation,Therapeutic or Preventive Procedure,D016031
