,Preferred Label,Semantic Types Label,mesh_id
0,Egg Proteins,"Amino Acid, Peptide, or Protein",D004527
1,Egg Proteins,"Amino Acid, Peptide, or Protein",D004527
2,Egg Proteins,Biologically Active Substance,D004527
3,Egg Proteins,Biologically Active Substance,D004527
4,Fallopian Tubes,"Body Part, Organ, or Organ Component",D005187
5,Cryoprotective Agents,Pharmacologic Substance,D003451
6,Cryoprotective Agents,Pharmacologic Substance,D003451
7,Cryoprotective Agents,Physiologic Function,D003451
8,Cryoprotective Agents,Physiologic Function,D003451
9,Ovulation Prediction,Diagnostic Procedure,D044384
10,Ovulation Prediction,Diagnostic Procedure,D044384
11,"Fertility Agents, Female",Pharmacologic Substance,D005300
12,"Fertility Agents, Female",Pharmacologic Substance,D005300
13,"Fertility Agents, Male",Pharmacologic Substance,D005303
14,"Fertility Agents, Male",Pharmacologic Substance,D005303
15,Epididymis,"Body Part, Organ, or Organ Component",D004822
16,Sperm Tail,Cell Component,D013082
17,Sperm Head,Cell Component,D013077
18,"Pregnancy, Tubal",Pathologic Function,D011274
19,"Pregnancy, Tubal",Pathologic Function,D011274
20,Sperm Retrieval,Therapeutic or Preventive Procedure,D053625
21,Sperm Retrieval,Therapeutic or Preventive Procedure,D053625
22,Sperm Retrieval,Health Care Activity,D053625
23,Sperm Retrieval,Health Care Activity,D053625
24,Reproduction,Quantitative Concept,D012098
25,Reproduction,Quantitative Concept,D012098
26,Reproduction,Quantitative Concept,D012098
27,Reproduction,Temporal Concept,D012098
28,Reproduction,Temporal Concept,D012098
29,Reproduction,Temporal Concept,D012098
30,Reproduction,Organism Function,D012098
31,Reproduction,Organism Function,D012098
32,Reproduction,Organism Function,D012098
33,Basic Reproduction Number,Quantitative Concept,D050936
34,"Reproduction, Asexual",Organism Function,D012100
35,Polycystic Ovary Syndrome,Disease or Syndrome,D011085
36,Polycystic Ovary Syndrome,Disease or Syndrome,D011085
37,Ovary,"Body Part, Organ, or Organ Component",D010053
38,Follicular Atresia,Organ or Tissue Function,D005496
39,Blastomeres,Embryonic Structure,D001757
40,Sperm Maturation,Organ or Tissue Function,D013079
41,Sperm Count,Finding,D013076
42,Sperm Count,Finding,D013076
43,Sperm Count,Laboratory Procedure,D013076
44,Sperm Count,Laboratory Procedure,D013076
45,Sperm Capacitation,Cell Function,D013075
46,Semen Preservation,Laboratory Procedure,D012662
47,Semen Preservation,Laboratory Procedure,D012662
48,Semen Preservation,Laboratory Procedure,D012662
49,Semen Preservation,Health Care Activity,D012662
50,Semen Preservation,Health Care Activity,D012662
51,Semen Preservation,Health Care Activity,D012662
52,Semen Preservation,Body Substance,D012662
53,Semen Preservation,Body Substance,D012662
54,Semen Preservation,Body Substance,D012662
55,Semen Preservation,Laboratory Procedure,D012662
56,Semen Preservation,Laboratory Procedure,D012662
57,Semen Preservation,Laboratory Procedure,D012662
58,Semen Preservation,Health Care Activity,D012662
59,Semen Preservation,Health Care Activity,D012662
60,Semen Preservation,Health Care Activity,D012662
61,Semen Preservation,Body Substance,D012662
62,Semen Preservation,Body Substance,D012662
63,Semen Preservation,Body Substance,D012662
64,Semen Analysis,Laboratory Procedure,D055101
65,Semen Analysis,Laboratory Procedure,D055101
66,Semen,Body Substance,D012661
67,Embryo Loss,Pathologic Function,D020964
68,Embryo Loss,Pathologic Function,D020964
69,Embryo Loss,Organism Function,D020964
70,Embryo Loss,Organism Function,D020964
71,Embryo Loss,Pathologic Function,D020964
72,Embryo Loss,Pathologic Function,D020964
73,Embryo Loss,Organism Function,D020964
74,Embryo Loss,Organism Function,D020964
75,Zona Pellucida Glycoproteins,"Amino Acid, Peptide, or Protein",D000072216
76,Zona Pellucida Glycoproteins,"Amino Acid, Peptide, or Protein",D000072216
77,Zona Pellucida Glycoproteins,Biologically Active Substance,D000072216
78,Zona Pellucida Glycoproteins,Biologically Active Substance,D000072216
79,Zona Pellucida,Cell Component,D015044
80,Egg Yolk,Food,D004530
81,"Cleavage Stage, Ovum",Embryonic Structure,D002970
82,Blastocystis Infections,Disease or Syndrome,D016776
83,Blastocystis,Eukaryote,D016844
84,Blastocyst Inner Cell Mass,Cell,D053624
85,Blastocyst,Embryonic Structure,D001755
86,Follicle Stimulating Hormone,Pharmacologic Substance,D005640
87,Follicle Stimulating Hormone,Pharmacologic Substance,D005640
88,Follicle Stimulating Hormone,Pharmacologic Substance,D005640
89,Follicle Stimulating Hormone,"Amino Acid, Peptide, or Protein",D005640
90,Follicle Stimulating Hormone,"Amino Acid, Peptide, or Protein",D005640
91,Follicle Stimulating Hormone,"Amino Acid, Peptide, or Protein",D005640
92,Follicle Stimulating Hormone,Hormone,D005640
93,Follicle Stimulating Hormone,Hormone,D005640
94,Follicle Stimulating Hormone,Hormone,D005640
95,"Follicle Stimulating Hormone, beta Subunit",Pharmacologic Substance,D037201
96,"Follicle Stimulating Hormone, beta Subunit",Pharmacologic Substance,D037201
97,"Follicle Stimulating Hormone, beta Subunit",Pharmacologic Substance,D037201
98,"Follicle Stimulating Hormone, beta Subunit","Amino Acid, Peptide, or Protein",D037201
99,"Follicle Stimulating Hormone, beta Subunit","Amino Acid, Peptide, or Protein",D037201
