,topic_terms
0,oral allergy syndrome
1,food hypersensitivity
2,hypersensitivity
3,peanut hypersensitivity
4,milk hypersensitivity
5,egg hypersensitivity
6,wheat hypersensitivity
7,soybean hypersensitivity
8,fish hypersensitivity
9,shellfish hypersensitivity
10,tree nut hypersensitivity
11,sesame seed hypersensitivity
12,mustard plant hypersensitivity
13,kiwi fruit hypersensitivity
14,banana hypersensitivity
15,allergens
16,immunoglobulin e
18,food allergy
19,anaphylaxis
20,eosinophilic esophagitis
21,celiac disease
33,latex hypersensitivity
36,skin tests
37,patch tests
38,radioallergosorbent test
39,basophil activation test
40,oral food challenge test
41,elimination diet
42,immunotherapy
43,epinephrine
44,antihistamines
45,corticosteroids
46,leukotriene antagonists
47,omalizumab
48,"desensitization, immunologic"
49,probiotics
50,prebiotics
51,synbiotics
52,gastrointestinal microbiome
53,anti-inflammatory agents
54,gluten-free diet
55,mast cells
56,eosinophils
57,basophils
58,t-lymphocytes
59,b-lymphocytes
60,cytokines
61,chemokines
62,immunoglobulin g
63,immunoglobulin a
64,immunoglobulin m
65,immunoglobulin d
66,mastocytosis
67,eosinophilic gastroenteritis
68,eosinophilic colitis
69,eosinophilic gastritis
