,topic_terms
0,obesity
1,overweight
2,body weight
3,weight gain
4,weight loss
5,body mass index
6,waist circumference
7,adiposity
8,abdominal fat
9,visceral fat
10,subcutaneous fat
11,body composition
13,energy intake
14,energy expenditure
15,basal metabolism
16,physical fitness
17,exercise
18,diet
19,eating
20,appetite
21,satiety
22,binge eating
23,feeding behavior
24,food preferences
25,nutritional status
26,caloric restriction
27,dietary fats
28,dietary carbohydrates
29,dietary proteins
30,dietary fiber
31,glycemic index
32,insulin resistance
33,leptin
34,ghrelin
35,peptide yy
36,hunger
37,metabolic syndrome
38,cardiovascular diseases
39,type 2 diabetes mellitus
40,hypertension
41,dyslipidemias
42,nonalcoholic fatty liver disease
43,"sleep apnea, obstructive"
44,polycystic ovary syndrome
45,bariatric surgery
46,anti-obesity agents
47,weight reduction programs
48,lifestyle modification
49,behavior therapy
50,cognitive therapy
52,diet therapy
53,physical therapy modalities
54,exercise therapy
56,"diet, reducing"
57,weight loss maintenance
58,weight loss interventions
59,weight loss programs
60,dietary supplements
61,meal replacement
62,nutrition assessment
63,metabolomics
64,gene expression profiling
65,genome-wide association study
66,"polymorphism, single nucleotide"
67,epigenomics
68,microbiota
69,gut microbiota
70,metagenomics
71,"obesity, abdominal"
72,"obesity, morbid"
74,"diet, mediterranean"
75,physical education and training
76,weight-bearing
77,walking
78,resistance training
79,physical exertion
80,cardiorespiratory fitness
81,metabolic equivalent
82,body size
83,sedentary behavior
84,weight stigma
85,weight perception
86,weight control
87,weight cycling
88,healthy lifestyle
89,childhood obesity
90,adolescent obesity
91,obesity in women
92,obesity in men
93,"obesity, metabolically benign"
94,bulimia nervosa
95,anorexia nervosa
96,eating disorders
97,food labeling
98,healthy diet
99,preventive health services
100,public health
101,health promotion
102,health education
103,primary prevention
104,secondary prevention
105,tertiary prevention
106,risk factors
107,obesity paradox
108,adipose tissue
109,white adipose tissue
110,brown adipose tissue
111,adipokines
112,inflammation
113,insulin
114,insulin sensitivity
115,insulin secretion
116,glucose metabolism disorders
117,intra-abdominal fat
118,physical activity
119,leisure activities
120,occupational health
121,sports
122,health behavior
123,body image
124,weight loss products
125,health surveys
126,risk reduction behavior
127,body height
128,metabolic diseases
129,metabolic syndrome x
130,"diabetes mellitus, type 2"
131,health
132,health status
133,wellness programs
134,quality of life
135,mental health
136,depression
137,"stress, psychological"
138,pregnancy complications
139,maternal obesity
140,pediatric obesity
141,public health surveillance
142,genetic predisposition to disease
143,feeding and eating disorders
144,diet records
145,infant nutritional physiological phenomena
146,adipogenesis
147,metabolic networks and pathways
148,nutrigenomics
149,energy metabolism
150,"diet, high-fat"
152,"diet, protein-restricted"
153,dietary approaches to stop hypertension
154,dietary sucrose
156,metabolome
158,microbiome
160,nutrigenetics
161,weightlessness
162,weightlessness countermeasures
163,weightlessness simulation
164,aptitude
165,impulsive behavior
166,life style
167,sleep
168,social support
169,"adipose tissue, white"
170,"diet, carbohydrate-restricted"
171,epidemiologic methods
172,epidemiologic research design
173,intervention studies
174,nutritional physiological phenomena
175,weight-bearing exercise
176,glycemic load
177,satiation
178,waist-hip ratio
179,"adipose tissue, brown"
181,motor activity
182,obesity hypoventilation syndrome
191,nutrition policy
192,nutrition therapy
196,physical endurance
