,topic_terms
0,vitamin a
1,vitamin a deficiency
2,vitamin b 12
3,vitamin b 12 deficiency
4,vitamin b 6
5,vitamin b 6 deficiency
6,vitamin b complex
7,vitamin b deficiency
8,vitamin c
9,vitamin c deficiency
10,vitamin d
11,vitamin d deficiency
12,vitamin e
13,vitamin e deficiency
14,vitamin k
15,vitamin k deficiency
16,vitamins
17,ascorbic acid
18,biotin
19,calcifediol
20,calcitriol
21,cholecalciferol
22,cobamides
23,ergocalciferols
24,folic acid
25,niacin
26,niacinamide
27,pantothenic acid
28,pyridoxal phosphate
29,pyridoxamine
30,pyridoxine
31,riboflavin
32,thiamine pyrophosphate
33,thiamine triphosphate
34,thiamine monophosphate chloride
35,thiamine hydrochloride
36,thiamine propyl disulfide benzoate (1:1)
37,thiamine disulfide dicarboxylate hydrochloride (1:1)
38,thiamine disulfide dicarboxylate (1:1)
39,thiamine propyl disulfide (1:1)
40,thiamine tetrahydrofurfuryl disulfide hydrochloride (1:1)
41,thiamine tetrahydrofurfuryl disulfide (1:1)
42,thiamine triphosphate chloride (1:1)
43,thiamine pyrophosphate chloride (1:1)
44,thiamine mononitrate (1:1)
45,thiamine nitrate (2:3)
46,thiamine nitrate hydrochloride (2:3)
47,thiamine
48,tocopherols
49,tocotrienols
50,ubiquinone
51,vegetables
52,fruit
53,nutritional requirements
54,dietary supplements
55,dietary proteins
56,dietary calcium
57,dietary iron
58,dietary magnesium
59,dietary phosphorus
60,dietary potassium
61,dietary sodium
62,dietary zinc
63,dietary copper
64,dietary manganese
65,dietary selenium
66,dietary iodine
67,dietary chromium
68,dietary fluoride
69,dietary molybdenum
70,malnutrition
71,overnutrition
72,nutrition assessment
73,nutrition policy
74,nutrition surveys
75,nutritional status
76,nutritional support
77,nutritional physiological phenomena
78,metabolic diseases
79,metabolic syndrome x
80,micronutrients
93,folic acid deficiency
99,ascorbic acid deficiency
100,scurvy
101,dehydroascorbic acid
102,erythorbic acid
103,calcium ascorbate
104,sodium ascorbate
110,hydroxycholecalciferols
111,parathyroid hormone-related protein
112,rickets
113,osteomalacia
114,hypocalcemia
115,hypophosphatemia
117,alpha-tocopherol
118,gamma-tocopherol
121,vitamin
124,phylloquinone
125,menaquinones
126,vitamin k 1
127,vitamin k 2
128,vitamin k 3
130,vitamin k deficiency bleeding
160,choline
161,carnitine
162,taurine
163,inositol
164,coenzyme q10
165,lipoic acid
166,glutathione
167,creatine
168,sodium metabolism disorders
169,zinc metabolism disorders
170,copper metabolism disorders
171,manganese metabolism disorders
172,selenium metabolism disorders
173,iodine metabolism disorders
174,chromium metabolism disorders
175,fluoride metabolism disorders
176,calcium metabolism disorders
177,magnesium metabolism disorders
178,iron metabolism disorders
179,potassium metabolism disorders
180,phosphorus metabolism disorders
181,lipid metabolism disorders
182,protein-energy malnutrition
191,pellagra
192,pantothenic acid deficiency
193,riboflavin deficiency
194,thiamine deficiency
195,biotin deficiency
196,choline deficiency
197,carnitine deficiency
198,taurine deficiency
199,inositol deficiency
200,coenzyme q10 deficiency
201,lipoic acid deficiency
202,glutathione deficiency
203,creatine deficiency
204,zinc compounds
205,copper compounds
206,iron compounds
207,selenium compounds
208,iodine compounds
209,magnesium compounds
210,manganese compounds
211,molybdenum compounds
212,chromium compounds
213,cobalt compounds
214,fluorides
215,borates
216,silicon dioxide
217,"anemia, iron-deficiency"
218,"anemia, megaloblastic"
219,"anemia, pernicious"
220,"anemia, sideroblastic"
221,ariboflavinosis
223,avitaminosis
224,beriberi
225,biotinidase deficiency
226,"blindness, cortical"
227,"carnitine deficiency, systemic primary"
228,cerebral creatine deficiency syndrome
230,cobalamin-related inborn errors of metabolism
231,copper-transporting atpases
232,cystathioninuria
233,deficiency diseases
234,erythrocyte macrocytosis
236,glucosephosphate dehydrogenase deficiency
237,glycine n-methyltransferase deficiency
238,hartnup disease
239,"hemoglobinuria, paroxysmal"
240,homocystinuria
241,hyperhomocysteinemia
242,hypervitaminosis a
243,hypervitaminosis d
244,hypophosphatasia
245,"hypophosphatemia, familial"
246,hypovitaminosis a
247,iodine deficiency disorders
249,kwashiorkor
250,lipoylation defects
251,magnesium deficiency
252,malabsorption syndromes
253,malnutrition-related diabetes mellitus
254,maple syrup urine disease
255,menkes kinky hair syndrome
256,"methemoglobinemia, beta-globin type"
257,methionine adenosyltransferase i/iii deficiency disease
