,topic_terms
0,"anemia, iron-deficiency"
1,anorexia
2,anorexia nervosa
3,binge-eating disorder
4,bulimia nervosa
5,cachexia
6,"carbohydrate metabolism, inborn errors"
7,cardiovascular diseases
8,child nutrition disorders
9,diabetes mellitus
10,"diabetes mellitus, experimental"
11,"diabetes mellitus, type 1"
12,"diabetes mellitus, type 2"
13,"diet, carbohydrate-restricted"
14,"diet, fat-restricted"
15,"diet, gluten-free"
16,"diet, high-fat"
17,"diet, high-protein"
18,"diet, ketogenic"
19,"diet, mediterranean"
20,"diet, reducing"
21,"diet, sodium-restricted"
22,"diet, vegetarian"
23,dietary fats
24,dietary fiber
25,dietary proteins
26,dietary supplements
27,dyslipidemias
28,eating disorders
29,feeding and eating disorders
30,feeding behavior
31,food hypersensitivity
32,foodborne diseases
33,gastrointestinal diseases
34,hypercholesterolemia
35,hyperglycemia
36,hyperlipidemias
37,hyperphagia
38,hypoglycemia
39,hypophagia
40,insulin resistance
41,kidney diseases
42,liver diseases
43,malabsorption syndromes
44,malnutrition
45,metabolic diseases
46,metabolic syndrome
47,nutrition disorders
48,nutrition surveys
49,nutritional physiological phenomena
50,obesity
51,overweight
52,pediatric obesity
53,protein-energy malnutrition
54,sarcopenia
55,starvation
56,weight gain
57,weight loss
58,adiposity
59,alcoholism
60,anemia
61,"anemia, megaloblastic"
62,"anemia, pernicious"
63,"anemia, sickle cell"
64,"anemia, hemolytic"
65,celiac disease
66,"colitis, ulcerative"
67,constipation
68,crohn disease
69,"diverticulosis, colonic"
70,esophageal diseases
71,fatty liver
72,food habits
73,gastroenteritis
74,gastroesophageal reflux
75,gout
76,growth disorders
77,heart diseases
78,hyperglycemic hyperosmolar nonketotic coma
79,hypertension
80,hypoglycemic agents
81,inflammatory bowel diseases
82,intra-abdominal fat
83,iron overload
84,"kidney failure, chronic"
85,liver cirrhosis
86,liver neoplasms
87,malocclusion
88,metabolic syndrome x
89,micronutrient deficiencies
90,neoplasms
91,"obesity, abdominal"
92,pancreatic diseases
93,peptic ulcer
94,porphyrias
95,premature birth
96,"renal insufficiency, chronic"
97,rickets
98,sepsis
99,stroke
100,tooth diseases
101,tooth loss
102,vitamin b 12 deficiency
103,vitamin d deficiency
104,wasting syndrome
105,water-electrolyte imbalance
106,appetite
107,appetite regulation
108,beverages
109,binge eating
110,body composition
111,body weight
112,caloric restriction
113,carbohydrates
114,child nutrition sciences
115,"cholesterol, dietary"
116,cooking
117,diet
118,diet records
119,diet surveys
120,diet therapy
121,dietary carbohydrates
126,drinking
127,eating
129,energy intake
130,energy metabolism
131,fast foods
133,food
134,food analysis
136,food labeling
137,food preferences
138,food supply
139,"food, formulated"
140,fruit
141,gastrointestinal transit
142,healthy diet
143,hungry hypothesis
144,infant nutritional physiological phenomena
145,infant nutrition disorders
146,insensible water loss
147,ketogenic diet
148,macronutrients
150,meat
151,micronutrients
152,milk
153,minerals
154,nutrition assessment
156,nutrition policy
159,nutritional sciences
160,nutritive value
163,plant oils
164,probiotics
165,reduced caloric intake
166,satiation
167,snacks
168,"sodium, dietary"
169,sports nutritional physiological phenomena
170,sports nutritional sciences
172,sucrose
173,sugar-sweetened beverages
174,supervised feeding
175,sweets
176,trace elements
177,vegetables
178,vitamins
181,weight reduction programs
182,"zinc, dietary"
185,carbohydrate-restricted diet
