,Preferred Label,Semantic Types Label,mesh_id
502942,Olfactory Receptor Neurons,Cell Component,D018034
494727,Olfaction Disorders,Disease or Syndrome,D000857
501327,Olfaction Disorders,Finding,D000857
265879,Quillaja Saponins,Organic Chemical,D062605
309856,Saponins,Organic Chemical,D012503
84127,Sterol O-Acyltransferase,"Amino Acid, Peptide, or Protein",D002785
84128,Sterol Esterase,"Amino Acid, Peptide, or Protein",D002787
136266,Sterol 14-Demethylase,"Amino Acid, Peptide, or Protein",D058886
178870,Phosphatidylcholine-Sterol O-Acyltransferase,"Amino Acid, Peptide, or Protein",D007862
215279,Sterols,Organic Chemical,D013261
396672,Sterol O-Acyltransferase,Enzyme,D002785
396673,Sterol Esterase,Enzyme,D002787
408606,Sterol 14-Demethylase,Enzyme,D058886
418438,Phosphatidylcholine-Sterol O-Acyltransferase,Enzyme,D007862
204907,Triterpenes,Organic Chemical,D014315
220090,Pentacyclic Triterpenes,Organic Chemical,D053978
187753,"Diterpenes, Clerodane",Organic Chemical,D045785
187754,"Diterpenes, Kaurane",Organic Chemical,D045786
242361,Diterpenes,Organic Chemical,D004224
330206,"Diterpenes, Clerodane",Biologically Active Substance,D045785
210810,Monoterpenes,Organic Chemical,D039821
266152,Cyclohexane Monoterpenes,Organic Chemical,D000081005
282431,Acyclic Monoterpenes,Organic Chemical,D000080462
299926,Cyclopentane Monoterpenes,Organic Chemical,D000081004
315274,Bicyclic Monoterpenes,Organic Chemical,D000081008
187756,"Sesquiterpenes, Guaiane",Organic Chemical,D045789
187759,"Sesquiterpenes, Germacrane",Organic Chemical,D045788
216055,Sesquiterpenes,Organic Chemical,D012717
293189,Polycyclic Sesquiterpenes,Organic Chemical,D000081223
298012,Terpenes,Organic Chemical,D013729
380400,Terpenes,Biologically Active Substance,D013729
188355,Benzaldehydes,Organic Chemical,D001547
29812,Eugenol,Pharmacologic Substance,D005054
205559,Eugenol,Organic Chemical,D005054
39892,Eucalyptol,Pharmacologic Substance,D000077591
228398,Eucalyptol,Organic Chemical,D000077591
74599,Menthol,Pharmacologic Substance,D008610
306767,Menthol,Organic Chemical,D008610
486725,Onions,Plant,D019697
