,Preferred Label
436751,Cortinarius alboserrulatus
467175,Caloplaca albopustulata
73233,sodwanone I
192252,cynanversicoside A
279038,(Pd(AuPPh3)6(HgNO3))(NO3)
159004,FC 336
475699,Dideoxynucleosides
203779,biotin-1012-S
459265,Marchandiomyces lignicola
251371,tetradecyl maltoside
12565,Gallibacterium anatis
436057,Aspergillus muricatus
423006,M-VEC protocol
13939,Anabaena miniata
276100,urgineaglyceride A
28799,UM 1046
313024,Photogem
280045,bredemeyeroside B
510380,"Lymphangioma, Cystic"
217554,cryptosanguinolentine
73407,alisol F 24-acetate
60785,dropempine
85241,phenylalanine (histidine) aminotransferase
62117,4-demethoxydoxorubicin
515933,PHD Zinc Fingers
183495,callyberyne B
267556,texenomycin A
71362,"1-(2-(4-cyclobutyl-(1,4)diazepane-1-carbonyl)-4-(3-fluorophenoxy)pyrrolidin-1-yl)ethanone"
164409,"C1qbp protein, rat"
80833,PAX3 Transcription Factor
49105,naphthyridinomycin
440192,Entoloma llimonae
103444,"cahuitamycin A protein, Streptomyces gandocaensis"
440340,Ceratorhiza rhizodes
34307,EMTPVNPG peptide
113339,3-hydroxy-3-isobutyl-2-pyrrolidone-5-carboxylic acid
214104,"N(1)-((5''-O-phosphorylethoxy)methyl)-5'-O-phosphorylinosine 5',5''-cyclic pyrophosphate"
93980,"IL26 protein, human"
381750,YZ-50 extract
468263,Boletus speciosus
255795,K 2004-1c
227789,"(1,2-bis(2, 6-difluoro-3-hydroxyphenyl)ethylene-diamine)platinum(II)"
513719,Chromosomal Instability
159395,tetanospasmin
259943,kuwanon X
57936,4-ureidoetodolac
229037,(2.2.1)bicyclohept-2-ene
485628,Cladonia ustulata
254053,7-oxoorobanchyl acetate
211314,SDZ HUL-412
57470,lateritin
5369,Nitratireductor lucknowense
222584,"4-aminophenyl-1,2-dihydro-1-methyl-2-propylcarbamoyl-6,7-methylenedioxyphthalazine"
102837,EJL amidase
280462,"5,6-dihydroxy-7,9,11,14-eicosatetraenoic acid"
207648,"1,24-dihydroxy-25-nitrovitamin D3"
165906,"ror1 protein, zebrafish"
510517,Pharyngeal Neoplasms
249963,fluevirosine C
83599,"AMP1 protein, Arabidopsis"
462980,Perenniporia compacta
487,Ambient Intelligence
195058,1-myristoyl-2-stearoyl-sn-glycero-3-phosphatidylcholine
143236,Gymnodinium breve toxin
242817,6'-N-methylfortimicin B
67271,FPL 13210
433342,Fomitiporia punicata
486774,Hypotrachyna densirhizinata
209881,"5,6-methylenedioxy-2-methylaminoindan"
465408,Sphaerulina gei
437317,Hirsutella proturicola
183399,Cavit G
442966,Cercospora coniogrammes
27635,vagoserine
287384,1-ethynyl-1-propargyl acetate
65346,avermectin B(1)a
475049,"hexadecyloxypropyl 5-fluoro-2'-deoxyuridine cyclic-3',5'-monophosphate"
290772,(4-aminomethyl)phenylazobenzoic acid
252637,"(12bR)-7,9-dimethoxy-3-methyl-1,2,3,7-tetrahydro-7,12b-methanobenzo(2,3)oxocino(5,4-c)pyridine"
250656,capparoside A
360626,Adnab-9
220085,cyclopropylamine
114135,3-oxobutyryl-CoA reductase
68500,11-O-4-coumaroyl amarolide
421901,CFP protocol
465182,Inocybe fragilis
255289,N-ethylguanidine
385402,"MIRN146 microRNA, rat"
12347,Fimbriiglobus ruber
316491,SK&F 2133-A
157247,"Cdk1 protein, rat"
199185,iso-agatharesinol
157106,"ORF6 protein, Mycoplasma pneumoniae"
125871,"jingzhaotoxin-I, Chilobrachys jingzhao"
317796,"3-(aminomethyl)piperazine-2,5-dione"
175531,"Tcf21 protein, rat"
183111,benzo(b)thiophene-2-ylboronic acid
281552,sensitin
370806,"MIRN655 microRNA, human"
125781,"Znfl1 protein, zebrafish"
276702,octahedrane
77421,"1,4-dihydro-2,6-dimethyl-4-(4-methylphenyl)-3,5-pyridinedicarboxylic acid dimethyl ester"
215680,"(4R,5R)-5-((2S,5R)-isopropyl-5-methylcyclohexyloxy)-4-(4-methyl-1,3-thiazol-2-ylamino)-2,3,4,5-tetrahydrofuran-2-one"
424110,Geosiphon pyriformis
117460,methyl N-acetyl-4-fluoroproline
486190,Gentianaceae
151727,"BCAT1 protein, Arabidopsis"
458838,Readeriella patrickii
449706,Podosphaera macrospora
445542,Myriospora signyensis
135377,"RA8 protein, Oryza sativa"
2532,Pseudomonas amygdali
433529,Bactrodesmium stilboideum
144185,tripalmitoyl-S-glyceryl-cysteine-epidermal growth factor receptor(516-529)
69098,"5-(2-cyclopropylvinyl)-3-ethyl-6,7-difluoro-5-(trifluoromethyl)benzo(e)(1,4)oxazepin-2(1H,3H,5H)-one"
281493,"bis(1,10-phenanthroline)(1,10-phenanthrolino(5,6-b)1,4,5,8,9,12-hexaaxatriphenylene)ruthenium(II)"
20557,MK-8776
214356,6-methyl-8 beta-ergoline acetonitrile
285684,Secosteroids
86180,"AT3G16940 protein, Arabidopsis"
433752,Tricholoma auratum
465521,Tilletia aegopogonis
443838,Nannizziopsis hominis
199094,2-(trifluoromethyl)benzenesulfenyl chloride
479081,CpG-N ODN208
431668,Gurleya vavrai
208140,GSK 1331258
303230,arugosin K
378267,"MIRN18 microRNA, mouse"
8590,Amycolatopsis alba
78727,"3,3'-dipropylthiacarbocyanine"
56957,NSC 665564
59954,methyl phosphorodichloridite
177390,"Ythdf1 protein, mouse"
147256,"Rassf4 protein, rat"
92302,"IRT1 protein, Arabidopsis"
425880,Inocephalus dennisii
222679,"O,O-dimethyl-O-(4-(carboxyl)phenyl)phosphorothiate"
130725,"SHANK3 protein, zebrafish"
221118,limbatenolide E
49588,9-(anthrylmethyl)trimethyl ammonium chloride
290328,"6,6'-dithiodinicotinic acid"
109747,"TRM9 protein, Arabidopsis"
208069,cyanopindolol azide-2
507548,Nested Genes
77287,TAK-220
178902,"net protein, Drosophila"
56967,Complement C1 Inhibitor Protein
95223,"Cdk6 protein, mouse"
184859,2'-O-(4-O-stearoyl-alpha-L-fucopyranosyl)thymidine
53277,"1-phenyl-2-(1-aminopropyl)-N,N-diethylcyclopropanecarboxamide"
204987,pulvinulin A
124576,"BhuR protein, Bordetella pertussis"
99708,cytochrome P-450 CYP2F3 (goat)
476222,xylocytidine
261929,ginsenoside F2
79045,"2-aziridinyl-5-hydroxy-1,4-naphthoquinone"
166132,"cauxin protein, Felis catus"
298293,2-((4-trifluoromethylsulfonyloxy)phenyl)propanamide
492318,Orofaciodigital syndrome 4
80531,"UGT72B1 protein, Arabidopsis"
19637,Parapusillimonas granuli
122649,"HASPIN protein, human"
444396,Buellia numerosa
439565,Phyllopsora ochroxantha
236415,N-acetylanthranilic acid
254859,naphthyllithium
244660,3'-demethoxysudachitin
56147,histaglobulin
452339,Cladonia alinii
107097,"mgc69520 protein, Xenopus"
133265,"non-selective cation channel protein, human"
141407,"PNC1 protein, mouse"
66761,rotenoisin A
76841,"13,17-bis(1-carboxypropionyl)carbamoylethyl-3-ethenyl-2-hydroxy-3-hydroxyiminoethlidene-2,7,12,18-tetramethylporphyrin"
460065,Pseudocercospora chamaecristae
425440,Pseudoepicoccum cocos
193548,"3,7-dimethyl-1,6-octadien-3-yl formate"
78440,porothramycin B
33844,Fractogel TSK AF-Red
181979,Deterzyme
272217,cyclopentobarbital
117505,hypertrehalosemic neuropeptide
461683,Ophiostoma manchongi
66977,picenadol
46007,2-formylpyridine thiosemicarbazonato copper(II)
461085,Lepiota mandarina
498031,Lymphedema
115647,acetylspermidine deacetylase
264084,5-(n-nonadecyl)resorcinol
30693,smilaxin B
193611,1-cyclohexylcytosine
224942,5-hydroxyarachidic acid
275648,"N-(3-bromo-4-methoxyphenyl)-2-hydroxy-3,5-dibromobenzamide"
52665,ditekiren
215411,4-nitrophenyl trimethylacetate
149775,"Dr protein, Drosophila"
113622,azophenylalanine
132924,hemoglobin M Iwate
431412,Thyronectria caraganae
42589,"sodium calcium aluminosilicate, hydrated"
469662,Agaricus fuscovelatus
473044,"MIRN613 microRNA, human"
9781,Alkalilimnicola ehrlichii
431575,Candelaria fruticans
255816,17-acetylrauglucine
147415,ADAM15 protein (286-297)
466390,Fomitiporia neotropica
292465,dimethylethylenediamine
176004,"TBC-2 protein, C elegans"
198536,sinulaflexiolide E
436954,Glomus multicaule
315824,"(10R)-17 beta-hydroxy-5-methylene-4,10-cyclo-19-nor-4,5-seco-17 alpha-pregn-20-yn-1-one"
102394,"PDZD7 protein, human"
487728,Radiodermatitis
75233,crambescin A2
196132,"1,3-dioxane-4,6-dione-carboxamide"
77887,"7,8-dihydro-7-methyl-8-thioxoguanosine"
84096,"sesn3 protein, rat"
427675,Manoharachariella tectonae
74589,"N,N-diisopropyltryptamine"
147446,"HAC1 protein, Arabidopsis"
88683,"Kcnh2 protein, rat"
34762,1-amino-2-fluorocyclopentyl-1-carboxylic acid
179777,"Sdic protein, Drosophila"
249385,callystatin A
21900,BOMT
435327,Talaromyces diversus
44963,"1,3-bis((3,4,5-trihydroxybenzoyl)oxy)naphthalene"
19784,cytochalasin P1
498749,Factor X Deficiency
85737,"dTDP-4-dehydro-6-deoxyglucose reductase, Geobacillus tepidamans"
493285,Choroid plexus calcification with mental retardation
47094,Septodont
261236,azatrimethylenemethane
266980,"2-methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine"
183178,"3-acetyloxy-5-oxo-1 ,8-cineole"
484574,antimonite
284673,(R)-3-(9-fluoren-9-ylideneaminooxy)-2-methyl-N-(methylsulfonyl)
460172,Bannoa bischofiae
81837,"Ptpro protein, rat"
271916,"1,5-dimethyl-6-phenyl-1,2-dihydro-1,2,4-triazin-3(2H)-one"
454632,Chalara affinis
224459,diacetazotol
513546,Fetal Organ Maturity
513165,ethics
32243,KF 13218
309005,"1,3-diethylbenzene"
505216,Distillation
287587,4-hydroxycinnamoyl-CoA
240644,triflic anhydride
143113,"XND1 protein, Arabidopsis"
224009,purfalcamine
314520,streptobicillin depot
80002,17-Hydroxysteroid Dehydrogenases
422158,Corneal Transplantation
8744,Verrucomicrobium spinosum
367055,Lyastin
31288,indole
77585,4-methylaeruginoic acid
213037,glycoflavanone A
369199,rubupungenoside B
230274,"1-(7-(2-chlorophenyl)-8-(4-chlorophenyl)-2-methylpyrazolo(1,5-a)-(1,3,5)triazin-4-yl)-3-ethylaminoazetidine-3-carboxylic acid amide"
175495,"Sra1 protein, rat"
492650,3-methylcrotonyl CoA carboxylase 2 deficiency
425634,Gymnopus lachnophyllus
108573,"cholecystokinin (26-33), indium-DOTA(0)-Asp(26)-Nle(28,31)-"
298037,integrin modulating factor 1
445551,Pseudodidymella minima
492707,Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency
13225,Streptomyces bingchenggensis
25097,bacillomycin L dimethyl ester
70903,"3-(3,4-dichlorophenyl)-5-methyl-2H,5H-furan-2-one"
110045,"NSG2 protein, human"
112826,lac alpha peptide
