,Gene name,Gene type,Gene description
0,MT-ND1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
1,MT-ND2,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
2,MT-CO1,protein_coding,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
3,MT-CO2,protein_coding,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
4,MT-ATP8,protein_coding,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
5,MT-ATP6,protein_coding,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
6,MT-CO3,protein_coding,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
7,MT-ND3,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
8,MT-ND4L,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
9,MT-ND4,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
10,MT-ND5,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
11,MT-ND6,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
12,MT-CYB,protein_coding,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
13,,protein_coding,
14,SNTG2,protein_coding,syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]
15,INTS3,protein_coding,integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]
16,KIR3DL2,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
17,PCMTD2,protein_coding,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]
18,KIR3DL3,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]"
19,KIR3DL1,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
20,SBNO2,protein_coding,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]
